카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2021년11월_계_총인구수,"2,388,230","74,793","341,114","165,208","143,645","436,567","418,014","545,983","262,906"
2021년11월_계_연령구간인구수,"2,388,230","74,793","341,114","165,208","143,645","436,567","418,014","545,983","262,906"
2021년11월_계_0~9세,"168,602","5,011","24,020","6,870","6,386","31,964","28,607","36,952","28,792"
2021년11월_계_10~19세,"218,976","5,017","26,193","10,186","8,983","41,815","49,470","52,858","24,454"
2021년11월_계_20~29세,"310,800","11,386","40,612","20,110","19,908","61,263","53,173","75,787","28,561"
2021년11월_계_30~39세,"285,532","10,575","43,169","16,810","16,818","52,486","41,887","63,067","40,720"
2021년11월_계_40~49세,"372,803","10,548","50,786","21,428","19,523","70,201","70,232","85,384","44,701"
2021년11월_계_50~59세,"419,916","11,031","56,488","32,449","24,214","78,084","74,840","101,678","41,132"
2021년11월_계_60~69세,"341,719","10,239","53,589","32,025","24,364","57,332","54,154","77,594","32,422"
2021년11월_계_70~79세,"177,394","7,030","30,676","17,236","14,867","28,834","29,040","35,130","14,581"
2021년11월_계_80~89세,"82,243","3,464","13,972","7,317","7,599","13,034","14,589","15,595","6,673"
2021년11월_계_90~99세,"9,968",470,"1,567",755,965,"1,506","1,964","1,890",851
2021년11월_계_100세 이상,277,22,42,22,18,48,58,48,19
2021년11월_남_총인구수,"1,177,136","35,927","167,733","82,574","69,066","217,189","202,137","269,093","133,417"
2021년11월_남_연령구간인구수,"1,177,136","35,927","167,733","82,574","69,066","217,189","202,137","269,093","133,417"
2021년11월_남_0~9세,"86,359","2,566","12,236","3,547","3,284","16,347","14,750","18,950","14,679"
2021년11월_남_10~19세,"114,148","2,536","13,715","5,282","4,762","21,704","26,051","27,391","12,707"
2021년11월_남_20~29세,"165,492","5,450","21,570","10,998","9,914","33,054","28,497","40,227","15,782"
2021년11월_남_30~39세,"149,695","5,458","22,983","9,536","8,934","27,703","20,591","33,201","21,289"
2021년11월_남_40~49세,"184,070","5,341","26,021","11,551","9,848","34,461","32,051","41,471","23,326"
2021년11월_남_50~59세,"205,615","5,491","27,591","16,386","11,877","38,678","36,099","49,043","20,450"
2021년11월_남_60~69세,"162,609","4,727","24,853","15,041","11,167","27,860","25,573","37,299","16,089"
2021년11월_남_70~79세,"77,848","2,964","13,392","7,547","6,320","12,499","12,662","15,729","6,735"
2021년11월_남_80~89세,"29,102","1,271","5,020","2,560","2,753","4,569","5,391","5,353","2,185"
2021년11월_남_90~99세,"2,154",120,340,124,207,308,462,423,170
2021년11월_남_100세 이상,44,3,12,2,0,6,10,6,5
2021년11월_여_총인구수,"1,211,094","38,866","173,381","82,634","74,579","219,378","215,877","276,890","129,489"
2021년11월_여_연령구간인구수,"1,211,094","38,866","173,381","82,634","74,579","219,378","215,877","276,890","129,489"
2021년11월_여_0~9세,"82,243","2,445","11,784","3,323","3,102","15,617","13,857","18,002","14,113"
2021년11월_여_10~19세,"104,828","2,481","12,478","4,904","4,221","20,111","23,419","25,467","11,747"
2021년11월_여_20~29세,"145,308","5,936","19,042","9,112","9,994","28,209","24,676","35,560","12,779"
2021년11월_여_30~39세,"135,837","5,117","20,186","7,274","7,884","24,783","21,296","29,866","19,431"
2021년11월_여_40~49세,"188,733","5,207","24,765","9,877","9,675","35,740","38,181","43,913","21,375"
2021년11월_여_50~59세,"214,301","5,540","28,897","16,063","12,337","39,406","38,741","52,635","20,682"
2021년11월_여_60~69세,"179,110","5,512","28,736","16,984","13,197","29,472","28,581","40,295","16,333"
2021년11월_여_70~79세,"99,546","4,066","17,284","9,689","8,547","16,335","16,378","19,401","7,846"
2021년11월_여_80~89세,"53,141","2,193","8,952","4,757","4,846","8,465","9,198","10,242","4,488"
2021년11월_여_90~99세,"7,814",350,"1,227",631,758,"1,198","1,502","1,467",681
2021년11월_여_100세 이상,233,19,30,20,18,42,48,42,14
