카테고리,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2021년09월_계_총인구수,"306,249","17,159","16,103","20,469","19,762","35,240","23,808","15,418","13,771","22,719","26,666","15,514","29,768","18,143","31,709"
2021년09월_계_연령구간인구수,"306,249","17,159","16,103","20,469","19,762","35,240","23,808","15,418","13,771","22,719","26,666","15,514","29,768","18,143","31,709"
2021년09월_계_0~9세,"19,150","1,156","1,409","1,195",676,"1,579","1,463",722,763,"1,461","1,201","2,073","2,608","1,346","1,498"
2021년09월_계_10~19세,"22,808","1,406","1,022","1,308",960,"2,325","1,854","1,038","1,010","1,706","2,104","1,470","2,358","1,933","2,314"
2021년09월_계_20~29세,"49,440","2,129","2,241","3,402","7,809","7,625","3,062","2,052","1,738","2,800","4,133","1,449","4,268","2,112","4,620"
2021년09월_계_30~39세,"44,304","2,312","2,820","3,308","3,475","5,528","3,321","1,934","1,860","3,019","3,533","2,297","4,461","2,302","4,134"
2021년09월_계_40~49세,"45,693","2,691","2,588","2,960","1,965","4,760","3,614","2,071","1,934","3,306","3,806","3,081","4,869","3,204","4,844"
2021년09월_계_50~59세,"48,569","2,981","2,720","3,289","1,960","5,130","4,040","2,657","2,471","3,917","4,531","2,149","4,423","2,972","5,329"
2021년09월_계_60~69세,"39,561","2,245","1,817","2,756","1,425","4,140","3,387","2,346","2,130","3,424","3,830","1,570","3,488","2,285","4,718"
2021년09월_계_70~79세,"23,429","1,367",967,"1,398",902,"2,611","1,957","1,620","1,196","1,928","2,200",920,"2,160","1,314","2,889"
2021년09월_계_80~89세,"11,632",777,452,718,513,"1,335",989,861,584,"1,018","1,141",443,998,596,"1,207"
2021년09월_계_90~99세,"1,544",90,62,123,72,195,118,93,80,133,157,58,132,77,154
2021년09월_계_100세 이상,119,5,5,12,5,12,3,24,5,7,30,4,3,2,2
2021년09월_남_총인구수,"146,388","8,131","7,712","9,869","8,739","16,926","11,164","7,470","6,501","10,964","12,884","7,460","14,379","8,742","15,447"
2021년09월_남_연령구간인구수,"146,388","8,131","7,712","9,869","8,739","16,926","11,164","7,470","6,501","10,964","12,884","7,460","14,379","8,742","15,447"
2021년09월_남_0~9세,"9,732",578,712,601,353,791,729,365,404,740,604,"1,068","1,309",690,788
2021년09월_남_10~19세,"11,381",701,493,626,428,"1,170",908,566,513,844,"1,084",702,"1,158","1,012","1,176"
2021년09월_남_20~29세,"23,553","1,013","1,027","1,639","3,015","3,839","1,504","1,018",860,"1,410","2,069",701,"2,112","1,020","2,326"
2021년09월_남_30~39세,"21,854","1,131","1,359","1,620","1,724","2,753","1,599","1,023",895,"1,509","1,873","1,006","2,163","1,079","2,120"
2021년09월_남_40~49세,"22,569","1,298","1,325","1,485",947,"2,285","1,731","1,047",930,"1,636","1,864","1,586","2,436","1,588","2,411"
2021년09월_남_50~59세,"23,674","1,489","1,347","1,623",984,"2,463","1,890","1,318","1,166","1,915","2,194","1,066","2,205","1,436","2,578"
2021년09월_남_60~69세,"18,672","1,077",859,"1,349",673,"1,916","1,537","1,090","1,008","1,661","1,752",737,"1,661","1,090","2,262"
2021년09월_남_70~79세,"10,024",553,416,622,389,"1,095",843,677,481,833,968,388,921,564,"1,274"
2021년09월_남_80~89세,"4,484",268,156,271,204,544,391,321,222,381,439,186,379,245,477
2021년09월_남_90~99세,410,21,17,30,20,67,32,33,20,35,30,19,34,17,35
2021년09월_남_100세 이상,35,2,1,3,2,3,0,12,2,0,7,1,1,1,0
2021년09월_여_총인구수,"159,861","9,028","8,391","10,600","11,023","18,314","12,644","7,948","7,270","11,755","13,782","8,054","15,389","9,401","16,262"
2021년09월_여_연령구간인구수,"159,861","9,028","8,391","10,600","11,023","18,314","12,644","7,948","7,270","11,755","13,782","8,054","15,389","9,401","16,262"
2021년09월_여_0~9세,"9,418",578,697,594,323,788,734,357,359,721,597,"1,005","1,299",656,710
2021년09월_여_10~19세,"11,427",705,529,682,532,"1,155",946,472,497,862,"1,020",768,"1,200",921,"1,138"
2021년09월_여_20~29세,"25,887","1,116","1,214","1,763","4,794","3,786","1,558","1,034",878,"1,390","2,064",748,"2,156","1,092","2,294"
2021년09월_여_30~39세,"22,450","1,181","1,461","1,688","1,751","2,775","1,722",911,965,"1,510","1,660","1,291","2,298","1,223","2,014"
2021년09월_여_40~49세,"23,124","1,393","1,263","1,475","1,018","2,475","1,883","1,024","1,004","1,670","1,942","1,495","2,433","1,616","2,433"
2021년09월_여_50~59세,"24,895","1,492","1,373","1,666",976,"2,667","2,150","1,339","1,305","2,002","2,337","1,083","2,218","1,536","2,751"
2021년09월_여_60~69세,"20,889","1,168",958,"1,407",752,"2,224","1,850","1,256","1,122","1,763","2,078",833,"1,827","1,195","2,456"
2021년09월_여_70~79세,"13,405",814,551,776,513,"1,516","1,114",943,715,"1,095","1,232",532,"1,239",750,"1,615"
2021년09월_여_80~89세,"7,148",509,296,447,309,791,598,540,362,637,702,257,619,351,730
2021년09월_여_90~99세,"1,134",69,45,93,52,128,86,60,60,98,127,39,98,60,119
2021년09월_여_100세 이상,84,3,4,9,3,9,3,12,3,7,23,3,2,1,2
