,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020년08월_계_총인구수,"147,854","43,982","8,645","4,627","7,822","12,598","2,193","4,900","9,487","6,237","8,549","2,812","2,763","18,809","14,430"
2020년08월_계_연령구간인구수,"147,854","43,982","8,645","4,627","7,822","12,598","2,193","4,900","9,487","6,237","8,549","2,812","2,763","18,809","14,430"
2020년08월_계_0~9세,"8,817","2,947",611,127,227,704,49,198,518,518,655,65,203,"1,260",735
2020년08월_계_10~19세,"12,599","4,992",587,212,517,991,82,275,698,371,458,148,158,"1,894","1,216"
2020년08월_계_20~29세,"17,907","5,807",964,436,797,"1,486",199,425,960,858,983,234,287,"2,570","1,901"
2020년08월_계_30~39세,"14,731","4,376","1,114",355,620,"1,242",120,292,871,858,"1,023",120,338,"1,982","1,420"
2020년08월_계_40~49세,"20,792","7,305","1,139",564,906,"1,708",212,535,"1,211",627,883,274,282,"2,812","2,334"
2020년08월_계_50~59세,"29,357","8,958","1,648","1,105","1,940","2,551",396,"1,031","1,607",933,"1,356",545,469,"3,602","3,216"
2020년08월_계_60~69세,"23,777","5,612","1,419","1,020","1,603","2,205",556,"1,086","1,820","1,006","1,470",658,531,"2,631","2,160"
2020년08월_계_70~79세,"12,495","2,564",726,500,710,"1,080",375,670,"1,089",691,"1,030",493,303,"1,341",923
2020년08월_계_80~89세,"6,323","1,210",378,279,426,533,185,336,592,336,561,243,170,610,464
2020년08월_계_90~99세,980,198,57,27,74,91,19,49,114,35,115,29,21,96,55
2020년08월_계_100세 이상,76,13,2,2,2,7,0,3,7,4,15,3,1,11,6
2020년08월_남_총인구수,"78,194","22,452","4,651","2,651","4,554","6,932","1,228","2,663","4,904","3,381","4,552","1,458","1,458","9,543","7,767"
2020년08월_남_연령구간인구수,"78,194","22,452","4,651","2,651","4,554","6,932","1,228","2,663","4,904","3,381","4,552","1,458","1,458","9,543","7,767"
2020년08월_남_0~9세,"4,569","1,505",318,75,110,377,28,98,270,276,343,29,101,635,404
2020년08월_남_10~19세,"6,595","2,606",293,121,262,546,51,141,379,176,233,72,74,"1,007",634
2020년08월_남_20~29세,"10,394","3,143",560,274,474,895,132,259,572,580,667,149,162,"1,431","1,096"
2020년08월_남_30~39세,"8,160","2,222",624,221,387,713,81,172,521,501,608,79,193,"1,050",788
2020년08월_남_40~49세,"11,187","3,620",647,355,588,942,122,329,672,376,513,158,166,"1,422","1,277"
2020년08월_남_50~59세,"16,119","4,762",896,649,"1,215","1,480",237,608,841,495,749,297,249,"1,834","1,807"
2020년08월_남_60~69세,"12,867","2,951",808,599,969,"1,242",312,609,927,528,758,344,304,"1,351","1,165"
2020년08월_남_70~79세,"5,755","1,178",348,234,372,518,175,301,487,328,432,226,147,581,428
2020년08월_남_80~89세,"2,296",421,142,119,167,196,83,127,203,111,216,94,57,209,151
2020년08월_남_90~99세,222,40,13,3,9,22,7,17,27,10,28,7,5,19,15
2020년08월_남_100세 이상,30,4,2,1,1,1,0,2,5,0,5,3,0,4,2
2020년08월_여_총인구수,"69,660","21,530","3,994","1,976","3,268","5,666",965,"2,237","4,583","2,856","3,997","1,354","1,305","9,266","6,663"
2020년08월_여_연령구간인구수,"69,660","21,530","3,994","1,976","3,268","5,666",965,"2,237","4,583","2,856","3,997","1,354","1,305","9,266","6,663"
2020년08월_여_0~9세,"4,248","1,442",293,52,117,327,21,100,248,242,312,36,102,625,331
2020년08월_여_10~19세,"6,004","2,386",294,91,255,445,31,134,319,195,225,76,84,887,582
2020년08월_여_20~29세,"7,513","2,664",404,162,323,591,67,166,388,278,316,85,125,"1,139",805
2020년08월_여_30~39세,"6,571","2,154",490,134,233,529,39,120,350,357,415,41,145,932,632
2020년08월_여_40~49세,"9,605","3,685",492,209,318,766,90,206,539,251,370,116,116,"1,390","1,057"
2020년08월_여_50~59세,"13,238","4,196",752,456,725,"1,071",159,423,766,438,607,248,220,"1,768","1,409"
2020년08월_여_60~69세,"10,910","2,661",611,421,634,963,244,477,893,478,712,314,227,"1,280",995
2020년08월_여_70~79세,"6,740","1,386",378,266,338,562,200,369,602,363,598,267,156,760,495
2020년08월_여_80~89세,"4,027",789,236,160,259,337,102,209,389,225,345,149,113,401,313
2020년08월_여_90~99세,758,158,44,24,65,69,12,32,87,25,87,22,16,77,40
2020년08월_여_100세 이상,46,9,0,1,1,6,0,1,2,4,10,0,1,7,4
