,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년12월_계_총인구수,"230,341","15,644","14,379","12,527","13,752","4,699","15,622","5,474","6,748","9,465","10,577","13,291","25,613","6,555","13,711","22,378","12,631","27,275"
2021년12월_계_연령구간인구수,"230,341","15,644","14,379","12,527","13,752","4,699","15,622","5,474","6,748","9,465","10,577","13,291","25,613","6,555","13,711","22,378","12,631","27,275"
2021년12월_계_0~9세,"13,883",854,"1,352",630,827,165,678,160,288,509,628,"1,081","1,802",318,839,"1,778",588,"1,386"
2021년12월_계_10~19세,"20,948",971,"2,447","1,092","1,092",292,"1,069",255,425,701,761,"1,547","2,966",322,949,"2,789","1,024","2,246"
2021년12월_계_20~29세,"30,051","2,678","1,549","1,478","2,432",501,"1,753","1,035",808,"1,740","1,505","1,477","2,952",868,"1,770","2,848","1,528","3,129"
2021년12월_계_30~39세,"24,970","2,328","1,411","1,244","1,925",422,"1,522",642,679,"1,326","1,342","1,445","2,210",863,"1,537","2,272","1,238","2,564"
2021년12월_계_40~49세,"35,204","2,384","3,162","1,910","2,133",570,"2,005",590,843,"1,333","1,430","2,365","4,190",928,"1,913","3,821","1,740","3,887"
2021년12월_계_50~59세,"38,869","2,532","2,152","2,213","1,942",837,"2,749",852,"1,216","1,450","1,792","2,230","4,463","1,123","2,207","3,598","2,368","5,145"
2021년12월_계_60~69세,"34,798","2,215","1,254","2,068","1,796",918,"3,130",944,"1,296","1,156","1,511","1,611","3,571","1,208","2,297","2,681","2,128","5,014"
2021년12월_계_70~79세,"20,521","1,119",688,"1,203","1,030",620,"1,854",605,744,794,965,"1,030","2,259",609,"1,440","1,662","1,225","2,674"
2021년12월_계_80~89세,"9,735",479,323,594,475,328,762,347,378,407,551,456,"1,054",286,677,824,702,"1,092"
2021년12월_계_90~99세,"1,326",81,39,92,97,45,98,43,70,49,92,49,140,29,79,103,87,133
2021년12월_계_100세 이상,36,3,2,3,3,1,2,1,1,0,0,0,6,1,3,2,3,5
2021년12월_남_총인구수,"113,507","8,034","6,880","6,084","6,815","2,455","7,859","2,652","3,406","4,585","4,980","6,446","12,313","3,427","6,783","10,793","6,125","13,870"
2021년12월_남_연령구간인구수,"113,507","8,034","6,880","6,084","6,815","2,455","7,859","2,652","3,406","4,585","4,980","6,446","12,313","3,427","6,783","10,793","6,125","13,870"
2021년12월_남_0~9세,"7,099",404,691,313,448,96,353,90,160,245,305,581,914,177,423,922,298,679
2021년12월_남_10~19세,"10,816",478,"1,216",572,578,158,548,150,238,320,379,748,"1,529",185,504,"1,460",551,"1,202"
2021년12월_남_20~29세,"15,297","1,252",768,799,"1,123",281,945,442,412,825,734,779,"1,572",466,921,"1,400",826,"1,752"
2021년12월_남_30~39세,"12,898","1,254",628,652,999,238,853,353,389,690,672,709,"1,061",475,797,"1,070",698,"1,360"
2021년12월_남_40~49세,"17,799","1,333","1,466",967,"1,123",332,"1,110",329,454,693,701,"1,117","1,943",541,"1,013","1,764",847,"2,066"
2021년12월_남_50~59세,"19,703","1,435","1,131","1,081","1,005",486,"1,381",437,624,762,838,"1,128","2,175",587,"1,073","1,804","1,142","2,614"
2021년12월_남_60~69세,"16,646","1,162",556,953,867,463,"1,516",434,625,551,713,766,"1,617",612,"1,079","1,271",992,"2,469"
2021년12월_남_70~79세,"9,189",515,288,518,449,269,842,260,339,341,413,442,"1,036",272,683,737,494,"1,291"
2021년12월_남_80~89세,"3,740",183,126,200,192,127,290,144,150,148,202,167,436,105,268,338,261,403
2021년12월_남_90~99세,312,17,10,28,30,5,20,13,15,10,23,9,30,7,20,26,16,33
2021년12월_남_100세 이상,8,1,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0,1
2021년12월_여_총인구수,"116,834","7,610","7,499","6,443","6,937","2,244","7,763","2,822","3,342","4,880","5,597","6,845","13,300","3,128","6,928","11,585","6,506","13,405"
2021년12월_여_연령구간인구수,"116,834","7,610","7,499","6,443","6,937","2,244","7,763","2,822","3,342","4,880","5,597","6,845","13,300","3,128","6,928","11,585","6,506","13,405"
2021년12월_여_0~9세,"6,784",450,661,317,379,69,325,70,128,264,323,500,888,141,416,856,290,707
2021년12월_여_10~19세,"10,132",493,"1,231",520,514,134,521,105,187,381,382,799,"1,437",137,445,"1,329",473,"1,044"
2021년12월_여_20~29세,"14,754","1,426",781,679,"1,309",220,808,593,396,915,771,698,"1,380",402,849,"1,448",702,"1,377"
2021년12월_여_30~39세,"12,072","1,074",783,592,926,184,669,289,290,636,670,736,"1,149",388,740,"1,202",540,"1,204"
2021년12월_여_40~49세,"17,405","1,051","1,696",943,"1,010",238,895,261,389,640,729,"1,248","2,247",387,900,"2,057",893,"1,821"
