,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년05월_계_총인구수,"229,823","23,320","42,507","18,845","24,390","15,373","33,113","21,461","10,895","20,493","19,426"
2021년05월_계_연령구간인구수,"229,823","23,320","42,507","18,845","24,390","15,373","33,113","21,461","10,895","20,493","19,426"
2021년05월_계_0~9세,"11,992",666,"3,167",823,959,635,"1,748","1,509",526,"1,050",909
2021년05월_계_10~19세,"14,354",691,"2,312","1,167","1,334",959,"2,242","2,092",680,"1,473","1,404"
2021년05월_계_20~29세,"37,134","6,672","7,454","2,834","3,955","2,247","4,904","2,428","1,403","2,702","2,535"
2021년05월_계_30~39세,"35,476","5,580","8,543","2,489","3,579","2,006","4,732","2,392","1,393","2,529","2,233"
2021년05월_계_40~49세,"32,140","2,742","6,239","2,533","3,178","2,021","4,793","3,454","1,498","2,866","2,816"
2021년05월_계_50~59세,"39,615","2,945","6,228","3,753","4,676","3,172","5,827","3,690","1,977","3,846","3,501"
2021년05월_계_60~69세,"33,744","2,411","4,961","3,105","3,954","2,536","4,945","3,313","1,951","3,467","3,101"
2021년05월_계_70~79세,"17,867","1,169","2,562","1,547","1,910","1,328","2,739","1,769","1,054","1,821","1,968"
2021년05월_계_80~89세,"6,599",388,924,524,729,419,"1,026",711,374,656,848
2021년05월_계_90~99세,855,53,109,67,112,48,152,99,38,80,97
2021년05월_계_100세 이상,47,3,8,3,4,2,5,4,1,3,14
2021년05월_남_총인구수,"116,292","12,732","21,863","9,550","12,220","7,770","16,524","10,350","5,420","10,168","9,695"
2021년05월_남_연령구간인구수,"116,292","12,732","21,863","9,550","12,220","7,770","16,524","10,350","5,420","10,168","9,695"
2021년05월_남_0~9세,"6,187",315,"1,650",425,520,335,895,767,269,533,478
2021년05월_남_10~19세,"7,228",338,"1,124",633,644,477,"1,201","1,029",335,743,704
2021년05월_남_20~29세,"18,578","3,090","3,693","1,469","1,937","1,146","2,493","1,244",759,"1,396","1,351"
2021년05월_남_30~39세,"19,609","3,452","4,731","1,341","1,995","1,111","2,515","1,171",740,"1,344","1,209"
2021년05월_남_40~49세,"16,969","1,731","3,434","1,301","1,656","1,008","2,455","1,692",774,"1,443","1,475"
2021년05월_남_50~59세,"19,959","1,732","3,161","1,898","2,309","1,613","2,870","1,757",965,"1,864","1,790"
2021년05월_남_60~69세,"16,518","1,302","2,493","1,515","1,924","1,259","2,368","1,583",905,"1,690","1,479"
2021년05월_남_70~79세,"8,403",593,"1,147",750,923,631,"1,279",820,519,871,870
2021년05월_남_80~89세,"2,618",168,398,200,286,176,401,269,149,257,314
2021년05월_남_90~99세,210,10,30,18,25,14,44,17,5,25,22
2021년05월_남_100세 이상,13,1,2,0,1,0,3,1,0,2,3
2021년05월_여_총인구수,"113,531","10,588","20,644","9,295","12,170","7,603","16,589","11,111","5,475","10,325","9,731"
2021년05월_여_연령구간인구수,"113,531","10,588","20,644","9,295","12,170","7,603","16,589","11,111","5,475","10,325","9,731"
2021년05월_여_0~9세,"5,805",351,"1,517",398,439,300,853,742,257,517,431
2021년05월_여_10~19세,"7,126",353,"1,188",534,690,482,"1,041","1,063",345,730,700
2021년05월_여_20~29세,"18,556","3,582","3,761","1,365","2,018","1,101","2,411","1,184",644,"1,306","1,184"
2021년05월_여_30~39세,"15,867","2,128","3,812","1,148","1,584",895,"2,217","1,221",653,"1,185","1,024"
2021년05월_여_40~49세,"15,171","1,011","2,805","1,232","1,522","1,013","2,338","1,762",724,"1,423","1,341"
2021년05월_여_50~59세,"19,656","1,213","3,067","1,855","2,367","1,559","2,957","1,933","1,012","1,982","1,711"
2021년05월_여_60~69세,"17,226","1,109","2,468","1,590","2,030","1,277","2,577","1,730","1,046","1,777","1,622"
2021년05월_여_70~79세,"9,464",576,"1,415",797,987,697,"1,460",949,535,950,"1,098"
2021년05월_여_80~89세,"3,981",220,526,324,443,243,625,442,225,399,534
2021년05월_여_90~99세,645,43,79,49,87,34,108,82,33,55,75
2021년05월_여_100세 이상,34,2,6,3,3,2,2,3,1,1,11
