,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년07월_계_총인구수,"824,675","64,827","90,622","42,252","132,404","87,316","82,732","57,403","96,800","84,917","85,402"
2020년07월_계_연령구간인구수,"824,675","64,827","90,622","42,252","132,404","87,316","82,732","57,403","96,800","84,917","85,402"
2020년07월_계_0~9세,"59,451","3,164","5,857","2,875","10,247","8,307","4,929","3,854","10,170","4,734","5,314"
2020년07월_계_10~19세,"72,142","4,059","7,436","3,955","11,675","10,122","6,481","4,525","9,216","7,427","7,246"
2020년07월_계_20~29세,"118,565","10,264","12,978","6,223","19,811","12,310","11,833","7,995","11,579","12,743","12,829"
2020년07월_계_30~39세,"118,350","9,642","12,279","5,554","22,038","12,885","11,507","8,280","15,117","9,968","11,080"
2020년07월_계_40~49세,"131,139","9,826","14,119","6,506","20,838","15,554","12,641","8,104","17,131","13,157","13,263"
2020년07월_계_50~59세,"149,234","11,871","16,806","7,871","23,157","15,406","14,924","10,376","14,521","17,116","17,186"
2020년07월_계_60~69세,"107,174","9,549","12,676","5,736","15,850","8,385","12,128","8,741","11,234","11,535","11,340"
2020년07월_계_70~79세,"45,993","4,483","5,786","2,342","5,718","2,897","5,630","3,808","5,136","5,396","4,797"
2020년07월_계_80~89세,"19,394","1,694","2,343","1,004","2,579","1,216","2,279","1,472","2,299","2,466","2,042"
2020년07월_계_90~99세,"2,992",242,310,172,471,231,349,225,359,349,284
2020년07월_계_100세 이상,241,33,32,14,20,3,31,23,38,26,21
2020년07월_남_총인구수,"409,371","32,890","45,456","20,852","64,158","42,861","40,957","28,383","47,520","42,593","43,701"
2020년07월_남_연령구간인구수,"409,371","32,890","45,456","20,852","64,158","42,861","40,957","28,383","47,520","42,593","43,701"
2020년07월_남_0~9세,"30,481","1,664","3,022","1,474","5,288","4,214","2,568","1,958","5,171","2,379","2,743"
2020년07월_남_10~19세,"37,091","2,082","3,878","2,085","5,918","5,167","3,356","2,282","4,630","3,852","3,841"
2020년07월_남_20~29세,"61,186","5,189","6,843","3,157","9,778","6,285","6,165","4,168","5,974","6,761","6,866"
2020년07월_남_30~39세,"60,690","5,321","6,358","2,827","10,861","6,150","6,111","4,392","7,376","5,347","5,947"
2020년07월_남_40~49세,"65,988","5,327","7,364","3,188","9,915","7,332","6,395","4,038","8,758","6,664","7,007"
2020년07월_남_50~59세,"72,643","5,972","8,315","3,786","10,776","7,523","7,088","4,906","6,976","8,616","8,685"
2020년07월_남_60~69세,"52,972","4,576","6,132","2,850","8,074","4,413","5,804","4,217","5,365","5,766","5,775"
2020년07월_남_70~79세,"21,175","2,121","2,656","1,120","2,668","1,352","2,557","1,838","2,388","2,339","2,136"
2020년07월_남_80~89세,"6,413",592,797,320,776,377,838,520,781,780,632
2020년07월_남_90~99세,672,39,80,41,99,47,67,60,89,84,66
2020년07월_남_100세 이상,60,7,11,4,5,1,8,4,12,5,3
2020년07월_여_총인구수,"415,304","31,937","45,166","21,400","68,246","44,455","41,775","29,020","49,280","42,324","41,701"
2020년07월_여_연령구간인구수,"415,304","31,937","45,166","21,400","68,246","44,455","41,775","29,020","49,280","42,324","41,701"
2020년07월_여_0~9세,"28,970","1,500","2,835","1,401","4,959","4,093","2,361","1,896","4,999","2,355","2,571"
2020년07월_여_10~19세,"35,051","1,977","3,558","1,870","5,757","4,955","3,125","2,243","4,586","3,575","3,405"
2020년07월_여_20~29세,"57,379","5,075","6,135","3,066","10,033","6,025","5,668","3,827","5,605","5,982","5,963"
2020년07월_여_30~39세,"57,660","4,321","5,921","2,727","11,177","6,735","5,396","3,888","7,741","4,621","5,133"
2020년07월_여_40~49세,"65,151","4,499","6,755","3,318","10,923","8,222","6,246","4,066","8,373","6,493","6,256"
2020년07월_여_50~59세,"76,591","5,899","8,491","4,085","12,381","7,883","7,836","5,470","7,545","8,500","8,501"
2020년07월_여_60~69세,"54,202","4,973","6,544","2,886","7,776","3,972","6,324","4,524","5,869","5,769","5,565"
2020년07월_여_70~79세,"24,818","2,362","3,130","1,222","3,050","1,545","3,073","1,970","2,748","3,057","2,661"
2020년07월_여_80~89세,"12,981","1,102","1,546",684,"1,803",839,"1,441",952,"1,518","1,686","1,410"
2020년07월_여_90~99세,"2,320",203,230,131,372,184,282,165,270,265,218
2020년07월_여_100세 이상,181,26,21,10,15,2,23,19,26,21,18
