카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년02월_계_총인구수,"373,867","109,002","43,567","22,832","9,082","14,413","1,503","2,704","43,468","60,687","66,609"
2020년02월_계_연령구간인구수,"373,867","109,002","43,567","22,832","9,082","14,413","1,503","2,704","43,468","60,687","66,609"
2020년02월_계_0~9세,"36,052","11,382","3,837","1,449",517,"1,057",46,163,"4,197","5,124","8,280"
2020년02월_계_10~19세,"33,454","8,631","4,601","1,897",603,"1,167",70,222,"4,082","5,730","6,451"
2020년02월_계_20~29세,"43,878","12,949","5,049","2,838",971,"1,123",115,194,"5,654","7,838","7,147"
2020년02월_계_30~39세,"59,138","20,609","5,883","2,757",993,"1,451",92,237,"6,728","8,566","11,822"
2020년02월_계_40~49세,"65,157","19,024","7,862","3,661","1,316","2,338",166,401,"7,408","10,595","12,386"
2020년02월_계_50~59세,"61,893","16,714","7,453","4,547","1,778","2,475",265,510,"7,413","10,999","9,739"
2020년02월_계_60~69세,"44,308","11,801","5,205","3,204","1,624","2,690",367,494,"4,831","7,346","6,746"
2020년02월_계_70~79세,"20,990","5,621","2,530","1,586",821,"1,466",238,299,"2,241","3,243","2,945"
2020년02월_계_80~89세,"7,741","1,953","1,006",767,392,546,125,155,789,"1,077",931
2020년02월_계_90~99세,"1,160",304,137,107,60,94,19,27,110,147,155
2020년02월_계_100세 이상,96,14,4,19,7,6,0,2,15,22,7
2020년02월_남_총인구수,"191,421","55,350","22,674","12,200","5,016","7,361",777,"1,447","22,137","30,725","33,734"
2020년02월_남_연령구간인구수,"191,421","55,350","22,674","12,200","5,016","7,361",777,"1,447","22,137","30,725","33,734"
2020년02월_남_0~9세,"18,513","5,850","1,958",736,280,540,24,82,"2,215","2,588","4,240"
2020년02월_남_10~19세,"17,154","4,456","2,333","1,002",314,630,42,117,"2,063","2,876","3,321"
2020년02월_남_20~29세,"23,144","6,753","2,691","1,583",576,617,59,94,"2,946","4,163","3,662"
2020년02월_남_30~39세,"30,936","10,826","3,116","1,531",583,747,47,130,"3,446","4,561","5,949"
2020년02월_남_40~49세,"34,554","10,139","4,206","1,996",777,"1,297",92,234,"3,865","5,467","6,481"
2020년02월_남_50~59세,"31,497","8,132","4,027","2,528","1,010","1,254",143,292,"3,781","5,418","4,912"
2020년02월_남_60~69세,"22,297","5,723","2,730","1,729",893,"1,306",198,278,"2,451","3,681","3,308"
2020년02월_남_70~79세,"10,163","2,678","1,217",774,417,745,111,148,"1,054","1,536","1,483"
2020년02월_남_80~89세,"2,893",719,373,290,150,203,53,66,292,400,347
2020년02월_남_90~99세,249,70,22,26,15,21,8,6,18,32,31
2020년02월_남_100세 이상,21,4,1,5,1,1,0,0,6,3,0
2020년02월_여_총인구수,"182,446","53,652","20,893","10,632","4,066","7,052",726,"1,257","21,331","29,962","32,875"
2020년02월_여_연령구간인구수,"182,446","53,652","20,893","10,632","4,066","7,052",726,"1,257","21,331","29,962","32,875"
2020년02월_여_0~9세,"17,539","5,532","1,879",713,237,517,22,81,"1,982","2,536","4,040"
2020년02월_여_10~19세,"16,300","4,175","2,268",895,289,537,28,105,"2,019","2,854","3,130"
2020년02월_여_20~29세,"20,734","6,196","2,358","1,255",395,506,56,100,"2,708","3,675","3,485"
2020년02월_여_30~39세,"28,202","9,783","2,767","1,226",410,704,45,107,"3,282","4,005","5,873"
2020년02월_여_40~49세,"30,603","8,885","3,656","1,665",539,"1,041",74,167,"3,543","5,128","5,905"
2020년02월_여_50~59세,"30,396","8,582","3,426","2,019",768,"1,221",122,218,"3,632","5,581","4,827"
2020년02월_여_60~69세,"22,011","6,078","2,475","1,475",731,"1,384",169,216,"2,380","3,665","3,438"
2020년02월_여_70~79세,"10,827","2,943","1,313",812,404,721,127,151,"1,187","1,707","1,462"
2020년02월_여_80~89세,"4,848","1,234",633,477,242,343,72,89,497,677,584
2020년02월_여_90~99세,911,234,115,81,45,73,11,21,92,115,124
2020년02월_여_100세 이상,75,10,3,14,6,5,0,2,9,19,7
