카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년05월_계_총인구수,"260,403","47,663","4,756","13,535","50,418","38,626","29,667","25,391","23,185","7,878","3,680","15,604"
2021년05월_계_연령구간인구수,"260,403","47,663","4,756","13,535","50,418","38,626","29,667","25,391","23,185","7,878","3,680","15,604"
2021년05월_계_0~9세,"29,088","3,191",281,787,"5,773","6,192","5,194","2,570","2,395",406,106,"2,193"
2021년05월_계_10~19세,"24,064","4,426",163,"1,361","5,948","3,509","3,503","1,783","1,709",486,121,"1,055"
2021년05월_계_20~29세,"28,772","6,261",504,"1,833","5,529","3,908","2,410","2,618","3,171",656,279,"1,603"
2021년05월_계_30~39세,"41,066","5,158",592,"1,346","6,981","8,276","6,094","3,953","4,331",630,285,"3,420"
2021년05월_계_40~49세,"43,921","6,946",559,"2,479","9,579","7,191","6,062","3,712","3,605",907,306,"2,575"
2021년05월_계_50~59세,"40,735","9,609",932,"3,009","7,850","4,927","2,963","4,266","3,174","1,354",809,"1,842"
2021년05월_계_60~69세,"31,268","7,275",928,"1,673","5,408","3,109","2,176","3,881","2,709","1,674",864,"1,571"
2021년05월_계_70~79세,"14,177","3,265",482,664,"2,367","1,105",842,"1,772","1,351","1,025",500,804
2021년05월_계_80~89세,"6,455","1,363",276,340,871,361,364,753,663,629,357,478
2021년05월_계_90~99세,836,165,38,40,111,46,57,83,74,109,51,62
2021년05월_계_100세 이상,21,4,1,3,1,2,2,0,3,2,2,1
2021년05월_남_총인구수,"132,187","23,692","2,578","7,166","24,923","19,679","15,085","12,802","12,171","3,922","1,979","8,190"
2021년05월_남_연령구간인구수,"132,187","23,692","2,578","7,166","24,923","19,679","15,085","12,802","12,171","3,922","1,979","8,190"
2021년05월_남_0~9세,"14,836","1,650",149,386,"2,906","3,151","2,665","1,336","1,219",215,50,"1,109"
2021년05월_남_10~19세,"12,552","2,277",78,719,"3,104","1,823","1,827",950,895,257,59,563
2021년05월_남_20~29세,"15,790","3,438",299,"1,107","2,928","2,041","1,310","1,383","1,831",383,170,900
2021년05월_남_30~39세,"21,465","2,752",344,723,"3,449","4,206","3,036","2,054","2,501",317,173,"1,910"
2021년05월_남_40~49세,"22,929","3,344",356,"1,336","4,732","3,879","3,142","1,994","2,008",482,195,"1,461"
2021년05월_남_50~59세,"20,271","4,634",508,"1,628","3,736","2,412","1,506","2,082","1,603",716,475,971
2021년05월_남_60~69세,"15,509","3,588",531,885,"2,588","1,548","1,063","1,905","1,330",814,502,755
2021년05월_남_70~79세,"6,566","1,481",219,279,"1,149",513,408,825,580,506,240,366
2021년05월_남_80~89세,"2,103",494,88,96,311,99,110,254,190,208,106,147
2021년05월_남_90~99세,163,34,6,7,20,7,18,19,13,23,8,8
2021년05월_남_100세 이상,3,0,0,0,0,0,0,0,1,1,1,0
2021년05월_여_총인구수,"128,216","23,971","2,178","6,369","25,495","18,947","14,582","12,589","11,014","3,956","1,701","7,414"
2021년05월_여_연령구간인구수,"128,216","23,971","2,178","6,369","25,495","18,947","14,582","12,589","11,014","3,956","1,701","7,414"
2021년05월_여_0~9세,"14,252","1,541",132,401,"2,867","3,041","2,529","1,234","1,176",191,56,"1,084"
2021년05월_여_10~19세,"11,512","2,149",85,642,"2,844","1,686","1,676",833,814,229,62,492
2021년05월_여_20~29세,"12,982","2,823",205,726,"2,601","1,867","1,100","1,235","1,340",273,109,703
2021년05월_여_30~39세,"19,601","2,406",248,623,"3,532","4,070","3,058","1,899","1,830",313,112,"1,510"
2021년05월_여_40~49세,"20,992","3,602",203,"1,143","4,847","3,312","2,920","1,718","1,597",425,111,"1,114"
2021년05월_여_50~59세,"20,464","4,975",424,"1,381","4,114","2,515","1,457","2,184","1,571",638,334,871
2021년05월_여_60~69세,"15,759","3,687",397,788,"2,820","1,561","1,113","1,976","1,379",860,362,816
2021년05월_여_70~79세,"7,611","1,784",263,385,"1,218",592,434,947,771,519,260,438
2021년05월_여_80~89세,"4,352",869,188,244,560,262,254,499,473,421,251,331
2021년05월_여_90~99세,673,131,32,33,91,39,39,64,61,86,43,54
2021년05월_여_100세 이상,18,4,1,3,1,2,2,0,2,1,1,1
