카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년01월_계_총인구수,"350,875","35,090","34,917","40,070","22,160","24,797","37,778","26,071","27,104","27,830","29,062","45,996"
2021년01월_계_연령구간인구수,"350,875","35,090","34,917","40,070","22,160","24,797","37,778","26,071","27,104","27,830","29,062","45,996"
2021년01월_계_0~9세,"34,697","3,246","1,553","3,495","2,258","2,430","5,009","2,957","2,592","2,527","3,187","5,443"
2021년01월_계_10~19세,"38,129","3,397","1,479","3,177","3,033","3,445","4,626","2,962","3,199","3,070","4,574","5,167"
2021년01월_계_20~29세,"52,673","4,429","8,374","8,394","2,862","3,168","3,794","4,107","4,348","4,265","3,719","5,213"
2021년01월_계_30~39세,"55,991","4,475","6,773","6,407","3,190","3,102","6,366","5,285","4,406","4,114","4,052","7,821"
2021년01월_계_40~49세,"60,403","5,954","4,394","5,586","4,376","4,771","7,389","4,207","4,339","4,745","5,977","8,665"
2021년01월_계_50~59세,"53,935","6,236","5,534","5,884","3,245","4,014","5,212","3,501","4,468","4,673","4,427","6,741"
2021년01월_계_60~69세,"33,975","4,382","4,060","4,533","1,825","2,150","3,434","1,941","2,453","2,519","2,124","4,554"
2021년01월_계_70~79세,"13,482","1,899","1,780","1,687",872,"1,109","1,322",663,724,"1,168",661,"1,597"
2021년01월_계_80~89세,"6,430",929,799,775,424,521,525,387,466,647,292,665
2021년01월_계_90~99세,"1,101",132,146,126,74,86,97,60,106,98,49,127
2021년01월_계_100세 이상,59,11,25,6,1,1,4,1,3,4,0,3
2021년01월_남_총인구수,"177,175","17,818","18,045","20,836","11,003","12,201","18,558","13,660","13,898","14,272","14,843","22,041"
2021년01월_남_연령구간인구수,"177,175","17,818","18,045","20,836","11,003","12,201","18,558","13,660","13,898","14,272","14,843","22,041"
2021년01월_남_0~9세,"17,856","1,640",800,"1,753","1,173","1,250","2,533","1,563","1,377","1,311","1,669","2,787"
2021년01월_남_10~19세,"19,724","1,825",757,"1,652","1,557","1,786","2,364","1,517","1,630","1,586","2,370","2,680"
2021년01월_남_20~29세,"28,290","2,421","4,276","4,910","1,473","1,621","1,987","2,282","2,400","2,379","1,971","2,570"
2021년01월_남_30~39세,"29,145","2,293","3,901","3,501","1,585","1,524","3,025","2,908","2,422","2,214","2,072","3,700"
2021년01월_남_40~49세,"29,733","3,091","2,341","2,800","2,089","2,243","3,613","2,109","2,074","2,403","2,833","4,137"
2021년01월_남_50~59세,"26,890","3,114","2,746","2,821","1,672","2,036","2,538","1,813","2,191","2,432","2,418","3,109"
2021년01월_남_60~69세,"16,902","2,199","2,096","2,277",882,"1,043","1,644","1,015","1,296","1,264","1,103","2,083"
2021년01월_남_70~79세,"6,253",902,797,815,396,485,643,330,348,468,322,747
2021년01월_남_80~89세,"2,120",305,283,271,159,193,191,109,127,194,74,214
2021년01월_남_90~99세,248,24,44,35,16,19,19,14,31,21,11,14
2021년01월_남_100세 이상,14,4,4,1,1,1,1,0,2,0,0,0
2021년01월_여_총인구수,"173,700","17,272","16,872","19,234","11,157","12,596","19,220","12,411","13,206","13,558","14,219","23,955"
2021년01월_여_연령구간인구수,"173,700","17,272","16,872","19,234","11,157","12,596","19,220","12,411","13,206","13,558","14,219","23,955"
2021년01월_여_0~9세,"16,841","1,606",753,"1,742","1,085","1,180","2,476","1,394","1,215","1,216","1,518","2,656"
2021년01월_여_10~19세,"18,405","1,572",722,"1,525","1,476","1,659","2,262","1,445","1,569","1,484","2,204","2,487"
2021년01월_여_20~29세,"24,383","2,008","4,098","3,484","1,389","1,547","1,807","1,825","1,948","1,886","1,748","2,643"
2021년01월_여_30~39세,"26,846","2,182","2,872","2,906","1,605","1,578","3,341","2,377","1,984","1,900","1,980","4,121"
2021년01월_여_40~49세,"30,670","2,863","2,053","2,786","2,287","2,528","3,776","2,098","2,265","2,342","3,144","4,528"
2021년01월_여_50~59세,"27,045","3,122","2,788","3,063","1,573","1,978","2,674","1,688","2,277","2,241","2,009","3,632"
2021년01월_여_60~69세,"17,073","2,183","1,964","2,256",943,"1,107","1,790",926,"1,157","1,255","1,021","2,471"
2021년01월_여_70~79세,"7,229",997,983,872,476,624,679,333,376,700,339,850
2021년01월_여_80~89세,"4,310",624,516,504,265,328,334,278,339,453,218,451
2021년01월_여_90~99세,853,108,102,91,58,67,78,46,75,77,38,113
2021년01월_여_100세 이상,45,7,21,5,0,0,3,1,1,4,0,3
