카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년11월_계_총인구수,"114,951","33,464","24,090","31,192","4,239","5,313","3,532","9,871","3,250"
2020년11월_계_연령구간인구수,"114,951","33,464","24,090","31,192","4,239","5,313","3,532","9,871","3,250"
2020년11월_계_0~9세,"9,565","2,338","1,876","4,493",78,125,89,329,237
2020년11월_계_10~19세,"11,541","3,406","3,123","3,718",124,169,145,692,164
2020년11월_계_20~29세,"12,149","3,905","2,899","3,047",308,415,250,"1,096",229
2020년11월_계_30~39세,"15,061","3,450","2,438","7,287",276,338,227,710,335
2020년11월_계_40~49세,"20,635","5,511","5,140","6,893",365,507,367,"1,424",428
2020년11월_계_50~59세,"19,644","6,313","4,769","3,018",839,"1,135",752,"2,243",575
2020년11월_계_60~69세,"13,671","4,411","2,205","1,583","1,011","1,307",857,"1,691",606
2020년11월_계_70~79세,"7,649","2,433","1,050",753,699,773,522,"1,037",382
2020년11월_계_80~89세,"4,383","1,488",529,348,471,451,267,573,256
2020년11월_계_90~99세,612,189,60,47,64,93,52,72,35
2020년11월_계_100세 이상,41,20,1,5,4,0,4,4,3
2020년11월_남_총인구수,"59,955","16,772","12,577","16,843","2,287","2,722","1,929","5,121","1,704"
2020년11월_남_연령구간인구수,"59,955","16,772","12,577","16,843","2,287","2,722","1,929","5,121","1,704"
2020년11월_남_0~9세,"4,925","1,191",973,"2,321",41,64,45,160,130
2020년11월_남_10~19세,"6,102","1,771","1,648","1,980",66,93,74,373,97
2020년11월_남_20~29세,"6,907","2,248","1,694","1,544",189,260,166,662,144
2020년11월_남_30~39세,"8,234","1,842","1,247","4,041",173,200,137,424,170
2020년11월_남_40~49세,"11,128","2,790","2,571","3,959",244,319,228,762,255
2020년11월_남_50~59세,"10,659","3,208","2,637","1,779",514,578,438,"1,196",309
2020년11월_남_60~69세,"7,084","2,196","1,160",772,570,692,468,891,335
2020년11월_남_70~79세,"3,334",991,457,329,313,372,258,447,167
2020년11월_남_80~89세,"1,434",483,174,105,164,134,96,190,88
2020년11월_남_90~99세,140,49,16,12,13,10,17,15,8
2020년11월_남_100세 이상,8,3,0,1,0,0,2,1,1
2020년11월_여_총인구수,"54,996","16,692","11,513","14,349","1,952","2,591","1,603","4,750","1,546"
2020년11월_여_연령구간인구수,"54,996","16,692","11,513","14,349","1,952","2,591","1,603","4,750","1,546"
2020년11월_여_0~9세,"4,640","1,147",903,"2,172",37,61,44,169,107
2020년11월_여_10~19세,"5,439","1,635","1,475","1,738",58,76,71,319,67
2020년11월_여_20~29세,"5,242","1,657","1,205","1,503",119,155,84,434,85
2020년11월_여_30~39세,"6,827","1,608","1,191","3,246",103,138,90,286,165
2020년11월_여_40~49세,"9,507","2,721","2,569","2,934",121,188,139,662,173
2020년11월_여_50~59세,"8,985","3,105","2,132","1,239",325,557,314,"1,047",266
2020년11월_여_60~69세,"6,587","2,215","1,045",811,441,615,389,800,271
2020년11월_여_70~79세,"4,315","1,442",593,424,386,401,264,590,215
2020년11월_여_80~89세,"2,949","1,005",355,243,307,317,171,383,168
2020년11월_여_90~99세,472,140,44,35,51,83,35,57,27
2020년11월_여_100세 이상,33,17,1,4,4,0,2,3,2
