,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년07월_계_총인구수,"404,422","10,991","6,628","15,371","4,627","32,895","29,023","11,016","15,917","7,236","27,434","43,399","18,592","31,153","77,641","25,024","2,115","1,898","4,068","2,200","2,015","35,179"
2021년07월_계_연령구간인구수,"404,422","10,991","6,628","15,371","4,627","32,895","29,023","11,016","15,917","7,236","27,434","43,399","18,592","31,153","77,641","25,024","2,115","1,898","4,068","2,200","2,015","35,179"
2021년07월_계_0~9세,"38,399",660,319,"1,395",298,"3,815","2,353",682,"1,048",641,"1,970","3,730","2,015","2,773","9,742","3,061",54,41,134,50,29,"3,589"
2021년07월_계_10~19세,"51,573","1,110",369,"1,583",396,"3,710","2,144","1,114","1,964",747,"3,408","5,521","2,815","3,850","13,596","3,308",110,71,141,114,96,"5,406"
2021년07월_계_20~29세,"58,734","1,730","1,025","2,135",598,"4,020","4,391","1,870","2,448",851,"5,039","7,861","2,646","4,679","9,621","3,336",159,167,417,157,142,"5,442"
2021년07월_계_30~39세,"53,542","1,174",892,"2,093",540,"5,337","4,586","1,233","1,758",886,"3,458","5,755","2,301","3,904","10,033","3,683",111,135,458,147,122,"4,936"
2021년07월_계_40~49세,"75,598","1,811",835,"2,645",705,"6,133","4,273","1,600","2,746","1,348","4,271","7,923","3,863","5,715","17,893","5,103",181,181,488,195,213,"7,476"
2021년07월_계_50~59세,"65,169","1,872","1,101","2,455",779,"4,600","5,106","2,180","3,048","1,379","5,514","7,721","2,904","5,583","10,258","3,567",379,311,649,368,310,"5,085"
2021년07월_계_60~69세,"34,969","1,355",943,"1,579",643,"3,160","3,591","1,457","1,779",732,"2,458","3,005","1,173","2,594","4,078","1,999",469,412,809,465,386,"1,882"
2021년07월_계_70~79세,"17,198",895,781,"1,011",463,"1,395","1,594",571,770,401,829,"1,176",613,"1,378","1,743",646,336,362,570,370,360,934
2021년07월_계_80~89세,"8,000",334,314,414,170,628,850,269,318,222,408,621,226,607,580,275,260,188,338,293,308,377
2021년07월_계_90~99세,"1,192",47,43,59,32,92,135,40,37,29,77,83,34,67,96,44,55,27,61,39,48,47
2021년07월_계_100세 이상,48,3,6,2,3,5,0,0,1,0,2,3,2,3,1,2,1,3,3,2,1,5
2021년07월_남_총인구수,"203,759","5,576","3,331","7,759","2,342","16,808","14,754","5,568","8,032","3,823","13,621","21,848","9,459","15,259","38,309","12,855","1,101",973,"2,270","1,140","1,004","17,927"
2021년07월_남_연령구간인구수,"203,759","5,576","3,331","7,759","2,342","16,808","14,754","5,568","8,032","3,823","13,621","21,848","9,459","15,259","38,309","12,855","1,101",973,"2,270","1,140","1,004","17,927"
2021년07월_남_0~9세,"19,669",350,170,736,157,"1,979","1,211",356,526,322,"1,010","1,895","1,038","1,402","4,994","1,560",20,22,69,22,15,"1,815"
2021년07월_남_10~19세,"26,518",568,186,836,208,"1,881","1,104",594,"1,018",402,"1,719","2,877","1,443","2,007","6,791","1,725",62,42,76,61,53,"2,865"
2021년07월_남_20~29세,"31,188",980,540,"1,160",328,"2,214","2,316","1,015","1,293",480,"2,657","4,147","1,419","2,392","5,001","1,795",94,97,251,105,77,"2,827"
2021년07월_남_30~39세,"27,233",615,510,"1,084",300,"2,732","2,496",661,904,467,"1,781","3,009","1,119","1,941","4,618","1,850",66,90,286,93,64,"2,547"
2021년07월_남_40~49세,"37,653",935,460,"1,365",364,"3,308","2,243",789,"1,367",730,"1,944","3,741","1,914","2,766","8,599","2,661",115,113,349,115,135,"3,640"
2021년07월_남_50~59세,"33,822",985,567,"1,251",403,"2,313","2,602","1,069","1,558",782,"2,650","3,937","1,609","2,782","5,477","1,836",230,179,421,236,183,"2,752"
2021년07월_남_60~69세,"17,590",643,431,746,301,"1,555","1,866",727,890,392,"1,333","1,572",571,"1,249","1,932","1,045",263,210,441,252,226,945
2021년07월_남_70~79세,"7,468",371,343,434,218,621,695,270,354,181,367,479,272,516,725,301,156,167,269,178,140,411
2021년07월_남_80~89세,"2,393",116,113,134,56,191,208,78,114,60,148,177,66,184,156,74,88,49,96,72,100,113
2021년07월_남_90~99세,220,12,11,13,7,13,13,9,8,7,11,14,7,20,16,8,7,3,12,6,11,12
2021년07월_남_100세 이상,5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2021년07월_여_총인구수,"200,663","5,415","3,297","7,612","2,285","16,087","14,269","5,448","7,885","3,413","13,813","21,551","9,133","15,894","39,332","12,169","1,014",925,"1,798","1,060","1,011","17,252"
2021년07월_여_연령구간인구수,"200,663","5,415","3,297","7,612","2,285","16,087","14,269","5,448","7,885","3,413","13,813","21,551","9,133","15,894","39,332","12,169","1,014",925,"1,798","1,060","1,011","17,252"
2021년07월_여_0~9세,"18,730",310,149,659,141,"1,836","1,142",326,522,319,960,"1,835",977,"1,371","4,748","1,501",34,19,65,28,14,"1,774"
2021년07월_여_10~19세,"25,055",542,183,747,188,"1,829","1,040",520,946,345,"1,689","2,644","1,372","1,843","6,805","1,583",48,29,65,53,43,"2,541"
2021년07월_여_20~29세,"27,546",750,485,975,270,"1,806","2,075",855,"1,155",371,"2,382","3,714","1,227","2,287","4,620","1,541",65,70,166,52,65,"2,615"
2021년07월_여_30~39세,"26,309",559,382,"1,009",240,"2,605","2,090",572,854,419,"1,677","2,746","1,182","1,963","5,415","1,833",45,45,172,54,58,"2,389"
2021년07월_여_40~49세,"37,945",876,375,"1,280",341,"2,825","2,030",811,"1,379",618,"2,327","4,182","1,949","2,949","9,294","2,442",66,68,139,80,78,"3,836"
2021년07월_여_50~59세,"31,347",887,534,"1,204",376,"2,287","2,504","1,111","1,490",597,"2,864","3,784","1,295","2,801","4,781","1,731",149,132,228,132,127,"2,333"
2021년07월_여_60~69세,"17,379",712,512,833,342,"1,605","1,725",730,889,340,"1,125","1,433",602,"1,345","2,146",954,206,202,368,213,160,937
2021년07월_여_70~79세,"9,730",524,438,577,245,774,899,301,416,220,462,697,341,862,"1,018",345,180,195,301,192,220,523
2021년07월_여_80~89세,"5,607",218,201,280,114,437,642,191,204,162,260,444,160,423,424,201,172,139,242,221,208,264
2021년07월_여_90~99세,972,35,32,46,25,79,122,31,29,22,66,69,27,47,80,36,48,24,49,33,37,35
2021년07월_여_100세 이상,43,2,6,2,3,4,0,0,1,0,1,3,1,3,1,2,1,2,3,2,1,5
