,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년10월_계_총인구수,"51,476","22,863","3,322","2,833","2,478","2,544","2,876","2,165","3,226","3,072","6,097"
2020년10월_계_연령구간인구수,"51,476","22,863","3,322","2,833","2,478","2,544","2,876","2,165","3,226","3,072","6,097"
2020년10월_계_0~9세,"2,614","1,693",83,84,65,126,86,63,75,82,257
2020년10월_계_10~19세,"4,324","2,470",163,106,72,142,414,171,215,147,424
2020년10월_계_20~29세,"3,977","2,161",226,177,112,135,163,98,192,205,508
2020년10월_계_30~39세,"3,800","2,174",203,166,115,147,133,86,144,191,441
2020년10월_계_40~49세,"6,268","3,578",299,238,181,258,237,173,321,295,688
2020년10월_계_50~59세,"9,137","3,773",617,503,428,424,437,444,633,613,"1,265"
2020년10월_계_60~69세,"9,721","3,365",733,707,604,582,580,465,688,719,"1,278"
2020년10월_계_70~79세,"6,824","2,367",541,462,468,414,442,372,571,484,703
2020년10월_계_80~89세,"4,234","1,133",382,340,381,285,349,260,348,288,468
2020년10월_계_90~99세,548,134,72,49,50,31,34,32,37,46,63
2020년10월_계_100세 이상,29,15,3,1,2,0,1,1,2,2,2
2020년10월_남_총인구수,"25,957","11,237","1,716","1,477","1,241","1,277","1,458","1,116","1,624","1,623","3,188"
2020년10월_남_연령구간인구수,"25,957","11,237","1,716","1,477","1,241","1,277","1,458","1,116","1,624","1,623","3,188"
2020년10월_남_0~9세,"1,330",838,55,45,32,62,50,33,41,41,133
2020년10월_남_10~19세,"2,265","1,261",93,68,35,75,205,89,120,87,232
2020년10월_남_20~29세,"2,287","1,214",140,109,66,81,103,70,102,118,284
2020년10월_남_30~39세,"1,995","1,105",114,98,68,78,65,37,72,98,260
2020년10월_남_40~49세,"3,468","1,866",167,152,128,153,144,109,186,183,380
2020년10월_남_50~59세,"5,052","1,942",364,284,257,254,258,256,366,360,711
2020년10월_남_60~69세,"4,906","1,576",382,376,306,296,304,261,349,378,678
2020년10월_남_70~79세,"3,081","1,000",246,225,218,182,206,163,260,244,337
2020년10월_남_80~89세,"1,434",404,139,107,118,90,115,91,117,100,153
2020년10월_남_90~99세,131,27,15,13,13,6,8,7,9,13,20
2020년10월_남_100세 이상,8,4,1,0,0,0,0,0,2,1,0
2020년10월_여_총인구수,"25,519","11,626","1,606","1,356","1,237","1,267","1,418","1,049","1,602","1,449","2,909"
2020년10월_여_연령구간인구수,"25,519","11,626","1,606","1,356","1,237","1,267","1,418","1,049","1,602","1,449","2,909"
2020년10월_여_0~9세,"1,284",855,28,39,33,64,36,30,34,41,124
2020년10월_여_10~19세,"2,059","1,209",70,38,37,67,209,82,95,60,192
2020년10월_여_20~29세,"1,690",947,86,68,46,54,60,28,90,87,224
2020년10월_여_30~39세,"1,805","1,069",89,68,47,69,68,49,72,93,181
2020년10월_여_40~49세,"2,800","1,712",132,86,53,105,93,64,135,112,308
2020년10월_여_50~59세,"4,085","1,831",253,219,171,170,179,188,267,253,554
2020년10월_여_60~69세,"4,815","1,789",351,331,298,286,276,204,339,341,600
2020년10월_여_70~79세,"3,743","1,367",295,237,250,232,236,209,311,240,366
2020년10월_여_80~89세,"2,800",729,243,233,263,195,234,169,231,188,315
2020년10월_여_90~99세,417,107,57,36,37,25,26,25,28,33,43
2020년10월_여_100세 이상,21,11,2,1,2,0,1,1,0,1,2
