카테고리,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020년08월_계_총인구수,"344,650","31,044","25,059","30,276","19,337","29,213","29,640","38,561","33,095","20,838","10,392","13,645","24,420","18,524","20,606"
2020년08월_계_연령구간인구수,"344,650","31,044","25,059","30,276","19,337","29,213","29,640","38,561","33,095","20,838","10,392","13,645","24,420","18,524","20,606"
2020년08월_계_0~9세,"21,225","1,312","1,054","1,921","1,282","2,767","1,869","2,577","2,970",857,466,799,"1,293",734,"1,324"
2020년08월_계_10~19세,"24,308","1,467","1,432","1,995","1,782","2,001","2,059","2,641","2,854","1,202",734,797,"2,130","1,340","1,874"
2020년08월_계_20~29세,"56,285","6,029","4,422","4,638","2,391","4,041","4,003","5,260","3,909","2,467","3,111","3,166","5,297","4,683","2,868"
2020년08월_계_30~39세,"50,609","5,310","3,290","4,397","2,386","5,370","4,491","6,368","5,209","2,405","1,451","2,170","3,040","2,166","2,556"
2020년08월_계_40~49세,"51,369","4,255","3,191","4,409","3,092","4,717","4,417","6,406","5,815","2,704","1,341","1,723","3,570","2,472","3,257"
2020년08월_계_50~59세,"53,632","4,709","3,863","4,949","3,287","4,327","5,006","6,056","4,961","3,695","1,212","1,997","3,560","2,611","3,399"
2020년08월_계_60~69세,"45,876","4,049","3,881","4,161","2,693","3,208","4,177","5,315","4,230","3,841",972,"1,532","2,916","2,176","2,725"
2020년08월_계_70~79세,"28,199","2,604","2,613","2,531","1,610","1,886","2,500","2,866","2,274","2,475",705,981,"1,818","1,530","1,806"
2020년08월_계_80~89세,"11,257","1,124","1,134","1,092",726,765,975,899,744,"1,014",328,410,674,683,689
2020년08월_계_90~99세,"1,585",160,153,140,77,100,122,147,112,149,60,60,110,95,100
2020년08월_계_100세 이상,305,25,26,43,11,31,21,26,17,29,12,10,12,34,8
2020년08월_남_총인구수,"170,926","15,812","12,858","15,191","9,321","14,178","14,423","19,185","16,590","10,414","4,951","6,662","12,138","9,200","10,003"
2020년08월_남_연령구간인구수,"170,926","15,812","12,858","15,191","9,321","14,178","14,423","19,185","16,590","10,414","4,951","6,662","12,138","9,200","10,003"
2020년08월_남_0~9세,"10,852",671,552,982,645,"1,405",946,"1,301","1,547",440,245,417,676,356,669
2020년08월_남_10~19세,"12,304",773,731,"1,014",876,"1,029","1,020","1,357","1,528",628,337,401,998,676,936
2020년08월_남_20~29세,"28,140","2,930","2,419","2,361","1,223","1,893","2,000","2,517","2,041","1,314","1,467","1,421","2,835","2,340","1,379"
2020년08월_남_30~39세,"26,179","2,766","1,831","2,268","1,194","2,558","2,291","3,293","2,610","1,300",759,"1,146","1,630","1,234","1,299"
2020년08월_남_40~49세,"26,545","2,337","1,750","2,298","1,494","2,444","2,253","3,347","2,977","1,417",669,890,"1,771","1,271","1,627"
2020년08월_남_50~59세,"26,951","2,520","2,021","2,543","1,602","2,110","2,417","2,998","2,486","1,868",606,"1,009","1,739","1,342","1,690"
2020년08월_남_60~69세,"22,184","2,062","1,877","2,102","1,263","1,551","1,975","2,582","2,025","1,898",429,748,"1,370","1,005","1,297"
2020년08월_남_70~79세,"12,755","1,225","1,182","1,132",680,865,"1,128","1,375","1,061","1,114",293,432,823,652,793
2020년08월_남_80~89세,"4,463",465,440,437,315,283,361,365,284,387,126,175,249,292,284
2020년08월_남_90~99세,462,56,49,40,24,29,22,42,26,44,18,17,42,26,27
2020년08월_남_100세 이상,91,7,6,14,5,11,10,8,5,4,2,6,5,6,2
2020년08월_여_총인구수,"173,724","15,232","12,201","15,085","10,016","15,035","15,217","19,376","16,505","10,424","5,441","6,983","12,282","9,324","10,603"
2020년08월_여_연령구간인구수,"173,724","15,232","12,201","15,085","10,016","15,035","15,217","19,376","16,505","10,424","5,441","6,983","12,282","9,324","10,603"
2020년08월_여_0~9세,"10,373",641,502,939,637,"1,362",923,"1,276","1,423",417,221,382,617,378,655
2020년08월_여_10~19세,"12,004",694,701,981,906,972,"1,039","1,284","1,326",574,397,396,"1,132",664,938
2020년08월_여_20~29세,"28,145","3,099","2,003","2,277","1,168","2,148","2,003","2,743","1,868","1,153","1,644","1,745","2,462","2,343","1,489"
2020년08월_여_30~39세,"24,430","2,544","1,459","2,129","1,192","2,812","2,200","3,075","2,599","1,105",692,"1,024","1,410",932,"1,257"
2020년08월_여_40~49세,"24,824","1,918","1,441","2,111","1,598","2,273","2,164","3,059","2,838","1,287",672,833,"1,799","1,201","1,630"
2020년08월_여_50~59세,"26,681","2,189","1,842","2,406","1,685","2,217","2,589","3,058","2,475","1,827",606,988,"1,821","1,269","1,709"
2020년08월_여_60~69세,"23,692","1,987","2,004","2,059","1,430","1,657","2,202","2,733","2,205","1,943",543,784,"1,546","1,171","1,428"
2020년08월_여_70~79세,"15,444","1,379","1,431","1,399",930,"1,021","1,372","1,491","1,213","1,361",412,549,995,878,"1,013"
2020년08월_여_80~89세,"6,794",659,694,655,411,482,614,534,460,627,202,235,425,391,405
2020년08월_여_90~99세,"1,123",104,104,100,53,71,100,105,86,105,42,43,68,69,73
2020년08월_여_100세 이상,214,18,20,29,6,20,11,18,12,25,10,4,7,28,6
