카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년03월_남_90~99세,280,14,35,12,8,13,17,17,16,10,11,24,9,13,24,26,13,18
2020년03월_남_100세 이상,34,2,8,0,0,0,0,3,1,5,0,1,5,2,1,2,1,3
2020년03월_여_총인구수,"151,119","3,189","35,750","2,059","9,637","9,190","9,365","2,645","2,956","1,541","2,201","9,696","4,574","3,520","18,606","8,879","12,575","14,736"
2020년03월_여_연령구간인구수,"151,119","3,189","35,750","2,059","9,637","9,190","9,365","2,645","2,956","1,541","2,201","9,696","4,574","3,520","18,606","8,879","12,575","14,736"
2020년03월_여_0~9세,"16,689",206,"4,712",111,"1,536","1,399","1,173",73,158,23,62,854,461,145,"2,090",747,"1,257","1,682"
2020년03월_여_10~19세,"16,641",249,"4,416",166,"1,356",787,702,122,197,69,104,"1,024",345,268,"2,401","1,166","1,454","1,815"
2020년03월_여_20~29세,"16,056",239,"4,277",117,"1,043",792,"1,010",164,198,89,153,"1,038",528,430,"2,141",855,"1,553","1,429"
2020년03월_여_30~39세,"23,274",268,"6,688",123,"1,992","1,712","1,823",150,242,60,137,"1,195",802,266,"2,777","1,005","1,825","2,209"
2020년03월_여_40~49세,"25,246",396,"6,592",269,"1,815","1,358","1,238",228,356,95,173,"1,589",651,478,"3,356","1,679","2,278","2,695"
2020년03월_여_50~59세,"20,994",542,"4,330",344,872,"1,239","1,326",472,537,234,380,"1,455",630,724,"2,556","1,427","1,887","2,039"
2020년03월_여_60~69세,"15,196",556,"2,494",379,491,952,988,566,514,394,447,"1,140",548,596,"1,660",973,"1,145","1,353"
2020년03월_여_70~79세,"9,827",387,"1,362",289,300,517,620,445,382,285,407,826,365,376,"1,016",609,750,891
2020년03월_여_80~89세,"6,170",295,766,220,193,361,406,360,324,251,298,502,191,196,536,359,356,556
2020년03월_여_90~99세,944,49,108,36,38,71,76,63,45,37,37,66,44,33,68,52,60,61
2020년03월_여_100세 이상,82,2,5,5,1,2,3,2,3,4,3,7,9,8,5,7,10,6
