,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년03월_계_총인구수,"813,178","63,827","89,567","41,645","130,806","86,126","81,435","56,780","95,626","83,257","84,109"
2021년03월_계_연령구간인구수,"813,178","63,827","89,567","41,645","130,806","86,126","81,435","56,780","95,626","83,257","84,109"
2021년03월_계_0~9세,"55,709","2,998","5,449","2,717","9,660","7,809","4,555","3,716","9,525","4,371","4,909"
2021년03월_계_10~19세,"69,442","3,848","7,127","3,820","11,233","9,803","6,281","4,290","9,258","6,936","6,846"
2021년03월_계_20~29세,"116,325","10,106","12,818","6,079","19,361","12,093","11,604","7,814","11,302","12,546","12,602"
2021년03월_계_30~39세,"114,266","9,427","11,923","5,421","21,418","12,453","11,062","8,129","14,106","9,622","10,705"
2021년03월_계_40~49세,"127,856","9,476","13,773","6,325","20,477","15,200","12,260","7,839","17,336","12,357","12,813"
2021년03월_계_50~59세,"146,293","11,584","16,435","7,654","22,658","15,246","14,598","10,131","14,309","16,885","16,793"
2021년03월_계_60~69세,"113,243","9,788","13,389","6,005","16,995","9,054","12,657","9,155","11,843","12,234","12,123"
2021년03월_계_70~79세,"46,702","4,596","5,847","2,380","5,851","2,934","5,682","3,897","5,257","5,402","4,856"
2021년03월_계_80~89세,"20,100","1,742","2,472","1,040","2,650","1,290","2,363","1,564","2,290","2,541","2,148"
2021년03월_계_90~99세,"3,098",251,314,193,484,238,357,230,379,353,299
2021년03월_계_100세 이상,144,11,20,11,19,6,16,15,21,10,15
2021년03월_남_총인구수,"403,374","32,424","44,854","20,611","63,203","42,317","40,334","28,041","46,847","41,696","43,047"
2021년03월_남_연령구간인구수,"403,374","32,424","44,854","20,611","63,203","42,317","40,334","28,041","46,847","41,696","43,047"
2021년03월_남_0~9세,"28,647","1,595","2,800","1,410","4,977","3,980","2,351","1,909","4,880","2,205","2,540"
2021년03월_남_10~19세,"35,611","1,961","3,711","1,995","5,684","5,009","3,239","2,151","4,616","3,623","3,622"
2021년03월_남_20~29세,"60,003","5,165","6,702","3,103","9,456","6,183","6,134","4,072","5,830","6,615","6,743"
2021년03월_남_30~39세,"58,805","5,172","6,225","2,786","10,600","5,973","5,905","4,298","6,871","5,151","5,824"
2021년03월_남_40~49세,"64,449","5,196","7,190","3,114","9,761","7,157","6,218","3,915","8,824","6,285","6,789"
2021년03월_남_50~59세,"70,956","5,816","8,101","3,678","10,468","7,391","6,961","4,765","6,840","8,458","8,478"
2021년03월_남_60~69세,"55,855","4,705","6,475","2,985","8,579","4,757","6,002","4,435","5,668","6,105","6,144"
2021년03월_남_70~79세,"21,562","2,154","2,688","1,150","2,721","1,406","2,588","1,888","2,440","2,357","2,170"
2021년03월_남_80~89세,"6,736",615,862,332,853,407,859,549,780,812,667
2021년03월_남_90~99세,712,43,94,54,100,51,73,56,90,84,67
2021년03월_남_100세 이상,38,2,6,4,4,3,4,3,8,1,3
2021년03월_여_총인구수,"409,804","31,403","44,713","21,034","67,603","43,809","41,101","28,739","48,779","41,561","41,062"
2021년03월_여_연령구간인구수,"409,804","31,403","44,713","21,034","67,603","43,809","41,101","28,739","48,779","41,561","41,062"
2021년03월_여_0~9세,"27,062","1,403","2,649","1,307","4,683","3,829","2,204","1,807","4,645","2,166","2,369"
2021년03월_여_10~19세,"33,831","1,887","3,416","1,825","5,549","4,794","3,042","2,139","4,642","3,313","3,224"
2021년03월_여_20~29세,"56,322","4,941","6,116","2,976","9,905","5,910","5,470","3,742","5,472","5,931","5,859"
2021년03월_여_30~39세,"55,461","4,255","5,698","2,635","10,818","6,480","5,157","3,831","7,235","4,471","4,881"
2021년03월_여_40~49세,"63,407","4,280","6,583","3,211","10,716","8,043","6,042","3,924","8,512","6,072","6,024"
2021년03월_여_50~59세,"75,337","5,768","8,334","3,976","12,190","7,855","7,637","5,366","7,469","8,427","8,315"
2021년03월_여_60~69세,"57,388","5,083","6,914","3,020","8,416","4,297","6,655","4,720","6,175","6,129","5,979"
2021년03월_여_70~79세,"25,140","2,442","3,159","1,230","3,130","1,528","3,094","2,009","2,817","3,045","2,686"
2021년03월_여_80~89세,"13,364","1,127","1,610",708,"1,797",883,"1,504","1,015","1,510","1,729","1,481"
2021년03월_여_90~99세,"2,386",208,220,139,384,187,284,174,289,269,232
2021년03월_여_100세 이상,106,9,14,7,15,3,12,12,13,9,12
