,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년11월_계_총인구수,"209,688","29,811","12,651","10,207","10,780","16,499","20,889","7,464","16,893","16,528","17,203","14,516","36,247"
2020년11월_계_연령구간인구수,"209,688","29,811","12,651","10,207","10,780","16,499","20,889","7,464","16,893","16,528","17,203","14,516","36,247"
2020년11월_계_0~9세,"14,858","2,654","1,103",477,747,"1,247","1,977",227,730,775,"1,076","1,290","2,555"
2020년11월_계_10~19세,"16,496","3,550","1,562",705,977,"1,256","1,297",384,905,689,"1,021","1,132","3,018"
2020년11월_계_20~29세,"26,263","3,261","1,356","1,171","1,251","1,874","2,565",811,"2,409","3,444","1,913","1,636","4,572"
2020년11월_계_30~39세,"27,444","3,179","1,287","1,085","1,176","2,193","3,702",739,"2,072","3,150","2,392","1,887","4,582"
2020년11월_계_40~49세,"31,997","5,598","2,389","1,341","1,643","2,487","2,999",974,"2,306","2,339","2,284","2,251","5,386"
2020년11월_계_50~59세,"34,215","4,740","1,976","1,665","1,881","2,666","3,122","1,326","2,862","2,342","2,713","2,485","6,437"
2020년11월_계_60~69세,"32,459","3,613","1,664","1,810","1,769","2,751","2,850","1,584","3,166","2,119","3,066","2,247","5,820"
2020년11월_계_70~79세,"18,174","2,237",906,"1,278",916,"1,465","1,652","1,015","1,731","1,202","1,899","1,166","2,707"
2020년11월_계_80~89세,"6,851",868,363,581,363,507,628,356,634,424,747,369,"1,011"
2020년11월_계_90~99세,841,107,36,87,55,45,88,42,74,35,80,46,146
2020년11월_계_100세 이상,90,4,9,7,2,8,9,6,4,9,12,7,13
2020년11월_남_총인구수,"101,023","14,434","6,051","4,815","5,298","8,045","10,023","3,540","8,122","7,854","8,321","7,110","17,410"
2020년11월_남_연령구간인구수,"101,023","14,434","6,051","4,815","5,298","8,045","10,023","3,540","8,122","7,854","8,321","7,110","17,410"
2020년11월_남_0~9세,"7,567","1,391",518,258,379,640,"1,004",119,342,384,559,680,"1,293"
2020년11월_남_10~19세,"8,479","1,867",752,378,540,661,639,188,461,355,545,570,"1,523"
2020년11월_남_20~29세,"13,304","1,713",714,567,693,995,"1,261",424,"1,147","1,456","1,017",878,"2,439"
2020년11월_남_30~39세,"13,790","1,491",612,556,617,"1,129","1,821",398,"1,093","1,578","1,248",921,"2,326"
2020년11월_남_40~49세,"15,631","2,594","1,143",665,776,"1,213","1,507",477,"1,168","1,215","1,194","1,132","2,547"
2020년11월_남_50~59세,"16,197","2,355",963,776,888,"1,230","1,461",619,"1,396","1,121","1,301","1,194","2,893"
2020년11월_남_60~69세,"14,908","1,646",793,813,833,"1,275","1,287",731,"1,432",997,"1,340","1,049","2,712"
2020년11월_남_70~79세,"8,292",977,410,557,427,685,776,441,814,567,811,545,"1,282"
2020년11월_남_80~89세,"2,642",373,136,216,137,201,246,134,247,172,282,133,365
2020년11월_남_90~99세,193,26,8,27,7,14,18,8,21,7,22,6,29
2020년11월_남_100세 이상,20,1,2,2,1,2,3,1,1,2,2,2,1
2020년11월_여_총인구수,"108,665","15,377","6,600","5,392","5,482","8,454","10,866","3,924","8,771","8,674","8,882","7,406","18,837"
2020년11월_여_연령구간인구수,"108,665","15,377","6,600","5,392","5,482","8,454","10,866","3,924","8,771","8,674","8,882","7,406","18,837"
2020년11월_여_0~9세,"7,291","1,263",585,219,368,607,973,108,388,391,517,610,"1,262"
2020년11월_여_10~19세,"8,017","1,683",810,327,437,595,658,196,444,334,476,562,"1,495"
2020년11월_여_20~29세,"12,959","1,548",642,604,558,879,"1,304",387,"1,262","1,988",896,758,"2,133"
2020년11월_여_30~39세,"13,654","1,688",675,529,559,"1,064","1,881",341,979,"1,572","1,144",966,"2,256"
2020년11월_여_40~49세,"16,366","3,004","1,246",676,867,"1,274","1,492",497,"1,138","1,124","1,090","1,119","2,839"
2020년11월_여_50~59세,"18,018","2,385","1,013",889,993,"1,436","1,661",707,"1,466","1,221","1,412","1,291","3,544"
2020년11월_여_60~69세,"17,551","1,967",871,997,936,"1,476","1,563",853,"1,734","1,122","1,726","1,198","3,108"
2020년11월_여_70~79세,"9,882","1,260",496,721,489,780,876,574,917,635,"1,088",621,"1,425"
2020년11월_여_80~89세,"4,209",495,227,365,226,306,382,222,387,252,465,236,646
2020년11월_여_90~99세,648,81,28,60,48,31,70,34,53,28,58,40,117
2020년11월_여_100세 이상,70,3,7,5,1,6,6,5,3,7,10,5,12
