카테고리,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년03월_계_총인구수,"1,455,705","98,628","300,292","217,810","433,006","405,969"
2020년03월_계_연령구간인구수,"1,455,705","98,628","300,292","217,810","433,006","405,969"
2020년03월_계_0~9세,"124,957","6,640","23,043","18,177","34,807","42,290"
2020년03월_계_10~19세,"162,130","7,323","33,126","23,398","44,526","53,757"
2020년03월_계_20~29세,"207,787","13,914","45,271","28,578","62,642","57,382"
2020년03월_계_30~39세,"190,641","12,406","38,291","26,797","56,985","56,162"
2020년03월_계_40~49세,"244,621","13,630","50,283","34,524","68,636","77,548"
2020년03월_계_50~59세,"234,045","15,400","49,766","33,782","72,643","62,454"
2020년03월_계_60~69세,"156,074","14,086","32,889","27,237","50,900","30,962"
2020년03월_계_70~79세,"91,156","10,074","18,670","17,114","28,534","16,764"
2020년03월_계_80~89세,"38,293","4,474","7,727","7,017","11,591","7,484"
2020년03월_계_90~99세,"5,591",620,"1,154","1,089","1,626","1,102"
2020년03월_계_100세 이상,410,61,72,97,116,64
2020년03월_남_총인구수,"720,460","48,750","147,355","104,881","215,039","204,435"
2020년03월_남_연령구간인구수,"720,460","48,750","147,355","104,881","215,039","204,435"
2020년03월_남_0~9세,"64,161","3,436","11,955","9,271","17,765","21,734"
2020년03월_남_10~19세,"84,260","3,812","17,375","11,795","23,601","27,677"
2020년03월_남_20~29세,"108,487","7,155","23,297","14,685","32,998","30,352"
2020년03월_남_30~39세,"96,986","6,462","19,331","13,299","29,542","28,352"
2020년03월_남_40~49세,"121,414","7,125","24,253","16,939","34,338","38,759"
2020년03월_남_50~59세,"115,943","7,607","24,358","15,910","35,448","32,620"
2020년03월_남_60~69세,"74,336","6,638","15,489","12,550","24,279","15,380"
2020년03월_남_70~79세,"40,300","4,467","8,318","7,676","12,683","7,156"
2020년03월_남_80~89세,"13,315","1,868","2,718","2,502","4,037","2,190"
2020년03월_남_90~99세,"1,206",169,252,241,335,209
2020년03월_남_100세 이상,52,11,9,13,13,6
2020년03월_여_총인구수,"735,245","49,878","152,937","112,929","217,967","201,534"
2020년03월_여_연령구간인구수,"735,245","49,878","152,937","112,929","217,967","201,534"
2020년03월_여_0~9세,"60,796","3,204","11,088","8,906","17,042","20,556"
2020년03월_여_10~19세,"77,870","3,511","15,751","11,603","20,925","26,080"
2020년03월_여_20~29세,"99,300","6,759","21,974","13,893","29,644","27,030"
2020년03월_여_30~39세,"93,655","5,944","18,960","13,498","27,443","27,810"
2020년03월_여_40~49세,"123,207","6,505","26,030","17,585","34,298","38,789"
2020년03월_여_50~59세,"118,102","7,793","25,408","17,872","37,195","29,834"
2020년03월_여_60~69세,"81,738","7,448","17,400","14,687","26,621","15,582"
2020년03월_여_70~79세,"50,856","5,607","10,352","9,438","15,851","9,608"
2020년03월_여_80~89세,"24,978","2,606","5,009","4,515","7,554","5,294"
2020년03월_여_90~99세,"4,385",451,902,848,"1,291",893
2020년03월_여_100세 이상,358,50,63,84,103,58
