,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2021년07월_계_총인구수,"51,671,569","9,558,153","3,361,781","2,395,749","2,937,440","1,442,482","1,455,300","1,125,727","364,364","13,512,867","1,536,140","1,597,501","2,118,205","1,793,902","1,839,698","2,631,649","3,324,735","675,876"
2021년07월_계_연령구간인구수,"51,671,569","9,558,153","3,361,781","2,395,749","2,937,440","1,442,482","1,455,300","1,125,727","364,364","13,512,867","1,536,140","1,597,501","2,118,205","1,793,902","1,839,698","2,631,649","3,324,735","675,876"
2021년07월_계_0~9세,"3,843,759","599,600","224,799","171,893","221,097","116,003","110,138","94,428","46,995","1,119,413","102,580","119,553","166,848","123,179","127,179","182,918","257,940","59,196"
2021년07월_계_10~19세,"4,737,829","764,952","267,659","220,577","271,547","153,869","143,598","110,546","44,340","1,326,320","135,021","147,224","201,286","171,743","164,477","223,455","320,906","70,309"
2021년07월_계_20~29세,"6,733,054","1,440,484","422,488","315,051","394,550","207,814","210,655","140,710","38,265","1,809,310","176,875","196,710","240,255","209,534","197,212","280,421","370,748","81,972"
2021년07월_계_30~39세,"6,764,334","1,449,434","409,975","287,590","400,637","182,548","190,813","147,449","61,176","1,898,501","163,235","192,127","262,268","184,768","181,118","283,759","387,531","81,405"
2021년07월_계_40~49세,"8,205,797","1,497,354","505,116","376,422","480,528","237,460","233,122","184,951","71,019","2,295,435","220,452","238,200","326,371","262,826","254,908","378,861","531,015","111,757"
2021년07월_계_50~59세,"8,591,085","1,505,745","556,481","419,517","508,488","233,995","239,271","206,594","46,878","2,249,247","263,759","269,459","337,638","297,818","311,829","453,913","576,482","113,971"
2021년07월_계_60~69세,"7,039,371","1,274,190","544,644","337,985","388,725","169,107","187,703","152,653","32,468","1,625,682","253,985","236,905","294,422","264,807","280,838","427,094","485,482","82,681"
2021년07월_계_70~79세,"3,699,044","696,452","294,713","175,933","178,261","94,071","91,741","61,642","14,554","769,763","133,653","119,913","171,492","170,737","191,252","241,786","247,494","45,587"
2021년07월_계_80~89세,"1,790,233","286,511","120,274","80,677","80,508","41,385","42,113","23,542","7,365","363,493","74,741","67,734","102,261","93,733","113,467","139,206","128,534","24,689"
2021년07월_계_90~99세,"256,245","40,954","14,876","9,732","12,554","5,997","5,937","3,129","1,268","53,391","11,374","9,360","14,845","14,225","16,821","19,584","18,093","4,105"
2021년07월_계_100세 이상,"10,818","2,477",756,372,545,233,209,83,36,"2,312",465,316,519,532,597,652,510,204
2021년07월_남_총인구수,"25,768,310","4,645,177","1,645,794","1,181,351","1,470,985","713,626","726,281","578,511","181,996","6,801,008","773,232","810,258","1,082,654","892,487","925,751","1,326,218","1,674,003","338,978"
2021년07월_남_연령구간인구수,"25,768,310","4,645,177","1,645,794","1,181,351","1,470,985","713,626","726,281","578,511","181,996","6,801,008","773,232","810,258","1,082,654","892,487","925,751","1,326,218","1,674,003","338,978"
2021년07월_남_0~9세,"1,970,651","307,748","115,409","88,038","113,520","59,483","56,671","48,509","24,014","573,001","52,541","61,074","85,414","63,189","64,847","94,146","132,593","30,454"
2021년07월_남_10~19세,"2,447,675","391,949","137,894","115,120","139,613","79,726","74,201","58,108","22,305","681,871","70,136","76,456","104,417","88,906","85,212","117,376","167,616","36,769"
