,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년11월_계_총인구수,"111,636","15,634","4,661","5,115","3,018","6,399","7,064","4,909","4,169","2,536","22,007","18,642","17,482"
2020년11월_계_연령구간인구수,"111,636","15,634","4,661","5,115","3,018","6,399","7,064","4,909","4,169","2,536","22,007","18,642","17,482"
2020년11월_계_0~9세,"7,421","1,039",178,181,99,281,228,152,134,110,"1,576","1,407","2,036"
2020년11월_계_10~19세,"9,627","1,311",272,290,147,441,420,369,264,143,"2,014","2,247","1,709"
2020년11월_계_20~29세,"12,157","1,675",465,410,228,549,623,410,349,203,"2,839","2,422","1,984"
2020년11월_계_30~39세,"11,490","1,812",294,363,193,514,452,305,299,171,"2,530","1,999","2,558"
2020년11월_계_40~49세,"16,021","2,258",409,540,284,689,691,593,479,279,"3,548","3,184","3,067"
2020년11월_계_50~59세,"20,102","2,831",871,966,587,"1,139","1,335",999,857,453,"3,891","3,334","2,839"
2020년11월_계_60~69세,"18,450","2,520","1,060","1,191",760,"1,370","1,615","1,001",884,601,"3,201","2,343","1,904"
2020년11월_계_70~79세,"10,208","1,356",658,720,456,851,988,613,549,365,"1,591","1,142",919
2020년11월_계_80~89세,"5,280",711,398,380,219,485,617,401,288,180,699,499,403
2020년11월_계_90~99세,829,111,54,72,44,79,90,60,64,29,108,61,57
2020년11월_계_100세 이상,51,10,2,2,1,1,5,6,2,2,10,4,6
2020년11월_남_총인구수,"56,728","8,078","2,411","2,671","1,560","3,287","3,695","2,549","2,150","1,283","11,004","9,331","8,709"
2020년11월_남_연령구간인구수,"56,728","8,078","2,411","2,671","1,560","3,287","3,695","2,549","2,150","1,283","11,004","9,331","8,709"
2020년11월_남_0~9세,"3,824",505,103,95,50,121,121,79,71,52,820,739,"1,068"
2020년11월_남_10~19세,"4,964",676,150,164,68,227,236,215,134,68,"1,039","1,147",840
2020년11월_남_20~29세,"6,664",943,271,230,148,306,385,223,204,115,"1,514","1,277","1,048"
2020년11월_남_30~39세,"6,061","1,017",163,210,104,278,260,173,160,98,"1,295","1,034","1,269"
2020년11월_남_40~49세,"8,288","1,195",233,302,160,413,374,323,261,154,"1,777","1,554","1,542"
2020년11월_남_50~59세,"10,542","1,510",469,528,319,626,724,571,480,233,"1,943","1,732","1,407"
2020년11월_남_60~69세,"9,400","1,284",536,618,395,718,865,529,441,300,"1,591","1,166",957
2020년11월_남_70~79세,"4,831",653,335,357,225,417,454,269,279,177,744,496,425
2020년11월_남_80~89세,"1,954",262,138,152,84,165,246,148,108,76,257,174,144
2020년11월_남_90~99세,184,29,12,15,7,15,28,18,11,9,20,12,8
2020년11월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1
2020년11월_여_총인구수,"54,908","7,556","2,250","2,444","1,458","3,112","3,369","2,360","2,019","1,253","11,003","9,311","8,773"
2020년11월_여_연령구간인구수,"54,908","7,556","2,250","2,444","1,458","3,112","3,369","2,360","2,019","1,253","11,003","9,311","8,773"
2020년11월_여_0~9세,"3,597",534,75,86,49,160,107,73,63,58,756,668,968
2020년11월_여_10~19세,"4,663",635,122,126,79,214,184,154,130,75,975,"1,100",869
2020년11월_여_20~29세,"5,493",732,194,180,80,243,238,187,145,88,"1,325","1,145",936
2020년11월_여_30~39세,"5,429",795,131,153,89,236,192,132,139,73,"1,235",965,"1,289"
2020년11월_여_40~49세,"7,733","1,063",176,238,124,276,317,270,218,125,"1,771","1,630","1,525"
2020년11월_여_50~59세,"9,560","1,321",402,438,268,513,611,428,377,220,"1,948","1,602","1,432"
2020년11월_여_60~69세,"9,050","1,236",524,573,365,652,750,472,443,301,"1,610","1,177",947
2020년11월_여_70~79세,"5,377",703,323,363,231,434,534,344,270,188,847,646,494
2020년11월_여_80~89세,"3,326",449,260,228,135,320,371,253,180,104,442,325,259
2020년11월_여_90~99세,645,82,42,57,37,64,62,42,53,20,88,49,49
2020년11월_여_100세 이상,35,6,1,2,1,0,3,5,1,1,6,4,5
