,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2020년11월_계_총인구수,"312,840","20,185","14,373","13,002","11,411","27,393","21,849","25,531","17,717","16,117","11,278","28,165","39,997","28,183","11,717","19,478","6,444"
2020년11월_계_연령구간인구수,"312,840","20,185","14,373","13,002","11,411","27,393","21,849","25,531","17,717","16,117","11,278","28,165","39,997","28,183","11,717","19,478","6,444"
2020년11월_계_0~9세,"20,136","1,112",906,555,539,"1,698","1,248","1,457","1,124","1,128",995,"2,023","3,180","1,744","1,310",976,141
2020년11월_계_10~19세,"25,540","1,608","1,130",767,791,"2,358","1,710","2,046","1,195","1,339",987,"2,483","4,028","2,521",844,"1,467",266
2020년11월_계_20~29세,"40,067","2,360","1,571","1,473","1,451","3,531","3,632","5,084","1,970","2,196","1,071","3,591","4,578","3,388","1,335","2,275",561
2020년11월_계_30~39세,"37,262","2,331","1,539","1,574","1,168","3,106","2,897","3,198","2,212","2,250","1,546","3,788","4,451","2,790","2,055","1,889",468
2020년11월_계_40~49세,"46,277","2,740","2,192","1,672","1,585","3,944","3,018","3,549","2,645","2,436","2,042","4,492","6,597","4,096","1,824","2,668",777
2020년11월_계_50~59세,"55,124","3,479","2,343","2,234","1,974","4,872","3,677","4,187","3,234","2,952","1,796","4,919","7,191","5,458","1,841","3,719","1,248"
2020년11월_계_60~69세,"51,078","3,501","2,585","2,584","2,178","4,657","3,346","3,544","3,065","2,429","1,647","4,307","5,763","4,788","1,588","3,738","1,358"
2020년11월_계_70~79세,"26,199","2,026","1,523","1,502","1,222","2,294","1,629","1,772","1,610",978,882,"1,931","2,874","2,261",660,"1,969","1,066"
