카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년05월_계_총인구수,"217,547","14,812","36,037","13,345","11,127","6,030","13,377","14,514","4,454","4,805","2,693","17,323","53,991","14,731","10,308"
2020년05월_계_연령구간인구수,"217,547","14,812","36,037","13,345","11,127","6,030","13,377","14,514","4,454","4,805","2,693","17,323","53,991","14,731","10,308"
2020년05월_계_0~9세,"19,516","1,012","3,491","1,050",824,331,"1,393","1,285",156,197,71,"1,033","7,096",982,595
2020년05월_계_10~19세,"22,757","1,408","4,563",968,851,570,"1,250","1,253",263,233,123,"1,583","7,895",967,830
2020년05월_계_20~29세,"29,489","1,586","4,860","1,628","1,292",675,"1,948","2,483",405,416,199,"2,795","6,703","2,976","1,523"
2020년05월_계_30~39세,"30,739","1,564","5,222","1,777","1,255",665,"2,243","2,584",366,396,142,"2,231","8,557","2,362","1,375"
2020년05월_계_40~49세,"34,872","2,087","6,777","1,935","1,628",733,"1,853","2,093",506,511,258,"2,628","10,451","1,897","1,515"
2020년05월_계_50~59세,"35,131","2,553","5,455","2,528","2,149","1,111","1,901","2,011",889,914,467,"3,088","7,739","2,365","1,961"
2020년05월_계_60~69세,"24,585","2,298","3,220","1,943","1,644","1,016","1,487","1,467",928,989,643,"2,315","3,361","1,793","1,481"
2020년05월_계_70~79세,"12,906","1,417","1,567",987,910,568,822,875,549,665,404,"1,117","1,408",918,699
2020년05월_계_80~89세,"6,554",787,777,441,481,311,409,388,350,414,334,479,684,413,286
2020년05월_계_90~99세,932,90,99,81,89,49,65,70,40,63,48,50,95,53,40
2020년05월_계_100세 이상,66,10,6,7,4,1,6,5,2,7,4,4,2,5,3
2020년05월_남_총인구수,"112,430","7,556","18,838","6,992","5,659","3,225","7,325","7,407","2,392","2,533","1,382","8,592","26,953","8,301","5,275"
2020년05월_남_연령구간인구수,"112,430","7,556","18,838","6,992","5,659","3,225","7,325","7,407","2,392","2,533","1,382","8,592","26,953","8,301","5,275"
2020년05월_남_0~9세,"10,054",520,"1,763",532,422,173,698,669,88,93,42,536,"3,674",526,318
2020년05월_남_10~19세,"11,966",745,"2,369",507,451,340,725,622,142,128,65,819,"4,153",507,393
2020년05월_남_20~29세,"16,630",957,"2,847",888,704,363,"1,188","1,255",256,235,111,"1,487","3,517","2,018",804
2020년05월_남_30~39세,"16,415",828,"2,756",961,640,397,"1,280","1,378",232,244,88,"1,231","4,112","1,468",800
2020년05월_남_40~49세,"18,040","1,094","3,486","1,064",865,434,"1,071","1,131",291,312,164,"1,271","5,028","1,036",793
2020년05월_남_50~59세,"18,203","1,309","2,912","1,334","1,089",607,"1,028","1,067",486,507,242,"1,460","3,954","1,212",996
2020년05월_남_60~69세,"12,544","1,138","1,677","1,041",840,528,780,745,496,521,337,"1,092","1,687",911,751
2020년05월_남_70~79세,"5,946",656,717,473,430,260,387,384,261,324,196,521,592,440,305
2020년05월_남_80~89세,"2,390",280,290,170,193,113,146,140,128,156,122,161,221,166,104
2020년05월_남_90~99세,223,25,21,20,25,10,20,14,12,10,14,14,14,14,10
2020년05월_남_100세 이상,19,4,0,2,0,0,2,2,0,3,1,0,1,3,1
2020년05월_여_총인구수,"105,117","7,256","17,199","6,353","5,468","2,805","6,052","7,107","2,062","2,272","1,311","8,731","27,038","6,430","5,033"
2020년05월_여_연령구간인구수,"105,117","7,256","17,199","6,353","5,468","2,805","6,052","7,107","2,062","2,272","1,311","8,731","27,038","6,430","5,033"
2020년05월_여_0~9세,"9,462",492,"1,728",518,402,158,695,616,68,104,29,497,"3,422",456,277
2020년05월_여_10~19세,"10,791",663,"2,194",461,400,230,525,631,121,105,58,764,"3,742",460,437
2020년05월_여_20~29세,"12,859",629,"2,013",740,588,312,760,"1,228",149,181,88,"1,308","3,186",958,719
2020년05월_여_30~39세,"14,324",736,"2,466",816,615,268,963,"1,206",134,152,54,"1,000","4,445",894,575
2020년05월_여_40~49세,"16,832",993,"3,291",871,763,299,782,962,215,199,94,"1,357","5,423",861,722
2020년05월_여_50~59세,"16,928","1,244","2,543","1,194","1,060",504,873,944,403,407,225,"1,628","3,785","1,153",965
2020년05월_여_60~69세,"12,041","1,160","1,543",902,804,488,707,722,432,468,306,"1,223","1,674",882,730
2020년05월_여_70~79세,"6,960",761,850,514,480,308,435,491,288,341,208,596,816,478,394
2020년05월_여_80~89세,"4,164",507,487,271,288,198,263,248,222,258,212,318,463,247,182
2020년05월_여_90~99세,709,65,78,61,64,39,45,56,28,53,34,36,81,39,30
2020년05월_여_100세 이상,47,6,6,5,4,1,4,3,2,4,3,4,1,2,2
