,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년11월_계_총인구수,"103,396","4,626","3,896","10,989","9,760","8,570","10,465","4,271","4,606","3,072","7,730","11,455","7,823","16,133"
2021년11월_계_연령구간인구수,"103,396","4,626","3,896","10,989","9,760","8,570","10,465","4,271","4,606","3,072","7,730","11,455","7,823","16,133"
2021년11월_계_0~9세,"7,261",64,88,970,"1,042",503,602,172,196,76,716,563,512,"1,757"
2021년11월_계_10~19세,"7,268",127,189,612,837,631,786,333,354,136,540,903,643,"1,177"
2021년11월_계_20~29세,"14,853","1,249",826,"1,413","1,079","1,166","1,298",877,925,912,"1,020","1,288",903,"1,897"
2021년11월_계_30~39세,"13,441",644,460,"1,886","1,394","1,049","1,104",459,413,346,"1,032","1,029",961,"2,664"
2021년11월_계_40~49세,"14,023",497,475,"1,537","1,508","1,195","1,381",550,574,314,"1,083","1,398","1,057","2,454"
2021년11월_계_50~59세,"15,506",606,498,"1,691","1,283","1,434","1,732",607,727,379,"1,161","1,781","1,248","2,359"
2021년11월_계_60~69세,"15,151",743,569,"1,527","1,178","1,231","1,735",580,629,425,"1,050","2,041","1,307","2,136"
2021년11월_계_70~79세,"10,235",474,496,934,917,872,"1,179",422,479,305,752,"1,480",817,"1,108"
2021년11월_계_80~89세,"4,948",191,259,356,466,432,583,237,267,156,334,842,324,501
2021년11월_계_90~99세,682,30,36,61,54,54,62,27,41,21,42,126,50,78
2021년11월_계_100세 이상,28,1,0,2,2,3,3,7,1,2,0,4,1,2
2021년11월_남_총인구수,"51,002","2,368","1,965","5,711","4,746","4,292","5,084","2,154","2,351","1,641","3,683","5,401","3,784","7,822"
2021년11월_남_연령구간인구수,"51,002","2,368","1,965","5,711","4,746","4,292","5,084","2,154","2,351","1,641","3,683","5,401","3,784","7,822"
2021년11월_남_0~9세,"3,752",37,39,493,554,273,307,103,112,34,370,284,276,870
2021년11월_남_10~19세,"3,715",60,96,316,431,323,394,167,198,61,267,478,332,592
2021년11월_남_20~29세,"7,639",491,419,745,596,643,662,466,516,488,497,685,460,971
2021년11월_남_30~39세,"6,947",358,274,"1,028",695,534,565,267,221,204,483,520,479,"1,319"
2021년11월_남_40~49세,"7,335",314,254,838,738,651,727,294,297,194,561,659,560,"1,248"
2021년11월_남_50~59세,"7,677",355,256,921,622,718,847,299,372,222,567,833,583,"1,082"
2021년11월_남_60~69세,"7,118",397,279,775,527,587,789,276,301,211,472,895,593,"1,016"
2021년11월_남_70~79세,"4,547",258,204,441,373,379,512,182,199,146,319,640,372,522
2021년11월_남_80~89세,"2,066",88,133,140,191,168,259,92,119,73,133,362,119,189
2021년11월_남_90~99세,199,10,11,14,18,16,22,5,16,7,14,43,10,13
2021년11월_남_100세 이상,7,0,0,0,1,0,0,3,0,1,0,2,0,0
2021년11월_여_총인구수,"52,394","2,258","1,931","5,278","5,014","4,278","5,381","2,117","2,255","1,431","4,047","6,054","4,039","8,311"
2021년11월_여_연령구간인구수,"52,394","2,258","1,931","5,278","5,014","4,278","5,381","2,117","2,255","1,431","4,047","6,054","4,039","8,311"
2021년11월_여_0~9세,"3,509",27,49,477,488,230,295,69,84,42,346,279,236,887
2021년11월_여_10~19세,"3,553",67,93,296,406,308,392,166,156,75,273,425,311,585
2021년11월_여_20~29세,"7,214",758,407,668,483,523,636,411,409,424,523,603,443,926
2021년11월_여_30~39세,"6,494",286,186,858,699,515,539,192,192,142,549,509,482,"1,345"
2021년11월_여_40~49세,"6,688",183,221,699,770,544,654,256,277,120,522,739,497,"1,206"
2021년11월_여_50~59세,"7,829",251,242,770,661,716,885,308,355,157,594,948,665,"1,277"
2021년11월_여_60~69세,"8,033",346,290,752,651,644,946,304,328,214,578,"1,146",714,"1,120"
2021년11월_여_70~79세,"5,688",216,292,493,544,493,667,240,280,159,433,840,445,586
2021년11월_여_80~89세,"2,882",103,126,216,275,264,324,145,148,83,201,480,205,312
2021년11월_여_90~99세,483,20,25,47,36,38,40,22,25,14,28,83,40,65
2021년11월_여_100세 이상,21,1,0,2,1,3,3,4,1,1,0,2,1,2
