카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2021년09월_계_총인구수,"809,083","63,658","89,137","41,118","129,620","85,730","81,542","56,325","95,318","82,899","83,736"
2021년09월_계_연령구간인구수,"809,083","63,658","89,137","41,118","129,620","85,730","81,542","56,325","95,318","82,899","83,736"
2021년09월_계_0~9세,"53,978","2,909","5,225","2,589","9,317","7,602","4,483","3,674","9,220","4,199","4,760"
2021년09월_계_10~19세,"68,414","3,776","6,990","3,807","10,965","9,666","6,253","4,184","9,349","6,720","6,704"
2021년09월_계_20~29세,"113,915","9,992","12,664","5,891","18,820","11,894","11,354","7,529","11,028","12,290","12,453"
2021년09월_계_30~39세,"112,880","9,274","11,810","5,290","21,061","12,314","11,121","8,033","13,632","9,684","10,661"
2021년09월_계_40~49세,"126,086","9,371","13,500","6,195","20,341","14,931","12,105","7,742","17,393","12,000","12,508"
2021년09월_계_50~59세,"145,156","11,557","16,394","7,486","22,247","15,281","14,565","9,912","14,343","16,723","16,648"
2021년09월_계_60~69세,"117,366","10,106","13,753","6,193","17,675","9,489","13,031","9,392","12,261","12,865","12,601"
2021년09월_계_70~79세,"47,313","4,629","5,927","2,383","6,001","2,964","5,783","3,995","5,322","5,431","4,878"
2021년09월_계_80~89세,"20,638","1,776","2,523","1,075","2,682","1,339","2,458","1,618","2,366","2,618","2,183"
2021년09월_계_90~99세,"3,181",255,326,196,489,244,370,233,382,360,326
2021년09월_계_100세 이상,156,13,25,13,22,6,19,13,22,9,14
2021년09월_남_총인구수,"401,051","32,429","44,526","20,331","62,565","42,094","40,334","27,795","46,663","41,500","42,814"
2021년09월_남_연령구간인구수,"401,051","32,429","44,526","20,331","62,565","42,094","40,334","27,795","46,663","41,500","42,814"
2021년09월_남_0~9세,"27,793","1,560","2,689","1,339","4,784","3,902","2,297","1,901","4,757","2,129","2,435"
2021년09월_남_10~19세,"35,065","1,920","3,619","1,972","5,550","4,925","3,247","2,088","4,672","3,520","3,552"
2021년09월_남_20~29세,"58,746","5,154","6,610","3,020","9,181","6,086","5,963","3,939","5,658","6,481","6,654"
2021년09월_남_30~39세,"58,154","5,108","6,134","2,709","10,435","5,922","5,944","4,231","6,660","5,199","5,812"
2021년09월_남_40~49세,"63,542","5,131","7,014","3,056","9,732","7,015","6,174","3,875","8,818","6,100","6,627"
2021년09월_남_50~59세,"70,392","5,861","8,109","3,605","10,246","7,377","6,941","4,647","6,857","8,317","8,432"
2021년09월_남_60~69세,"57,636","4,844","6,635","3,054","8,848","4,955","6,110","4,555","5,847","6,440","6,348"
2021년09월_남_70~79세,"21,959","2,172","2,738","1,164","2,827","1,428","2,666","1,914","2,481","2,377","2,192"
2021년09월_남_80~89세,"7,002",633,884,354,859,427,910,582,816,851,686
2021년09월_남_90~99세,723,44,88,54,98,54,77,60,90,85,73
2021년09월_남_100세 이상,39,2,6,4,5,3,5,3,7,1,3
2021년09월_여_총인구수,"408,032","31,229","44,611","20,787","67,055","43,636","41,208","28,530","48,655","41,399","40,922"
2021년09월_여_연령구간인구수,"408,032","31,229","44,611","20,787","67,055","43,636","41,208","28,530","48,655","41,399","40,922"
2021년09월_여_0~9세,"26,185","1,349","2,536","1,250","4,533","3,700","2,186","1,773","4,463","2,070","2,325"
2021년09월_여_10~19세,"33,349","1,856","3,371","1,835","5,415","4,741","3,006","2,096","4,677","3,200","3,152"
2021년09월_여_20~29세,"55,169","4,838","6,054","2,871","9,639","5,808","5,391","3,590","5,370","5,809","5,799"
2021년09월_여_30~39세,"54,726","4,166","5,676","2,581","10,626","6,392","5,177","3,802","6,972","4,485","4,849"
2021년09월_여_40~49세,"62,544","4,240","6,486","3,139","10,609","7,916","5,931","3,867","8,575","5,900","5,881"
2021년09월_여_50~59세,"74,764","5,696","8,285","3,881","12,001","7,904","7,624","5,265","7,486","8,406","8,216"
2021년09월_여_60~69세,"59,730","5,262","7,118","3,139","8,827","4,534","6,921","4,837","6,414","6,425","6,253"
2021년09월_여_70~79세,"25,354","2,457","3,189","1,219","3,174","1,536","3,117","2,081","2,841","3,054","2,686"
2021년09월_여_80~89세,"13,636","1,143","1,639",721,"1,823",912,"1,548","1,036","1,550","1,767","1,497"
2021년09월_여_90~99세,"2,458",211,238,142,391,190,293,173,292,275,253
2021년09월_여_100세 이상,117,11,19,9,17,3,14,10,15,8,11
