카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년07월_계_총인구수,"80,027","3,852","2,636","1,115","2,032","1,798","2,291","1,602","1,656","1,487",941,"1,478","1,831","2,276","1,871","2,100","2,734","3,422","3,328","6,174","6,653","4,201","7,056","17,493"
2021년07월_계_연령구간인구수,"80,027","3,852","2,636","1,115","2,032","1,798","2,291","1,602","1,656","1,487",941,"1,478","1,831","2,276","1,871","2,100","2,734","3,422","3,328","6,174","6,653","4,201","7,056","17,493"
2021년07월_계_0~9세,"4,790",169,99,44,60,58,61,43,68,53,27,53,56,87,88,78,113,169,182,567,533,212,391,"1,579"
2021년07월_계_10~19세,"7,164",202,162,56,106,97,113,72,85,61,34,64,81,149,113,181,192,336,234,624,762,325,589,"2,526"
2021년07월_계_20~29세,"7,482",261,227,62,149,110,122,73,92,99,54,91,121,175,91,137,175,371,355,669,617,491,758,"2,182"
2021년07월_계_30~39세,"6,172",214,155,55,109,75,105,60,86,75,52,52,84,128,90,90,143,268,276,677,603,396,581,"1,798"
2021년07월_계_40~49세,"10,375",339,262,107,155,159,218,129,145,109,65,128,158,214,164,240,287,430,436,949,"1,077",494,964,"3,146"
2021년07월_계_50~59세,"13,539",685,485,173,370,303,349,230,273,246,155,219,325,407,312,506,520,592,513,980,"1,027",690,"1,276","2,903"
2021년07월_계_60~69세,"13,423",819,565,229,434,371,505,365,378,283,226,281,359,453,393,363,610,562,578,835,998,744,"1,171","1,901"
2021년07월_계_70~79세,"9,738",619,391,187,322,331,449,301,272,289,185,295,342,330,354,283,421,427,484,559,668,533,780,916
2021년07월_계_80~89세,"6,305",469,241,169,277,255,319,277,214,242,125,258,266,276,229,203,233,234,224,279,320,263,470,462
2021년07월_계_90~99세,"1,007",75,45,33,48,39,49,50,43,29,18,35,37,55,34,19,38,33,44,34,48,49,74,78
2021년07월_계_100세 이상,32,0,4,0,2,0,1,2,0,1,0,2,2,2,3,0,2,0,2,1,0,4,2,2
2021년07월_남_총인구수,"39,269","1,851","1,345",552,"1,003",889,"1,095",763,841,765,487,745,907,"1,132",921,"1,036","1,337","1,625","1,574","2,976","3,220","2,056","3,570","8,579"
2021년07월_남_연령구간인구수,"39,269","1,851","1,345",552,"1,003",889,"1,095",763,841,765,487,745,907,"1,132",921,"1,036","1,337","1,625","1,574","2,976","3,220","2,056","3,570","8,579"
