카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년11월_계_총인구수,"146,658","12,378","9,282","11,728","17,258","11,657","10,885","11,097","11,234","7,501","9,698","16,026","9,389","8,525"
2020년11월_계_연령구간인구수,"146,658","12,378","9,282","11,728","17,258","11,657","10,885","11,097","11,234","7,501","9,698","16,026","9,389","8,525"
2020년11월_계_0~9세,"6,806",781,381,800,844,531,387,368,476,264,560,764,344,306
2020년11월_계_10~19세,"9,457","1,058",525,947,"1,359",759,641,632,634,417,625,916,493,451
2020년11월_계_20~29세,"20,452","1,224","1,147","1,221","2,090","1,797","2,035","1,548","1,641","1,452","1,418","2,458","1,387","1,034"
2020년11월_계_30~39세,"17,193","1,296","1,144","1,304","1,903","1,430","1,361","1,132","1,218",885,"1,318","2,166","1,120",916
2020년11월_계_40~49세,"20,439","1,999","1,357","1,631","2,568","1,610","1,405","1,517","1,406",904,"1,435","2,351","1,197","1,059"
2020년11월_계_50~59세,"25,040","1,981","1,651","1,972","2,964","2,045","1,710","2,010","2,026","1,212","1,576","2,706","1,651","1,536"
2020년11월_계_60~69세,"23,927","1,753","1,510","1,922","2,830","1,852","1,623","1,989","2,069","1,152","1,438","2,401","1,675","1,713"
2020년11월_계_70~79세,"15,138","1,395",949,"1,180","1,703","1,104","1,131","1,296","1,211",784,861,"1,522",991,"1,011"
2020년11월_계_80~89세,"7,191",757,552,644,879,454,524,530,493,383,409,636,480,450
2020년11월_계_90~99세,930,126,60,100,106,72,61,65,53,43,53,96,49,46
2020년11월_계_100세 이상,85,8,6,7,12,3,7,10,7,5,5,10,2,3
2020년11월_남_총인구수,"70,450","5,841","4,455","5,623","8,187","5,679","5,111","5,533","5,482","3,584","4,643","7,797","4,446","4,069"
2020년11월_남_연령구간인구수,"70,450","5,841","4,455","5,623","8,187","5,679","5,111","5,533","5,482","3,584","4,643","7,797","4,446","4,069"
2020년11월_남_0~9세,"3,514",436,191,404,450,277,191,201,234,152,270,383,175,150
2020년11월_남_10~19세,"4,979",573,288,480,691,412,300,343,343,230,331,487,259,242
2020년11월_남_20~29세,"10,264",616,549,656,"1,048",905,945,809,877,642,702,"1,268",690,557
2020년11월_남_30~39세,"8,994",649,618,659,977,741,701,634,675,470,653,"1,111",592,514
2020년11월_남_40~49세,"10,294",974,691,782,"1,214",837,720,835,726,483,708,"1,198",595,531
2020년11월_남_50~59세,"12,192",976,822,918,"1,472",955,847,"1,062",988,594,778,"1,293",765,722
2020년11월_남_60~69세,"10,948",766,704,904,"1,261",867,753,909,940,529,681,"1,119",757,758
2020년11월_남_70~79세,"6,436",544,380,537,713,500,462,543,525,336,373,663,436,424
2020년11월_남_80~89세,"2,590",278,200,249,335,165,173,183,161,134,139,249,164,160
2020년11월_남_90~99세,221,29,10,32,24,20,16,13,10,13,8,24,12,10
2020년11월_남_100세 이상,18,0,2,2,2,0,3,1,3,1,0,2,1,1
2020년11월_여_총인구수,"76,208","6,537","4,827","6,105","9,071","5,978","5,774","5,564","5,752","3,917","5,055","8,229","4,943","4,456"
2020년11월_여_연령구간인구수,"76,208","6,537","4,827","6,105","9,071","5,978","5,774","5,564","5,752","3,917","5,055","8,229","4,943","4,456"
2020년11월_여_0~9세,"3,292",345,190,396,394,254,196,167,242,112,290,381,169,156
2020년11월_여_10~19세,"4,478",485,237,467,668,347,341,289,291,187,294,429,234,209
2020년11월_여_20~29세,"10,188",608,598,565,"1,042",892,"1,090",739,764,810,716,"1,190",697,477
2020년11월_여_30~39세,"8,199",647,526,645,926,689,660,498,543,415,665,"1,055",528,402
2020년11월_여_40~49세,"10,145","1,025",666,849,"1,354",773,685,682,680,421,727,"1,153",602,528
2020년11월_여_50~59세,"12,848","1,005",829,"1,054","1,492","1,090",863,948,"1,038",618,798,"1,413",886,814
2020년11월_여_60~69세,"12,979",987,806,"1,018","1,569",985,870,"1,080","1,129",623,757,"1,282",918,955
2020년11월_여_70~79세,"8,702",851,569,643,990,604,669,753,686,448,488,859,555,587
2020년11월_여_80~89세,"4,601",479,352,395,544,289,351,347,332,249,270,387,316,290
2020년11월_여_90~99세,709,97,50,68,82,52,45,52,43,30,45,72,37,36
2020년11월_여_100세 이상,67,8,4,5,10,3,4,9,4,4,5,8,1,2
