,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021년05월_계_총인구수,"147,425","44,850","8,642","4,577","7,609","12,353","2,147","4,783","9,407","6,251","8,204","2,770","2,741","18,668","14,423"
2021년05월_계_연령구간인구수,"147,425","44,850","8,642","4,577","7,609","12,353","2,147","4,783","9,407","6,251","8,204","2,770","2,741","18,668","14,423"
2021년05월_계_0~9세,"8,321","2,880",591,104,206,609,42,173,462,526,610,57,186,"1,196",679
2021년05월_계_10~19세,"11,948","4,897",552,180,384,926,71,233,687,357,433,142,151,"1,797","1,138"
2021년05월_계_20~29세,"17,910","5,936",944,437,786,"1,443",186,413,961,844,976,232,306,"2,484","1,962"
2021년05월_계_30~39세,"14,595","4,451","1,112",341,614,"1,181",121,282,863,894,966,123,338,"1,942","1,367"
2021년05월_계_40~49세,"20,017","7,199","1,117",512,835,"1,590",191,498,"1,179",623,840,251,269,"2,713","2,200"
2021년05월_계_50~59세,"29,012","9,128","1,597","1,121","1,851","2,470",373,972,"1,564",870,"1,236",522,450,"3,591","3,267"
2021년05월_계_60~69세,"25,622","6,248","1,555","1,073","1,709","2,403",591,"1,137","1,893","1,075","1,518",678,552,"2,858","2,332"
2021년05월_계_70~79세,"12,340","2,595",713,497,709,"1,064",346,663,"1,071",675,962,477,286,"1,355",927
2021년05월_계_80~89세,"6,671","1,320",395,278,440,566,205,360,615,353,568,262,176,641,492
2021년05월_계_90~99세,954,189,66,33,73,95,20,50,108,34,93,25,26,87,55
2021년05월_계_100세 이상,35,7,0,1,2,6,1,2,4,0,2,1,1,4,4
2021년05월_남_총인구수,"78,138","22,880","4,646","2,630","4,471","6,803","1,202","2,604","4,903","3,403","4,434","1,450","1,451","9,458","7,803"
2021년05월_남_연령구간인구수,"78,138","22,880","4,646","2,630","4,471","6,803","1,202","2,604","4,903","3,403","4,434","1,450","1,451","9,458","7,803"
2021년05월_남_0~9세,"4,280","1,472",298,62,101,326,28,91,236,263,318,26,89,602,368
2021년05월_남_10~19세,"6,245","2,550",279,99,200,506,43,117,367,169,220,67,72,959,597
2021년05월_남_20~29세,"10,398","3,203",554,269,464,868,127,252,601,583,677,145,174,"1,358","1,123"
2021년05월_남_30~39세,"8,181","2,282",618,210,391,700,82,166,514,541,587,86,191,"1,049",764
2021년05월_남_40~49세,"10,764","3,573",630,323,546,861,112,318,662,362,489,154,159,"1,351","1,224"
2021년05월_남_50~59세,"15,956","4,819",880,659,"1,172","1,449",222,567,831,470,688,279,244,"1,843","1,833"
2021년05월_남_60~69세,"13,892","3,283",872,646,"1,036","1,347",330,642,960,564,792,359,315,"1,465","1,281"
2021년05월_남_70~79세,"5,755","1,197",358,238,366,504,164,302,498,321,417,226,143,586,435
2021년05월_남_80~89세,"2,424",462,144,118,180,213,87,129,205,121,221,102,56,224,162
2021년05월_남_90~99세,231,37,13,5,14,28,7,19,28,9,23,5,8,20,15
2021년05월_남_100세 이상,12,2,0,1,1,1,0,1,1,0,2,1,0,1,1
2021년05월_여_총인구수,"69,287","21,970","3,996","1,947","3,138","5,550",945,"2,179","4,504","2,848","3,770","1,320","1,290","9,210","6,620"
2021년05월_여_연령구간인구수,"69,287","21,970","3,996","1,947","3,138","5,550",945,"2,179","4,504","2,848","3,770","1,320","1,290","9,210","6,620"
2021년05월_여_0~9세,"4,041","1,408",293,42,105,283,14,82,226,263,292,31,97,594,311
2021년05월_여_10~19세,"5,703","2,347",273,81,184,420,28,116,320,188,213,75,79,838,541
2021년05월_여_20~29세,"7,512","2,733",390,168,322,575,59,161,360,261,299,87,132,"1,126",839
2021년05월_여_30~39세,"6,414","2,169",494,131,223,481,39,116,349,353,379,37,147,893,603
2021년05월_여_40~49세,"9,253","3,626",487,189,289,729,79,180,517,261,351,97,110,"1,362",976
2021년05월_여_50~59세,"13,056","4,309",717,462,679,"1,021",151,405,733,400,548,243,206,"1,748","1,434"
2021년05월_여_60~69세,"11,730","2,965",683,427,673,"1,056",261,495,933,511,726,319,237,"1,393","1,051"
2021년05월_여_70~79세,"6,585","1,398",355,259,343,560,182,361,573,354,545,251,143,769,492
2021년05월_여_80~89세,"4,247",858,251,160,260,353,118,231,410,232,347,160,120,417,330
2021년05월_여_90~99세,723,152,53,28,59,67,13,31,80,25,70,20,18,67,40
2021년05월_여_100세 이상,23,5,0,0,1,5,1,1,3,0,0,0,1,3,3
