카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년06월_계_총인구수,"349,927","34,724","34,935","40,050","22,090","24,757","37,657","26,063","27,143","27,765","28,903","45,840"
2021년06월_계_연령구간인구수,"349,927","34,724","34,935","40,050","22,090","24,757","37,657","26,063","27,143","27,765","28,903","45,840"
2021년06월_계_0~9세,"33,869","3,199","1,519","3,437","2,203","2,352","4,863","2,898","2,565","2,415","3,109","5,309"
2021년06월_계_10~19세,"37,724","3,308","1,477","3,191","3,005","3,422","4,582","2,896","3,162","3,039","4,465","5,177"
2021년06월_계_20~29세,"52,404","4,349","8,299","8,394","2,867","3,137","3,799","4,132","4,361","4,251","3,753","5,062"
2021년06월_계_30~39세,"55,147","4,349","6,829","6,355","3,156","3,109","6,060","5,221","4,433","4,037","4,003","7,595"
2021년06월_계_40~49세,"60,045","5,859","4,398","5,578","4,290","4,657","7,432","4,255","4,286","4,709","5,865","8,716"
2021년06월_계_50~59세,"54,043","6,191","5,437","5,848","3,288","4,065","5,276","3,495","4,452","4,735","4,523","6,733"
2021년06월_계_60~69세,"35,385","4,509","4,223","4,640","1,895","2,254","3,612","2,039","2,561","2,635","2,184","4,833"
2021년06월_계_70~79세,"13,611","1,883","1,793","1,704",890,"1,108","1,379",666,745,"1,174",648,"1,621"
2021년06월_계_80~89세,"6,575",946,818,776,424,564,554,400,468,664,300,661
2021년06월_계_90~99세,"1,096",128,133,127,71,88,96,61,108,102,53,129
2021년06월_계_100세 이상,28,3,9,0,1,1,4,0,2,4,0,4
2021년06월_남_총인구수,"176,644","17,655","18,036","20,812","10,951","12,171","18,494","13,675","13,922","14,198","14,787","21,943"
2021년06월_남_연령구간인구수,"176,644","17,655","18,036","20,812","10,951","12,171","18,494","13,675","13,922","14,198","14,787","21,943"
2021년06월_남_0~9세,"17,441","1,623",797,"1,727","1,152","1,223","2,465","1,528","1,362","1,231","1,608","2,725"
2021년06월_남_10~19세,"19,459","1,762",756,"1,632","1,533","1,761","2,325","1,484","1,610","1,574","2,340","2,682"
2021년06월_남_20~29세,"28,113","2,371","4,205","4,903","1,482","1,613","2,004","2,278","2,411","2,340","1,991","2,515"
2021년06월_남_30~39세,"28,836","2,254","3,901","3,483","1,580","1,533","2,900","2,900","2,451","2,186","2,066","3,582"
2021년06월_남_40~49세,"29,511","3,024","2,354","2,814","2,023","2,190","3,600","2,152","2,057","2,380","2,785","4,132"
2021년06월_남_50~59세,"26,938","3,104","2,697","2,812","1,698","2,047","2,581","1,809","2,162","2,471","2,447","3,110"
2021년06월_남_60~69세,"17,561","2,273","2,186","2,304",903,"1,093","1,721","1,062","1,353","1,327","1,136","2,203"
2021년06월_남_70~79세,"6,354",906,811,830,412,484,675,329,356,469,325,757
2021년06월_남_80~89세,"2,189",313,290,273,154,209,205,120,128,199,77,221
2021년06월_남_90~99세,239,24,38,34,13,18,18,13,32,21,12,16
2021년06월_남_100세 이상,3,1,1,0,1,0,0,0,0,0,0,0
2021년06월_여_총인구수,"173,283","17,069","16,899","19,238","11,139","12,586","19,163","12,388","13,221","13,567","14,116","23,897"
2021년06월_여_연령구간인구수,"173,283","17,069","16,899","19,238","11,139","12,586","19,163","12,388","13,221","13,567","14,116","23,897"
2021년06월_여_0~9세,"16,428","1,576",722,"1,710","1,051","1,129","2,398","1,370","1,203","1,184","1,501","2,584"
2021년06월_여_10~19세,"18,265","1,546",721,"1,559","1,472","1,661","2,257","1,412","1,552","1,465","2,125","2,495"
2021년06월_여_20~29세,"24,291","1,978","4,094","3,491","1,385","1,524","1,795","1,854","1,950","1,911","1,762","2,547"
2021년06월_여_30~39세,"26,311","2,095","2,928","2,872","1,576","1,576","3,160","2,321","1,982","1,851","1,937","4,013"
2021년06월_여_40~49세,"30,534","2,835","2,044","2,764","2,267","2,467","3,832","2,103","2,229","2,329","3,080","4,584"
2021년06월_여_50~59세,"27,105","3,087","2,740","3,036","1,590","2,018","2,695","1,686","2,290","2,264","2,076","3,623"
2021년06월_여_60~69세,"17,824","2,236","2,037","2,336",992,"1,161","1,891",977,"1,208","1,308","1,048","2,630"
2021년06월_여_70~79세,"7,257",977,982,874,478,624,704,337,389,705,323,864
2021년06월_여_80~89세,"4,386",633,528,503,270,355,349,280,340,465,223,440
2021년06월_여_90~99세,857,104,95,93,58,70,78,48,76,81,41,113
2021년06월_여_100세 이상,25,2,8,0,0,1,4,0,2,4,0,4
