카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021년07월_계_총인구수,"150,699","48,553","2,173","3,074","4,992","2,820","2,799","1,780","1,560","57,595","11,880","11,736","1,737"
2021년07월_계_연령구간인구수,"150,699","48,553","2,173","3,074","4,992","2,820","2,799","1,780","1,560","57,595","11,880","11,736","1,737"
2021년07월_계_0~9세,"12,934","4,294",71,75,261,64,78,39,29,"6,281",872,816,54
2021년07월_계_10~19세,"15,752","5,077",130,137,277,125,82,86,52,"7,269","1,132","1,265",120
2021년07월_계_20~29세,"19,738","6,031",197,256,631,194,189,120,121,"8,185","1,540","2,094",180
2021년07월_계_30~39세,"18,106","5,771",140,146,499,165,154,94,110,"8,408","1,228","1,270",121
2021년07월_계_40~49세,"23,258","7,832",204,272,542,203,248,153,158,"10,335","1,827","1,300",184
2021년07월_계_50~59세,"29,187","8,496",429,628,"1,135",538,488,322,277,"11,019","2,718","2,765",372
2021년07월_계_60~69세,"17,865","6,149",418,646,789,587,606,433,304,"4,166","1,694","1,732",341
2021년07월_계_70~79세,"8,296","3,012",301,485,481,512,534,293,271,"1,264",576,363,204
2021년07월_계_80~89세,"4,733","1,602",235,364,324,365,343,209,197,587,257,110,140
2021년07월_계_90~99세,812,285,47,63,53,65,74,28,40,80,36,20,21
2021년07월_계_100세 이상,18,4,1,2,0,2,3,3,1,1,0,1,0
2021년07월_남_총인구수,"78,693","24,859","1,129","1,514","2,562","1,420","1,384",896,856,"30,361","6,301","6,450",961
2021년07월_남_연령구간인구수,"78,693","24,859","1,129","1,514","2,562","1,420","1,384",896,856,"30,361","6,301","6,450",961
2021년07월_남_0~9세,"6,586","2,174",51,34,138,28,35,18,13,"3,209",444,414,28
2021년07월_남_10~19세,"8,165","2,649",78,67,143,79,44,43,31,"3,737",572,656,66
2021년07월_남_20~29세,"11,484","3,329",122,153,364,123,116,79,73,"4,704",907,"1,395",119
2021년07월_남_30~39세,"9,729","2,962",79,76,283,91,92,49,64,"4,503",691,751,88
2021년07월_남_40~49세,"12,007","4,117",118,141,268,121,155,102,113,"5,200",983,564,125
2021년07월_남_50~59세,"15,930","4,514",247,362,613,321,298,182,191,"6,014","1,488","1,487",213
2021년07월_남_60~69세,"9,397","3,200",222,344,410,296,286,230,162,"2,240",877,940,190
2021년07월_남_70~79세,"3,752","1,358",122,210,215,226,235,115,134,566,271,210,90
2021년07월_남_80~89세,"1,500",504,76,113,122,123,114,73,68,176,64,28,39
2021년07월_남_90~99세,141,52,13,13,6,12,9,5,7,12,4,5,3
2021년07월_남_100세 이상,2,0,1,1,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"72,006","23,694","1,044","1,560","2,430","1,400","1,415",884,704,"27,234","5,579","5,286",776
2021년07월_여_연령구간인구수,"72,006","23,694","1,044","1,560","2,430","1,400","1,415",884,704,"27,234","5,579","5,286",776
2021년07월_여_0~9세,"6,348","2,120",20,41,123,36,43,21,16,"3,072",428,402,26
2021년07월_여_10~19세,"7,587","2,428",52,70,134,46,38,43,21,"3,532",560,609,54
2021년07월_여_20~29세,"8,254","2,702",75,103,267,71,73,41,48,"3,481",633,699,61
2021년07월_여_30~39세,"8,377","2,809",61,70,216,74,62,45,46,"3,905",537,519,33
2021년07월_여_40~49세,"11,251","3,715",86,131,274,82,93,51,45,"5,135",844,736,59
2021년07월_여_50~59세,"13,257","3,982",182,266,522,217,190,140,86,"5,005","1,230","1,278",159
2021년07월_여_60~69세,"8,468","2,949",196,302,379,291,320,203,142,"1,926",817,792,151
2021년07월_여_70~79세,"4,544","1,654",179,275,266,286,299,178,137,698,305,153,114
2021년07월_여_80~89세,"3,233","1,098",159,251,202,242,229,136,129,411,193,82,101
2021년07월_여_90~99세,671,233,34,50,47,53,65,23,33,68,32,15,18
2021년07월_여_100세 이상,16,4,0,1,0,2,3,3,1,1,0,1,0
