,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년07월_계_총인구수,"232,627","15,795","14,508","12,864","13,848","4,686","15,756","5,470","6,655","9,552","10,692","13,489","25,970","6,612","13,796","22,596","12,801","27,537"
2021년07월_계_연령구간인구수,"232,627","15,795","14,508","12,864","13,848","4,686","15,756","5,470","6,655","9,552","10,692","13,489","25,970","6,612","13,796","22,596","12,801","27,537"
2021년07월_계_0~9세,"14,459",864,"1,426",635,867,176,693,163,295,504,636,"1,138","1,888",331,887,"1,887",621,"1,448"
2021년07월_계_10~19세,"21,364","1,002","2,453","1,152","1,115",288,"1,124",258,423,728,788,"1,594","3,026",332,956,"2,781","1,051","2,293"
2021년07월_계_20~29세,"30,475","2,740","1,566","1,526","2,380",502,"1,767","1,028",795,"1,776","1,552","1,521","3,042",873,"1,796","2,874","1,530","3,207"
2021년07월_계_30~39세,"25,442","2,336","1,467","1,287","1,912",437,"1,583",620,643,"1,266","1,364","1,507","2,272",876,"1,568","2,382","1,277","2,645"
2021년07월_계_40~49세,"35,854","2,456","3,228","1,991","2,146",583,"2,021",591,850,"1,370","1,471","2,390","4,302",927,"1,908","3,874","1,815","3,931"
2021년07월_계_50~59세,"38,945","2,539","2,073","2,271","1,970",811,"2,772",882,"1,210","1,453","1,777","2,227","4,470","1,138","2,216","3,580","2,378","5,178"
2021년07월_계_60~69세,"34,627","2,188","1,243","2,101","1,835",914,"3,107",943,"1,249","1,180","1,478","1,587","3,565","1,192","2,293","2,639","2,126","4,987"
2021년07월_계_70~79세,"20,600","1,117",692,"1,228","1,059",626,"1,853",609,742,811,972,"1,036","2,233",638,"1,449","1,664","1,230","2,641"
2021년07월_계_80~89세,"9,510",468,315,587,466,310,735,335,377,407,563,440,"1,021",275,638,813,688,"1,072"
2021년07월_계_90~99세,"1,300",81,40,83,95,38,95,39,70,54,91,49,143,29,83,99,81,130
2021년07월_계_100세 이상,51,4,5,3,3,1,6,2,1,3,0,0,8,1,2,3,4,5
2021년07월_남_총인구수,"114,663","8,145","6,943","6,268","6,843","2,453","7,899","2,659","3,376","4,608","5,041","6,547","12,469","3,460","6,815","10,886","6,222","14,029"
2021년07월_남_연령구간인구수,"114,663","8,145","6,943","6,268","6,843","2,453","7,899","2,659","3,376","4,608","5,041","6,547","12,469","3,460","6,815","10,886","6,222","14,029"
2021년07월_남_0~9세,"7,410",413,728,311,475,101,360,92,171,246,312,610,959,177,442,978,312,723
2021년07월_남_10~19세,"11,019",498,"1,213",607,595,158,568,150,233,332,387,770,"1,561",198,514,"1,444",565,"1,226"
2021년07월_남_20~29세,"15,551","1,276",785,840,"1,095",281,940,445,412,830,758,799,"1,606",477,923,"1,420",854,"1,810"
2021년07월_남_30~39세,"13,091","1,275",648,671,969,247,893,347,371,660,696,737,"1,063",481,815,"1,118",699,"1,401"
2021년07월_남_40~49세,"18,160","1,386","1,509","1,018","1,137",343,"1,090",325,457,708,707,"1,129","2,013",536,"1,006","1,801",902,"2,093"
2021년07월_남_50~59세,"19,704","1,443","1,094","1,103","1,024",466,"1,394",455,622,765,847,"1,131","2,172",596,"1,074","1,760","1,136","2,622"
2021년07월_남_60~69세,"16,530","1,143",547,965,879,460,"1,502",441,600,559,688,756,"1,610",599,"1,071","1,261",995,"2,454"
2021년07월_남_70~79세,"9,245",512,286,529,458,278,847,254,344,347,418,449,"1,041",285,691,738,495,"1,273"
2021년07월_남_80~89세,"3,635",179,122,198,182,115,283,139,152,150,205,158,410,105,255,339,247,396
2021년07월_남_90~99세,309,18,10,25,28,4,22,11,14,10,23,8,34,6,23,26,17,30
2021년07월_남_100세 이상,9,2,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1
2021년07월_여_총인구수,"117,964","7,650","7,565","6,596","7,005","2,233","7,857","2,811","3,279","4,944","5,651","6,942","13,501","3,152","6,981","11,710","6,579","13,508"
2021년07월_여_연령구간인구수,"117,964","7,650","7,565","6,596","7,005","2,233","7,857","2,811","3,279","4,944","5,651","6,942","13,501","3,152","6,981","11,710","6,579","13,508"
2021년07월_여_0~9세,"7,049",451,698,324,392,75,333,71,124,258,324,528,929,154,445,909,309,725
2021년07월_여_10~19세,"10,345",504,"1,240",545,520,130,556,108,190,396,401,824,"1,465",134,442,"1,337",486,"1,067"
2021년07월_여_20~29세,"14,924","1,464",781,686,"1,285",221,827,583,383,946,794,722,"1,436",396,873,"1,454",676,"1,397"
2021년07월_여_30~39세,"12,351","1,061",819,616,943,190,690,273,272,606,668,770,"1,209",395,753,"1,264",578,"1,244"
2021년07월_여_40~49세,"17,694","1,070","1,719",973,"1,009",240,931,266,393,662,764,"1,261","2,289",391,902,"2,073",913,"1,838"
2021년07월_여_50~59세,"19,241","1,096",979,"1,168",946,345,"1,378",427,588,688,930,"1,096","2,298",542,"1,142","1,820","1,242","2,556"
