,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년10월_남_30~39세,"3,118",125,77,26,61,39,62,30,54,36,26,27,47,70,49,53,55,132,145,331,281,218,313,861
2021년10월_남_40~49세,"5,186",176,140,68,87,94,133,80,90,58,45,81,96,107,105,106,157,208,203,448,531,247,490,"1,436"
2021년10월_남_50~59세,"7,259",363,269,96,205,179,196,137,150,168,93,131,192,225,180,284,274,293,272,510,538,334,708,"1,462"
2021년10월_남_60~69세,"6,759",434,296,125,251,201,255,185,209,154,117,145,196,255,192,203,297,252,256,407,466,349,600,914
2021년10월_남_70~79세,"4,141",249,189,91,139,126,185,130,121,136,83,133,152,135,152,118,169,168,199,212,273,228,353,400
2021년10월_남_80~89세,"2,087",158,83,45,81,84,99,81,67,87,39,98,80,90,70,57,85,88,78,92,112,88,168,157
2021년10월_남_90~99세,247,12,16,7,11,9,9,13,10,8,8,11,7,13,6,3,7,11,12,8,11,16,24,15
2021년10월_남_100세 이상,5,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
2021년10월_여_총인구수,"40,582","1,974","1,284",550,"1,019",915,"1,185",831,816,714,452,731,909,"1,143",956,"1,066","1,393","1,775","1,740","3,185","3,425","2,156","3,465","8,898"
2021년10월_여_연령구간인구수,"40,582","1,974","1,284",550,"1,019",915,"1,185",831,816,714,452,731,909,"1,143",956,"1,066","1,393","1,775","1,740","3,185","3,425","2,156","3,465","8,898"
2021년10월_여_0~9세,"2,198",76,39,21,32,26,31,15,30,17,6,23,23,38,35,42,51,79,81,269,254,101,178,731
2021년10월_여_10~19세,"3,455",93,87,21,56,47,54,32,36,24,14,32,34,65,55,78,82,159,120,331,398,145,277,"1,215"
2021년10월_여_20~29세,"3,235",121,90,22,57,42,48,35,33,37,20,36,47,76,41,68,59,155,155,300,258,210,342,983
2021년10월_여_30~39세,"2,964",97,75,27,45,31,45,25,31,32,25,23,35,54,42,37,75,135,131,331,306,164,269,929
2021년10월_여_40~49세,"5,008",155,112,34,65,61,81,46,58,53,17,40,66,97,63,119,132,218,213,485,524,249,462,"1,658"
2021년10월_여_50~59세,"6,296",311,220,73,156,128,152,91,112,77,61,89,126,175,128,229,236,288,252,482,498,364,574,"1,474"
2021년10월_여_60~69세,"6,745",386,270,108,188,176,246,183,181,135,106,135,177,208,199,166,323,309,323,425,528,395,576,"1,002"
2021년10월_여_70~79세,"5,581",361,198,93,188,202,263,166,149,155,105,161,189,194,200,160,247,261,282,343,404,307,424,529
2021년10월_여_80~89세,"4,286",311,159,125,193,171,222,194,151,161,89,166,183,190,164,150,152,148,149,192,215,186,305,310
2021년10월_여_90~99세,786,63,31,26,37,31,42,43,35,23,9,23,28,42,27,17,34,23,33,27,40,31,56,65
2021년10월_여_100세 이상,28,0,3,0,2,0,1,1,0,0,0,3,1,4,2,0,2,0,1,0,0,4,2,2
