,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2021년10월_계_총인구수,"79,649","3,830","2,621","1,094","2,020","1,801","2,280","1,586","1,654","1,499",933,"1,471","1,827","2,256","1,871","2,097","2,713","3,383","3,300","6,149","6,614","4,202","7,030","17,418"
2021년10월_계_연령구간인구수,"79,649","3,830","2,621","1,094","2,020","1,801","2,280","1,586","1,654","1,499",933,"1,471","1,827","2,256","1,871","2,097","2,713","3,383","3,300","6,149","6,614","4,202","7,030","17,418"
2021년10월_계_0~9세,"4,677",164,97,40,58,61,54,36,64,51,29,51,53,85,86,81,112,168,182,562,514,213,378,"1,538"
2021년10월_계_10~19세,"7,137",203,164,49,112,102,111,67,84,63,31,65,79,148,111,174,190,326,230,637,769,325,583,"2,514"
2021년10월_계_20~29세,"7,339",262,222,61,141,106,124,77,88,102,50,88,120,164,94,140,166,355,338,657,604,483,745,"2,152"
2021년10월_계_30~39세,"6,082",222,152,53,106,70,107,55,85,68,51,50,82,124,91,90,130,267,276,662,587,382,582,"1,790"
2021년10월_계_40~49세,"10,194",331,252,102,152,155,214,126,148,111,62,121,162,204,168,225,289,426,416,933,"1,055",496,952,"3,094"
2021년10월_계_50~59세,"13,555",674,489,169,361,307,348,228,262,245,154,220,318,400,308,513,510,581,524,992,"1,036",698,"1,282","2,936"
2021년10월_계_60~69세,"13,504",820,566,233,439,377,501,368,390,289,223,280,373,463,391,369,620,561,579,832,994,744,"1,176","1,916"
2021년10월_계_70~79세,"9,722",610,387,184,327,328,448,296,270,291,188,294,341,329,352,278,416,429,481,555,677,535,777,929
2021년10월_계_80~89세,"6,373",469,242,170,274,255,321,275,218,248,128,264,263,280,234,207,237,236,227,284,327,274,473,467
2021년10월_계_90~99세,"1,033",75,47,33,48,40,51,56,45,31,17,34,35,55,33,20,41,34,45,35,51,47,80,80
2021년10월_계_100세 이상,33,0,3,0,2,0,1,2,0,0,0,4,1,4,3,0,2,0,2,0,0,5,2,2
2021년10월_남_총인구수,"39,067","1,856","1,337",544,"1,001",886,"1,095",755,838,785,481,740,918,"1,113",915,"1,031","1,320","1,608","1,560","2,964","3,189","2,046","3,565","8,520"
2021년10월_남_연령구간인구수,"39,067","1,856","1,337",544,"1,001",886,"1,095",755,838,785,481,740,918,"1,113",915,"1,031","1,320","1,608","1,560","2,964","3,189","2,046","3,565","8,520"
2021년10월_남_0~9세,"2,479",88,58,19,26,35,23,21,34,34,23,28,30,47,51,39,61,89,101,293,260,112,200,807
2021년10월_남_10~19세,"3,682",110,77,28,56,55,57,35,48,39,17,33,45,83,56,96,108,167,110,306,371,180,306,"1,299"
2021년10월_남_20~29세,"4,104",141,132,39,84,64,76,42,55,65,30,52,73,88,53,72,107,200,183,357,346,273,403,"1,169"
