,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년02월_계_총인구수,"231,290","23,185","42,176","18,965","24,564","15,550","33,549","21,851","11,083","20,731","19,636"
2021년02월_계_연령구간인구수,"231,290","23,185","42,176","18,965","24,564","15,550","33,549","21,851","11,083","20,731","19,636"
2021년02월_계_0~9세,"12,265",666,"3,193",871,998,646,"1,794","1,537",543,"1,090",927
2021년02월_계_10~19세,"14,507",706,"2,305","1,193","1,347",971,"2,271","2,112",690,"1,486","1,426"
2021년02월_계_20~29세,"37,032","6,584","7,291","2,838","3,908","2,285","4,975","2,480","1,436","2,719","2,516"
2021년02월_계_30~39세,"35,447","5,511","8,404","2,491","3,581","1,997","4,768","2,438","1,425","2,560","2,272"
2021년02월_계_40~49세,"32,667","2,735","6,234","2,576","3,232","2,090","4,913","3,487","1,551","2,953","2,896"
2021년02월_계_50~59세,"40,121","2,977","6,218","3,799","4,756","3,255","5,914","3,787","1,994","3,904","3,517"
2021년02월_계_60~69세,"33,515","2,387","4,903","3,056","3,936","2,497","4,916","3,313","1,953","3,437","3,117"
2021년02월_계_70~79세,"18,086","1,177","2,572","1,553","1,935","1,320","2,794","1,834","1,071","1,834","1,996"
2021년02월_계_80~89세,"6,573",378,931,501,734,423,"1,007",719,374,647,859
2021년02월_계_90~99세,898,55,109,71,114,51,174,104,41,85,94
2021년02월_계_100세 이상,179,9,16,16,23,15,23,40,5,16,16
2021년02월_남_총인구수,"116,950","12,662","21,719","9,602","12,304","7,827","16,742","10,533","5,500","10,271","9,790"
2021년02월_남_연령구간인구수,"116,950","12,662","21,719","9,602","12,304","7,827","16,742","10,533","5,500","10,271","9,790"
2021년02월_남_0~9세,"6,305",317,"1,663",443,539,343,918,777,272,551,482
2021년02월_남_10~19세,"7,301",350,"1,126",641,647,476,"1,218","1,040",338,753,712
2021년02월_남_20~29세,"18,633","3,042","3,654","1,486","1,934","1,165","2,532","1,276",774,"1,424","1,346"
2021년02월_남_30~39세,"19,587","3,418","4,676","1,336","1,992","1,095","2,540","1,189",758,"1,357","1,226"
2021년02월_남_40~49세,"17,197","1,712","3,410","1,320","1,682","1,038","2,511","1,721",806,"1,483","1,514"
2021년02월_남_50~59세,"20,152","1,745","3,148","1,908","2,360","1,654","2,913","1,781",962,"1,882","1,799"
2021년02월_남_60~69세,"16,411","1,300","2,459","1,497","1,904","1,235","2,369","1,584",914,"1,668","1,481"
2021년02월_남_70~79세,"8,460",602,"1,149",756,926,627,"1,290",844,519,867,880
2021년02월_남_80~89세,"2,611",163,403,189,285,177,391,279,152,251,321
2021년02월_남_90~99세,235,10,28,21,29,14,53,21,5,29,25
2021년02월_남_100세 이상,58,3,3,5,6,3,7,21,0,6,4
2021년02월_여_총인구수,"114,340","10,523","20,457","9,363","12,260","7,723","16,807","11,318","5,583","10,460","9,846"
2021년02월_여_연령구간인구수,"114,340","10,523","20,457","9,363","12,260","7,723","16,807","11,318","5,583","10,460","9,846"
2021년02월_여_0~9세,"5,960",349,"1,530",428,459,303,876,760,271,539,445
2021년02월_여_10~19세,"7,206",356,"1,179",552,700,495,"1,053","1,072",352,733,714
2021년02월_여_20~29세,"18,399","3,542","3,637","1,352","1,974","1,120","2,443","1,204",662,"1,295","1,170"
2021년02월_여_30~39세,"15,860","2,093","3,728","1,155","1,589",902,"2,228","1,249",667,"1,203","1,046"
2021년02월_여_40~49세,"15,470","1,023","2,824","1,256","1,550","1,052","2,402","1,766",745,"1,470","1,382"
2021년02월_여_50~59세,"19,969","1,232","3,070","1,891","2,396","1,601","3,001","2,006","1,032","2,022","1,718"
2021년02월_여_60~69세,"17,104","1,087","2,444","1,559","2,032","1,262","2,547","1,729","1,039","1,769","1,636"
2021년02월_여_70~79세,"9,626",575,"1,423",797,"1,009",693,"1,504",990,552,967,"1,116"
2021년02월_여_80~89세,"3,962",215,528,312,449,246,616,440,222,396,538
2021년02월_여_90~99세,663,45,81,50,85,37,121,83,36,56,69
2021년02월_여_100세 이상,121,6,13,11,17,12,16,19,5,10,12
