카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년09월_계_총인구수,"237,425","16,460","14,763","13,606","14,203","4,792","16,029","5,527","6,837","9,794","10,502","13,748","26,558","6,702","13,958","22,990","12,923","28,033"
2020년09월_계_연령구간인구수,"237,425","16,460","14,763","13,606","14,203","4,792","16,029","5,527","6,837","9,794","10,502","13,748","26,558","6,702","13,958","22,990","12,923","28,033"
2020년09월_계_0~9세,"15,615",930,"1,541",768,989,173,748,180,309,532,660,"1,233","2,028",349,917,"1,996",654,"1,608"
2020년09월_계_10~19세,"22,312","1,041","2,444","1,267","1,135",302,"1,172",262,467,762,785,"1,674","3,194",359,"1,027","2,935","1,119","2,367"
2020년09월_계_20~29세,"31,157","2,844","1,637","1,667","2,430",507,"1,857","1,002",771,"1,829","1,509","1,520","3,090",859,"1,802","2,845","1,590","3,398"
2020년09월_계_30~39세,"26,694","2,477","1,591","1,398","1,990",482,"1,655",600,670,"1,267","1,298","1,610","2,492",904,"1,634","2,543","1,303","2,780"
2020년09월_계_40~49세,"37,380","2,548","3,268","2,192","2,176",612,"2,122",626,936,"1,442","1,510","2,506","4,518",960,"1,947","4,057","1,893","4,067"
2020년09월_계_50~59세,"40,015","2,722","2,096","2,435","2,047",861,"2,908",950,"1,295","1,489","1,722","2,214","4,488","1,216","2,267","3,531","2,412","5,362"
2020년09월_계_60~69세,"33,236","2,192","1,155","2,044","1,809",866,"2,910",891,"1,189","1,167","1,412","1,519","3,444","1,150","2,218","2,527","1,999","4,744"
2020년09월_계_70~79세,"20,549","1,141",682,"1,191","1,067",646,"1,878",646,758,848,971,"1,008","2,188",617,"1,443","1,696","1,236","2,533"
2020년09월_계_80~89세,"9,117",477,306,563,466,302,685,318,369,398,550,419,967,251,610,759,649,"1,028"
2020년09월_계_90~99세,"1,265",80,38,75,87,38,87,45,69,53,83,45,142,35,86,97,65,140
2020년09월_계_100세 이상,85,8,5,6,7,3,7,7,4,7,2,0,7,2,7,4,3,6
2020년09월_남_총인구수,"117,205","8,545","7,064","6,589","6,995","2,502","8,059","2,728","3,437","4,688","4,951","6,684","12,784","3,549","6,847","11,126","6,319","14,338"
2020년09월_남_연령구간인구수,"117,205","8,545","7,064","6,589","6,995","2,502","8,059","2,728","3,437","4,688","4,951","6,684","12,784","3,549","6,847","11,126","6,319","14,338"
2020년09월_남_0~9세,"7,983",454,764,376,531,98,385,111,176,258,326,661,"1,030",193,464,"1,031",323,802
2020년09월_남_10~19세,"11,492",529,"1,208",674,617,169,592,146,242,337,387,830,"1,639",210,538,"1,519",607,"1,248"
2020년09월_남_20~29세,"15,993","1,357",823,883,"1,107",274,"1,012",461,404,840,757,781,"1,645",481,908,"1,437",900,"1,923"
2020년09월_남_30~39세,"13,730","1,353",704,732,989,277,950,344,378,667,638,769,"1,188",498,867,"1,185",711,"1,480"
2020년09월_남_40~49세,"18,966","1,448","1,530","1,101","1,165",356,"1,132",344,504,737,723,"1,201","2,120",559,999,"1,911",952,"2,184"
2020년09월_남_50~59세,"20,212","1,535","1,124","1,194","1,051",507,"1,445",489,653,775,828,"1,118","2,178",644,"1,093","1,737","1,147","2,694"
2020년09월_남_60~69세,"15,833","1,137",500,921,868,426,"1,402",409,565,556,650,729,"1,561",576,"1,017","1,210",936,"2,370"
2020년09월_남_70~79세,"9,219",536,282,498,459,281,864,277,348,359,421,439,"1,016",282,686,750,509,"1,212"
2020년09월_남_80~89세,"3,453",170,122,188,183,105,260,132,149,143,204,147,369,99,249,323,221,389
2020년09월_남_90~99세,302,22,6,21,23,8,17,12,16,12,17,9,37,7,24,22,13,36
2020년09월_남_100세 이상,22,4,1,1,2,1,0,3,2,4,0,0,1,0,2,1,0,0
2020년09월_여_총인구수,"120,220","7,915","7,699","7,017","7,208","2,290","7,970","2,799","3,400","5,106","5,551","7,064","13,774","3,153","7,111","11,864","6,604","13,695"
2020년09월_여_연령구간인구수,"120,220","7,915","7,699","7,017","7,208","2,290","7,970","2,799","3,400","5,106","5,551","7,064","13,774","3,153","7,111","11,864","6,604","13,695"
2020년09월_여_0~9세,"7,632",476,777,392,458,75,363,69,133,274,334,572,998,156,453,965,331,806
2020년09월_여_10~19세,"10,820",512,"1,236",593,518,133,580,116,225,425,398,844,"1,555",149,489,"1,416",512,"1,119"
2020년09월_여_20~29세,"15,164","1,487",814,784,"1,323",233,845,541,367,989,752,739,"1,445",378,894,"1,408",690,"1,475"
2020년09월_여_30~39세,"12,964","1,124",887,666,"1,001",205,705,256,292,600,660,841,"1,304",406,767,"1,358",592,"1,300"
2020년09월_여_40~49세,"18,414","1,100","1,738","1,091","1,011",256,990,282,432,705,787,"1,305","2,398",401,948,"2,146",941,"1,883"
