카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년10월_계_총인구수,"114,780","33,500","23,844","31,202","4,262","5,345","3,475","9,913","3,239"
2020년10월_계_연령구간인구수,"114,780","33,500","23,844","31,202","4,262","5,345","3,475","9,913","3,239"
2020년10월_계_0~9세,"9,609","2,361","1,869","4,534",83,125,70,332,235
2020년10월_계_10~19세,"11,542","3,413","3,107","3,709",129,171,144,703,166
2020년10월_계_20~29세,"12,144","3,918","2,861","3,058",306,417,251,"1,105",228
2020년10월_계_30~39세,"15,174","3,489","2,427","7,358",275,348,217,725,335
2020년10월_계_40~49세,"20,533","5,527","5,089","6,834",364,516,358,"1,426",419
2020년10월_계_50~59세,"19,579","6,304","4,699","2,999",848,"1,147",751,"2,261",570
2020년10월_계_60~69세,"13,547","4,371","2,157","1,563","1,017","1,310",845,"1,679",605
2020년10월_계_70~79세,"7,637","2,425","1,048",748,704,769,519,"1,040",384
2020년10월_계_80~89세,"4,359","1,481",526,348,468,449,264,565,258
2020년10월_계_90~99세,616,191,60,46,64,93,53,73,36
2020년10월_계_100세 이상,40,20,1,5,4,0,3,4,3
2020년10월_남_총인구수,"59,858","16,790","12,458","16,830","2,287","2,743","1,909","5,141","1,700"
2020년10월_남_연령구간인구수,"59,858","16,790","12,458","16,830","2,287","2,743","1,909","5,141","1,700"
2020년10월_남_0~9세,"4,950","1,207",972,"2,337",42,66,35,163,128
2020년10월_남_10~19세,"6,100","1,775","1,638","1,976",68,94,73,378,98
2020년10월_남_20~29세,"6,881","2,248","1,669","1,537",185,264,171,667,140
2020년10월_남_30~39세,"8,303","1,865","1,236","4,084",173,207,137,430,171
2020년10월_남_40~49세,"11,087","2,803","2,557","3,924",243,321,226,763,250
2020년10월_남_50~59세,"10,618","3,200","2,601","1,766",519,581,439,"1,203",309
2020년10월_남_60~69세,"7,018","2,171","1,139",758,572,697,460,886,335
2020년10월_남_70~79세,"3,316",987,452,329,311,369,254,445,169
2020년10월_남_80~89세,"1,432",479,177,105,161,135,95,190,90
2020년10월_남_90~99세,146,52,17,13,13,9,18,15,9
2020년10월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년10월_여_총인구수,"54,922","16,710","11,386","14,372","1,975","2,602","1,566","4,772","1,539"
2020년10월_여_연령구간인구수,"54,922","16,710","11,386","14,372","1,975","2,602","1,566","4,772","1,539"
2020년10월_여_0~9세,"4,659","1,154",897,"2,197",41,59,35,169,107
2020년10월_여_10~19세,"5,442","1,638","1,469","1,733",61,77,71,325,68
2020년10월_여_20~29세,"5,263","1,670","1,192","1,521",121,153,80,438,88
2020년10월_여_30~39세,"6,871","1,624","1,191","3,274",102,141,80,295,164
2020년10월_여_40~49세,"9,446","2,724","2,532","2,910",121,195,132,663,169
2020년10월_여_50~59세,"8,961","3,104","2,098","1,233",329,566,312,"1,058",261
2020년10월_여_60~69세,"6,529","2,200","1,018",805,445,613,385,793,270
2020년10월_여_70~79세,"4,321","1,438",596,419,393,400,265,595,215
2020년10월_여_80~89세,"2,927","1,002",349,243,307,314,169,375,168
2020년10월_여_90~99세,470,139,43,33,51,84,35,58,27
2020년10월_여_100세 이상,33,17,1,4,4,0,2,3,2
