카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2020년10월_계_총인구수,"27,964","12,471","2,887","2,338","2,578","3,051","4,639"
2020년10월_계_연령구간인구수,"27,964","12,471","2,887","2,338","2,578","3,051","4,639"
2020년10월_계_0~9세,"1,360",862,73,68,76,88,193
2020년10월_계_10~19세,"1,859","1,141",167,104,88,125,234
2020년10월_계_20~29세,"2,386","1,229",228,190,162,158,419
2020년10월_계_30~39세,"2,361","1,254",166,150,193,228,370
2020년10월_계_40~49세,"3,557","1,944",312,242,230,325,504
2020년10월_계_50~59세,"5,125","2,165",544,464,502,534,916
2020년10월_계_60~69세,"5,493","1,959",647,489,632,721,"1,045"
2020년10월_계_70~79세,"3,667","1,223",473,383,435,518,635
2020년10월_계_80~89세,"1,824",586,237,218,223,293,267
2020년10월_계_90~99세,316,105,40,25,34,57,55
2020년10월_계_100세 이상,16,3,0,5,3,4,1
2020년10월_남_총인구수,"14,215","6,282","1,485","1,191","1,327","1,577","2,353"
2020년10월_남_연령구간인구수,"14,215","6,282","1,485","1,191","1,327","1,577","2,353"
2020년10월_남_0~9세,697,433,40,36,39,49,100
2020년10월_남_10~19세,979,609,93,44,53,64,116
2020년10월_남_20~29세,"1,403",714,137,114,100,96,242
2020년10월_남_30~39세,"1,277",628,103,79,115,135,217
2020년10월_남_40~49세,"1,940",990,168,145,141,208,288
2020년10월_남_50~59세,"2,754","1,140",313,261,244,308,488
2020년10월_남_60~69세,"2,739",952,316,257,336,370,508
2020년10월_남_70~79세,"1,695",575,213,163,200,244,300
2020년10월_남_80~89세,667,214,96,86,90,99,82
2020년10월_남_90~99세,63,26,6,6,9,4,12
2020년10월_남_100세 이상,1,1,0,0,0,0,0
2020년10월_여_총인구수,"13,749","6,189","1,402","1,147","1,251","1,474","2,286"
2020년10월_여_연령구간인구수,"13,749","6,189","1,402","1,147","1,251","1,474","2,286"
2020년10월_여_0~9세,663,429,33,32,37,39,93
2020년10월_여_10~19세,880,532,74,60,35,61,118
2020년10월_여_20~29세,983,515,91,76,62,62,177
2020년10월_여_30~39세,"1,084",626,63,71,78,93,153
2020년10월_여_40~49세,"1,617",954,144,97,89,117,216
2020년10월_여_50~59세,"2,371","1,025",231,203,258,226,428
2020년10월_여_60~69세,"2,754","1,007",331,232,296,351,537
2020년10월_여_70~79세,"1,972",648,260,220,235,274,335
2020년10월_여_80~89세,"1,157",372,141,132,133,194,185
2020년10월_여_90~99세,253,79,34,19,25,53,43
2020년10월_여_100세 이상,15,2,0,5,3,4,1
