카테고리,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020년10월_계_총인구수,"175,844","14,885","7,317","12,904","16,802","28,081","19,674","11,058","16,225","13,688","6,686","11,921","16,603"
2020년10월_계_연령구간인구수,"175,844","14,885","7,317","12,904","16,802","28,081","19,674","11,058","16,225","13,688","6,686","11,921","16,603"
2020년10월_계_0~9세,"11,328",699,332,705,"1,002","2,102","1,009",512,"2,032",788,478,677,992
2020년10월_계_10~19세,"16,865","1,010",520,"1,044","1,750","3,949","1,626",928,"1,448","1,283",613,"1,000","1,694"
2020년10월_계_20~29세,"24,405","2,334",823,"1,495","2,322","4,159","2,975","1,483","1,995","2,011","1,035","1,565","2,208"
2020년10월_계_30~39세,"19,963","1,614",880,"1,252","1,704","2,750","2,282","1,106","2,830","1,604","1,034","1,291","1,616"
2020년10월_계_40~49세,"27,386","1,993","1,112","1,824","2,630","5,183","3,106","1,579","2,636","2,132","1,187","1,609","2,395"
2020년10월_계_50~59세,"33,667","2,850","1,381","2,474","3,217","5,585","3,747","2,162","2,623","2,674","1,176","2,422","3,356"
2020년10월_계_60~69세,"24,244","2,560","1,295","2,261","2,424","2,568","2,900","1,769","1,641","1,727",704,"1,817","2,578"
2020년10월_계_70~79세,"12,030","1,287",672,"1,201","1,200","1,131","1,425","1,021",644,968,304,"1,018","1,159"
2020년10월_계_80~89세,"5,236",456,253,571,492,578,539,437,335,440,130,472,533
2020년10월_계_90~99세,683,77,46,70,55,73,64,54,40,59,24,49,72
2020년10월_계_100세 이상,37,5,3,7,6,3,1,7,1,2,1,1,0
2020년10월_남_총인구수,"89,408","7,885","3,870","6,536","8,386","13,898","10,196","5,656","8,340","7,260","3,628","5,669","8,084"
2020년10월_남_연령구간인구수,"89,408","7,885","3,870","6,536","8,386","13,898","10,196","5,656","8,340","7,260","3,628","5,669","8,084"
2020년10월_남_0~9세,"5,698",361,175,344,497,"1,056",505,239,"1,047",419,227,330,498
2020년10월_남_10~19세,"8,807",558,285,544,922,"2,017",873,495,759,666,310,505,873
2020년10월_남_20~29세,"13,547","1,284",489,814,"1,280","2,247","1,639",832,"1,096","1,180",614,853,"1,219"
2020년10월_남_30~39세,"10,880",918,477,675,937,"1,369","1,316",628,"1,472",929,627,680,852
2020년10월_남_40~49세,"13,931","1,127",634,969,"1,290","2,321","1,645",834,"1,389","1,168",673,779,"1,102"
2020년10월_남_50~59세,"17,118","1,509",752,"1,277","1,582","2,867","1,914","1,136","1,294","1,435",625,"1,156","1,571"
2020년10월_남_60~69세,"12,009","1,314",673,"1,127","1,132","1,301","1,428",858,847,843,366,833,"1,287"
2020년10월_남_70~79세,"5,427",624,295,554,540,494,653,475,305,443,140,401,503
2020년10월_남_80~89세,"1,840",177,85,206,188,210,210,153,122,161,42,119,167
2020년10월_남_90~99세,142,11,5,22,16,15,13,6,9,16,4,13,12
2020년10월_남_100세 이상,9,2,0,4,2,1,0,0,0,0,0,0,0
2020년10월_여_총인구수,"86,436","7,000","3,447","6,368","8,416","14,183","9,478","5,402","7,885","6,428","3,058","6,252","8,519"
2020년10월_여_연령구간인구수,"86,436","7,000","3,447","6,368","8,416","14,183","9,478","5,402","7,885","6,428","3,058","6,252","8,519"
2020년10월_여_0~9세,"5,630",338,157,361,505,"1,046",504,273,985,369,251,347,494
2020년10월_여_10~19세,"8,058",452,235,500,828,"1,932",753,433,689,617,303,495,821
2020년10월_여_20~29세,"10,858","1,050",334,681,"1,042","1,912","1,336",651,899,831,421,712,989
2020년10월_여_30~39세,"9,083",696,403,577,767,"1,381",966,478,"1,358",675,407,611,764
2020년10월_여_40~49세,"13,455",866,478,855,"1,340","2,862","1,461",745,"1,247",964,514,830,"1,293"
2020년10월_여_50~59세,"16,549","1,341",629,"1,197","1,635","2,718","1,833","1,026","1,329","1,239",551,"1,266","1,785"
2020년10월_여_60~69세,"12,235","1,246",622,"1,134","1,292","1,267","1,472",911,794,884,338,984,"1,291"
2020년10월_여_70~79세,"6,603",663,377,647,660,637,772,546,339,525,164,617,656
2020년10월_여_80~89세,"3,396",279,168,365,304,368,329,284,213,279,88,353,366
2020년10월_여_90~99세,541,66,41,48,39,58,51,48,31,43,20,36,60
2020년10월_여_100세 이상,28,3,3,3,4,2,1,7,1,2,1,1,0
