,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년05월_계_총인구수,"9,575,355","146,377","123,133","227,515","289,656","342,812","338,233","390,476","433,988","303,154","320,687","516,552","475,143","307,406","369,970","451,541","577,484","399,950","229,823","377,577","388,396","489,160","419,121","532,296","659,446","465,459"
2021년05월_계_연령구간인구수,"9,575,355","146,377","123,133","227,515","289,656","342,812","338,233","390,476","433,988","303,154","320,687","516,552","475,143","307,406","369,970","451,541","577,484","399,950","229,823","377,577","388,396","489,160","419,121","532,296","659,446","465,459"
2021년05월_계_0~9세,"605,053","7,278","6,539","13,199","19,887","18,642","20,072","22,147","28,508","15,018","17,922","31,940","28,596","19,517","24,400","30,872","38,393","26,924","11,992","25,477","23,957","21,166","32,658","35,613","48,832","35,504"
2021년05월_계_10~19세,"768,326","10,791","6,664","15,206","19,479","25,362","23,285","26,043","36,728","21,374","24,963","51,686","37,857","23,195","28,118","50,084","44,084","29,660","14,354","23,895","27,307","28,005","44,888","58,153","58,037","39,108"
2021년05월_계_20~29세,"1,445,718","23,219","18,364","33,675","44,488","62,427","56,169","55,651","66,276","42,159","42,583","71,872","66,483","49,572","61,690","58,872","86,760","54,985","37,134","59,279","65,557","108,777","53,823","71,932","92,386","61,585"
2021년05월_계_30~39세,"1,455,366","19,637","19,936","38,237","47,828","55,243","49,332","57,123","59,345","37,811","39,899","63,864","67,345","44,546","64,041","56,941","98,552","61,901","35,476","69,256","61,693","85,737","61,561","79,524","107,745","72,793"
2021년05월_계_40~49세,"1,503,313","21,500","17,718","35,010","44,061","51,456","49,557","56,632","68,896","45,422","47,293","84,001","75,128","46,297","60,458","77,940","90,215","62,136","32,140","55,844","58,144","66,881","76,074","97,804","107,671","75,035"
2021년05월_계_50~59세,"1,509,933","25,032","20,290","36,615","46,712","53,969","52,427","68,444","69,093","51,932","56,240","87,236","76,771","48,706","54,426","76,186","84,959","62,542","39,615","56,392","57,992","67,334","63,083","80,359","101,448","72,130"
2021년05월_계_60~69세,"1,264,139","20,123","17,682","28,945","37,008","43,274","46,762","59,581","55,769","46,573","50,531","69,223","65,571","38,966","40,275","59,164","78,023","56,735","33,744","47,476","49,905","59,441","48,010","60,210","85,761","65,387"
2021년05월_계_70~79세,"696,670","11,824","10,327","16,582","20,271","22,067","27,489","31,122","32,826","29,491","27,517","37,294","38,799","23,646","23,715","28,815","38,818","31,746","17,867","26,884","29,696","36,615","27,226","34,275","40,597","31,161"
2021년05월_계_80~89세,"283,490","5,964","4,758","8,539","8,721","9,103","11,631","12,074","14,472","11,904","11,944","16,823","16,283","11,309","11,176","10,942","15,119","11,777","6,599","11,517","12,192","13,476","9,922","12,063","14,379","10,803"
2021년05월_계_90~99세,"40,827",949,795,"1,404","1,123","1,197","1,431","1,582","1,970","1,421","1,673","2,499","2,029","1,540","1,567","1,656","2,469","1,490",855,"1,490","1,773","1,624","1,758","2,218","2,478","1,836"
2021년05월_계_100세 이상,"2,520",60,60,103,78,72,78,77,105,49,122,114,281,112,104,69,92,54,47,67,180,104,118,145,112,117
2021년05월_남_총인구수,"4,654,720","71,204","60,106","109,494","141,358","165,461","167,463","192,923","209,407","147,824","156,282","249,029","227,496","147,056","174,194","221,431","278,408","197,398","116,292","186,564","187,942","245,552","200,485","254,558","317,981","228,812"
2021년05월_남_연령구간인구수,"4,654,720","71,204","60,106","109,494","141,358","165,461","167,463","192,923","209,407","147,824","156,282","249,029","227,496","147,056","174,194","221,431","278,408","197,398","116,292","186,564","187,942","245,552","200,485","254,558","317,981","228,812"
2021년05월_남_0~9세,"310,505","3,651","3,379","6,769","10,144","9,506","10,317","11,442","14,547","7,777","9,295","16,457","14,656","9,919","12,444","15,860","19,593","13,714","6,187","13,014","12,242","10,861","16,813","18,355","25,152","18,411"
2021년05월_남_10~19세,"393,586","5,354","3,323","7,697","9,715","12,859","11,764","13,224","18,657","10,949","12,832","26,809","19,360","11,575","14,171","26,098","22,477","15,265","7,228","12,446","14,031","14,291","22,882","30,271","29,698","20,610"
2021년05월_남_20~29세,"698,539","11,343","8,611","15,901","21,935","29,229","27,716","27,533","31,838","20,749","21,669","36,749","31,819","23,665","27,739","29,934","40,064","27,018","18,578","27,548","31,637","52,917","25,860","34,308","43,945","30,234"
2021년05월_남_30~39세,"727,357","9,760","9,942","19,030","23,489","27,373","25,467","29,400","29,602","19,817","20,416","31,831","33,156","22,010","30,242","28,107","49,788","31,643","19,609","35,503","31,206","47,408","28,313","36,514","51,541","36,190"
2021년05월_남_40~49세,"744,902","10,476","9,086","17,238","22,093","25,359","25,569","29,256","33,971","23,338","23,461","39,983","37,194","22,882","29,372","37,255","45,315","31,814","16,969","28,761","29,230","35,752","35,688","45,308","51,907","37,625"
2021년05월_남_50~59세,"743,420","12,632","10,287","18,079","23,265","26,433","26,566","33,844","34,092","25,575","26,820","42,285","36,951","23,761","26,726","37,872","40,797","30,990","19,959","28,701","27,917","33,962","31,107","40,310","49,219","35,270"
2021년05월_남_60~69세,"597,120","10,025","8,837","13,892","18,084","20,620","22,656","28,910","26,241","21,726","24,001","32,200","30,202","18,340","18,711","28,360","36,162","26,799","16,518","23,102","23,015","27,645","22,207","27,580","40,416","30,871"
2021년05월_남_70~79세,"317,430","5,244","4,642","7,228","9,035","10,118","12,434","14,215","14,322","12,752","12,684","16,184","17,046","10,096","10,010","13,618","18,160","15,038","8,403","12,398","13,241","16,715","12,736","16,223","19,830","15,058"
2021년05월_남_80~89세,"110,869","2,405","1,761","3,206","3,279","3,612","4,564","4,730","5,627","4,749","4,612","5,890","6,517","4,358","4,305","3,919","5,470","4,735","2,618","4,666","4,914","5,609","4,374","5,143","5,661","4,145"
2021년05월_남_90~99세,"10,357",295,222,422,290,333,390,348,484,378,456,622,554,415,439,394,553,368,210,409,456,371,475,517,587,369
2021년05월_남_100세 이상,635,19,16,32,29,19,20,21,26,14,36,19,41,35,35,14,29,14,13,16,53,21,30,29,25,29
2021년05월_여_총인구수,"4,920,635","75,173","63,027","118,021","148,298","177,351","170,770","197,553","224,581","155,330","164,405","267,523","247,647","160,350","195,776","230,110","299,076","202,552","113,531","191,013","200,454","243,608","218,636","277,738","341,465","236,647"
2021년05월_여_연령구간인구수,"4,920,635","75,173","63,027","118,021","148,298","177,351","170,770","197,553","224,581","155,330","164,405","267,523","247,647","160,350","195,776","230,110","299,076","202,552","113,531","191,013","200,454","243,608","218,636","277,738","341,465","236,647"
2021년05월_여_0~9세,"294,548","3,627","3,160","6,430","9,743","9,136","9,755","10,705","13,961","7,241","8,627","15,483","13,940","9,598","11,956","15,012","18,800","13,210","5,805","12,463","11,715","10,305","15,845","17,258","23,680","17,093"
2021년05월_여_10~19세,"374,740","5,437","3,341","7,509","9,764","12,503","11,521","12,819","18,071","10,425","12,131","24,877","18,497","11,620","13,947","23,986","21,607","14,395","7,126","11,449","13,276","13,714","22,006","27,882","28,339","18,498"
2021년05월_여_20~29세,"747,179","11,876","9,753","17,774","22,553","33,198","28,453","28,118","34,438","21,410","20,914","35,123","34,664","25,907","33,951","28,938","46,696","27,967","18,556","31,731","33,920","55,860","27,963","37,624","48,441","31,351"
2021년05월_여_30~39세,"728,009","9,877","9,994","19,207","24,339","27,870","23,865","27,723","29,743","17,994","19,483","32,033","34,189","22,536","33,799","28,834","48,764","30,258","15,867","33,753","30,487","38,329","33,248","43,010","56,204","36,603"
2021년05월_여_40~49세,"758,411","11,024","8,632","17,772","21,968","26,097","23,988","27,376","34,925","22,084","23,832","44,018","37,934","23,415","31,086","40,685","44,900","30,322","15,171","27,083","28,914","31,129","40,386","52,496","55,764","37,410"
2021년05월_여_50~59세,"766,513","12,400","10,003","18,536","23,447","27,536","25,861","34,600","35,001","26,357","29,420","44,951","39,820","24,945","27,700","38,314","44,162","31,552","19,656","27,691","30,075","33,372","31,976","40,049","52,229","36,860"
2021년05월_여_60~69세,"667,019","10,098","8,845","15,053","18,924","22,654","24,106","30,671","29,528","24,847","26,530","37,023","35,369","20,626","21,564","30,804","41,861","29,936","17,226","24,374","26,890","31,796","25,803","32,630","45,345","34,516"
2021년05월_여_70~79세,"379,240","6,580","5,685","9,354","11,236","11,949","15,055","16,907","18,504","16,739","14,833","21,110","21,753","13,550","13,705","15,197","20,658","16,708","9,464","14,486","16,455","19,900","14,490","18,052","20,767","16,103"
2021년05월_여_80~89세,"172,621","3,559","2,997","5,333","5,442","5,491","7,067","7,344","8,845","7,155","7,332","10,933","9,766","6,951","6,871","7,023","9,649","7,042","3,981","6,851","7,278","7,867","5,548","6,920","8,718","6,658"
2021년05월_여_90~99세,"30,470",654,573,982,833,864,"1,041","1,234","1,486","1,043","1,217","1,877","1,475","1,125","1,128","1,262","1,916","1,122",645,"1,081","1,317","1,253","1,283","1,701","1,891","1,467"
2021년05월_여_100세 이상,"1,885",41,44,71,49,53,58,56,79,35,86,95,240,77,69,55,63,40,34,51,127,83,88,116,87,88
