,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년11월_계_총인구수,"208,727","5,818","28,047","10,455","8,688","12,954","22,408","13,351","15,207","23,153","13,166","28,336","27,144"
2021년11월_계_연령구간인구수,"208,727","5,818","28,047","10,455","8,688","12,954","22,408","13,351","15,207","23,153","13,166","28,336","27,144"
2021년11월_계_0~9세,"11,370",228,"1,473",241,455,677,"1,019",497,909,"1,365",681,"1,742","2,083"
2021년11월_계_10~19세,"14,453",278,"1,922",402,616,927,"1,006",657,"1,082","1,811","1,044","2,171","2,537"
2021년11월_계_20~29세,"27,871",618,"3,523",788,"1,022","1,625","4,335","1,537","2,019","3,953","1,751","3,278","3,422"
2021년11월_계_30~39세,"24,345",563,"3,282",712,943,"1,438","3,297","1,547","1,737","3,012","1,467","3,180","3,167"
2021년11월_계_40~49세,"28,496",658,"3,668","1,206","1,177","1,700","2,716","1,667","1,987","3,374","1,755","4,245","4,343"
2021년11월_계_50~59세,"39,050","1,225","5,260","2,010","1,716","2,493","4,065","2,677","3,002","3,751","2,368","5,246","5,237"
2021년11월_계_60~69세,"38,446","1,303","5,504","2,537","1,605","2,582","3,842","2,841","2,841","3,487","2,469","5,294","4,141"
2021년11월_계_70~79세,"17,665",667,"2,470","1,695",832,"1,119","1,601","1,410","1,168","1,678","1,108","2,300","1,617"
2021년11월_계_80~89세,"6,348",254,834,798,297,345,474,460,415,653,482,797,539
2021년11월_계_90~99세,649,23,94,63,25,46,49,56,47,67,41,80,58
2021년11월_계_100세 이상,34,1,17,3,0,2,4,2,0,2,0,3,0
2021년11월_남_총인구수,"105,299","3,112","13,989","4,992","4,447","6,572","11,602","7,086","7,769","11,591","6,438","14,160","13,541"
2021년11월_남_연령구간인구수,"105,299","3,112","13,989","4,992","4,447","6,572","11,602","7,086","7,769","11,591","6,438","14,160","13,541"
2021년11월_남_0~9세,"5,820",125,737,125,234,342,523,261,475,678,359,889,"1,072"
2021년11월_남_10~19세,"7,505",145,"1,018",204,328,486,538,352,563,926,528,"1,149","1,268"
2021년11월_남_20~29세,"14,823",357,"1,868",468,597,875,"2,073",833,"1,093","2,027",926,"1,819","1,887"
2021년11월_남_30~39세,"13,163",313,"1,767",395,519,767,"1,846",902,942,"1,626",793,"1,675","1,618"
2021년11월_남_40~49세,"15,016",379,"1,885",724,618,921,"1,508",969,"1,025","1,762",882,"2,202","2,141"
2021년11월_남_50~59세,"19,479",704,"2,576","1,060",902,"1,190","2,143","1,457","1,456","1,803","1,086","2,533","2,569"
2021년11월_남_60~69세,"19,049",694,"2,644","1,179",778,"1,298","2,000","1,472","1,456","1,731","1,180","2,576","2,041"
2021년11월_남_70~79세,"8,161",303,"1,179",620,361,555,784,652,589,785,508,"1,042",783
2021년11월_남_80~89세,"2,173",90,296,208,106,130,182,180,165,241,167,252,156
2021년11월_남_90~99세,108,2,19,9,4,7,5,7,5,12,9,23,6
2021년11월_남_100세 이상,2,0,0,0,0,1,0,1,0,0,0,0,0
2021년11월_여_총인구수,"103,428","2,706","14,058","5,463","4,241","6,382","10,806","6,265","7,438","11,562","6,728","14,176","13,603"
2021년11월_여_연령구간인구수,"103,428","2,706","14,058","5,463","4,241","6,382","10,806","6,265","7,438","11,562","6,728","14,176","13,603"
2021년11월_여_0~9세,"5,550",103,736,116,221,335,496,236,434,687,322,853,"1,011"
2021년11월_여_10~19세,"6,948",133,904,198,288,441,468,305,519,885,516,"1,022","1,269"
2021년11월_여_20~29세,"13,048",261,"1,655",320,425,750,"2,262",704,926,"1,926",825,"1,459","1,535"
2021년11월_여_30~39세,"11,182",250,"1,515",317,424,671,"1,451",645,795,"1,386",674,"1,505","1,549"
2021년11월_여_40~49세,"13,480",279,"1,783",482,559,779,"1,208",698,962,"1,612",873,"2,043","2,202"
2021년11월_여_50~59세,"19,571",521,"2,684",950,814,"1,303","1,922","1,220","1,546","1,948","1,282","2,713","2,668"
2021년11월_여_60~69세,"19,397",609,"2,860","1,358",827,"1,284","1,842","1,369","1,385","1,756","1,289","2,718","2,100"
2021년11월_여_70~79세,"9,504",364,"1,291","1,075",471,564,817,758,579,893,600,"1,258",834
2021년11월_여_80~89세,"4,175",164,538,590,191,215,292,280,250,412,315,545,383
2021년11월_여_90~99세,541,21,75,54,21,39,44,49,42,55,32,57,52
2021년11월_여_100세 이상,32,1,17,3,0,1,4,1,0,2,0,3,0
