카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2020년11월_계_총인구수,"385,973","19,806","21,048","17,422","20,210","21,576","16,727","25,348","25,916","18,711","18,895","37,373","36,668","48,672","24,811","32,790"
2020년11월_계_연령구간인구수,"385,973","19,806","21,048","17,422","20,210","21,576","16,727","25,348","25,916","18,711","18,895","37,373","36,668","48,672","24,811","32,790"
2020년11월_계_0~9세,"38,238","1,410","1,565",902,967,"1,407","1,020","1,297","2,366","1,394","1,584","3,180","4,879","6,973","3,777","5,517"
2020년11월_계_10~19세,"42,675","1,907","2,256","1,105","1,641","1,736","1,250","1,789","2,688","2,013","2,848","5,525","6,275","5,951","2,830","2,861"
2020년11월_계_20~29세,"52,260","2,732","3,062","2,492","3,177","3,416","2,299","3,554","3,637","2,770","2,601","6,348","3,686","6,178","2,819","3,489"
2020년11월_계_30~39세,"57,631","2,359","2,547","2,336","2,621","3,250","2,259","3,054","3,946","2,590","1,857","4,329","4,513","9,455","4,754","7,761"
2020년11월_계_40~49세,"68,263","3,176","3,379","2,358","3,347","3,074","2,281","3,753","4,214","2,983","3,396","6,613","8,552","9,830","5,167","6,140"
2020년11월_계_50~59세,"64,387","3,730","4,009","3,474","4,043","3,972","3,122","5,324","4,716","3,520","3,422","6,224","5,425","6,039","3,259","4,108"
2020년11월_계_60~69세,"38,363","2,474","2,425","2,871","2,662","2,761","2,485","3,823","2,873","2,144","1,875","3,321","2,165","2,792","1,522","2,170"
2020년11월_계_70~79세,"15,559","1,329","1,159","1,248","1,175","1,186","1,168","1,759",913,808,834,"1,191",757,"1,032",484,516
2020년11월_계_80~89세,"7,241",607,543,551,495,652,691,855,447,436,387,521,343,357,176,180
2020년11월_계_90~99세,"1,293",79,99,81,78,117,145,131,102,49,90,120,69,64,22,47
2020년11월_계_100세 이상,63,3,4,4,4,5,7,9,14,4,1,1,4,1,1,1
2020년11월_남_총인구수,"191,853","9,817","10,428","9,022","11,089","10,628","7,973","13,113","12,724","9,137","9,202","18,368","18,026","23,836","12,247","16,243"
2020년11월_남_연령구간인구수,"191,853","9,817","10,428","9,022","11,089","10,628","7,973","13,113","12,724","9,137","9,202","18,368","18,026","23,836","12,247","16,243"
2020년11월_남_0~9세,"19,460",732,790,474,500,723,513,662,"1,205",715,785,"1,652","2,493","3,495","1,918","2,803"
2020년11월_남_10~19세,"21,930","1,002","1,159",575,902,886,661,925,"1,343","1,032","1,462","2,815","3,229","3,030","1,434","1,475"
2020년11월_남_20~29세,"27,036","1,483","1,628","1,389","1,801","1,827","1,147","1,996","1,871","1,429","1,352","3,173","1,878","2,976","1,402","1,684"
2020년11월_남_30~39세,"28,434","1,209","1,253","1,337","1,567","1,710","1,188","1,761","1,956","1,331",825,"2,038","1,878","4,438","2,203","3,740"
2020년11월_남_40~49세,"33,660","1,558","1,671","1,322","1,917","1,506","1,083","2,001","2,015","1,372","1,548","3,045","4,022","4,847","2,587","3,166"
2020년11월_남_50~59세,"31,817","1,815","1,937","1,656","2,214","1,866","1,420","2,690","2,218","1,660","1,698","3,122","2,893","3,043","1,637","1,948"
2020년11월_남_60~69세,"19,707","1,215","1,229","1,485","1,435","1,393","1,256","1,966","1,493","1,091",993,"1,738","1,149","1,398",760,"1,106"
2020년11월_남_70~79세,"7,156",579,552,575,572,505,491,790,455,357,382,581,342,475,239,261
2020년11월_남_80~89세,"2,338",202,181,192,163,181,190,288,137,134,135,177,126,116,65,51
2020년11월_남_90~99세,298,22,26,17,18,29,22,30,27,15,22,27,15,17,2,9
2020년11월_남_100세 이상,17,0,2,0,0,2,2,4,4,1,0,0,1,1,0,0
2020년11월_여_총인구수,"194,120","9,989","10,620","8,400","9,121","10,948","8,754","12,235","13,192","9,574","9,693","19,005","18,642","24,836","12,564","16,547"
2020년11월_여_연령구간인구수,"194,120","9,989","10,620","8,400","9,121","10,948","8,754","12,235","13,192","9,574","9,693","19,005","18,642","24,836","12,564","16,547"
2020년11월_여_0~9세,"18,778",678,775,428,467,684,507,635,"1,161",679,799,"1,528","2,386","3,478","1,859","2,714"
2020년11월_여_10~19세,"20,745",905,"1,097",530,739,850,589,864,"1,345",981,"1,386","2,710","3,046","2,921","1,396","1,386"
2020년11월_여_20~29세,"25,224","1,249","1,434","1,103","1,376","1,589","1,152","1,558","1,766","1,341","1,249","3,175","1,808","3,202","1,417","1,805"
2020년11월_여_30~39세,"29,197","1,150","1,294",999,"1,054","1,540","1,071","1,293","1,990","1,259","1,032","2,291","2,635","5,017","2,551","4,021"
2020년11월_여_40~49세,"34,603","1,618","1,708","1,036","1,430","1,568","1,198","1,752","2,199","1,611","1,848","3,568","4,530","4,983","2,580","2,974"
2020년11월_여_50~59세,"32,570","1,915","2,072","1,818","1,829","2,106","1,702","2,634","2,498","1,860","1,724","3,102","2,532","2,996","1,622","2,160"
2020년11월_여_60~69세,"18,656","1,259","1,196","1,386","1,227","1,368","1,229","1,857","1,380","1,053",882,"1,583","1,016","1,394",762,"1,064"
2020년11월_여_70~79세,"8,403",750,607,673,603,681,677,969,458,451,452,610,415,557,245,255
2020년11월_여_80~89세,"4,903",405,362,359,332,471,501,567,310,302,252,344,217,241,111,129
2020년11월_여_90~99세,995,57,73,64,60,88,123,101,75,34,68,93,54,47,20,38
2020년11월_여_100세 이상,46,3,2,4,4,3,5,5,10,3,1,1,3,0,1,1
