카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2020년12월_계_총인구수,"111,897","15,607","4,664","5,121","2,995","6,400","7,075","4,896","4,184","2,544","21,881","18,541","17,989"
2020년12월_계_연령구간인구수,"111,897","15,607","4,664","5,121","2,995","6,400","7,075","4,896","4,184","2,544","21,881","18,541","17,989"
2020년12월_계_0~9세,"7,414","1,028",177,181,94,282,228,156,135,113,"1,552","1,395","2,073"
2020년12월_계_10~19세,"9,592","1,306",273,287,144,444,413,349,268,143,"1,998","2,203","1,764"
2020년12월_계_20~29세,"12,177","1,667",453,416,228,549,628,411,348,202,"2,799","2,413","2,063"
2020년12월_계_30~39세,"11,539","1,812",300,360,196,512,449,309,297,175,"2,506","1,986","2,637"
2020년12월_계_40~49세,"16,033","2,260",410,541,275,692,692,581,474,276,"3,529","3,151","3,152"
2020년12월_계_50~59세,"20,117","2,806",875,956,583,"1,139","1,332",996,863,454,"3,874","3,309","2,930"
2020년12월_계_60~69세,"18,622","2,541","1,066","1,207",752,"1,370","1,626","1,014",899,597,"3,206","2,371","1,973"
2020년12월_계_70~79세,"10,214","1,352",660,721,458,843,994,609,548,369,"1,587","1,146",927
2020년12월_계_80~89세,"5,309",716,393,381,220,490,617,408,286,184,710,498,406
2020년12월_계_90~99세,828,109,54,69,44,78,91,57,64,29,110,65,58
2020년12월_계_100세 이상,52,10,3,2,1,1,5,6,2,2,10,4,6
2020년12월_남_총인구수,"56,838","8,060","2,412","2,674","1,547","3,280","3,696","2,532","2,170","1,287","10,934","9,289","8,957"
2020년12월_남_연령구간인구수,"56,838","8,060","2,412","2,674","1,547","3,280","3,696","2,532","2,170","1,287","10,934","9,289","8,957"
2020년12월_남_0~9세,"3,813",499,101,97,45,123,119,80,72,52,807,735,"1,083"
2020년12월_남_10~19세,"4,932",677,152,160,66,225,230,199,138,66,"1,032","1,119",868
2020년12월_남_20~29세,"6,682",938,265,235,148,309,388,223,206,116,"1,491","1,271","1,092"
2020년12월_남_30~39세,"6,086","1,013",166,208,108,270,258,174,161,101,"1,280","1,033","1,314"
2020년12월_남_40~49세,"8,267","1,195",231,296,153,412,376,314,258,151,"1,770","1,539","1,572"
2020년12월_남_50~59세,"10,560","1,502",472,524,319,625,721,570,483,238,"1,937","1,722","1,447"
2020년12월_남_60~69세,"9,479","1,290",537,627,390,721,871,536,451,296,"1,594","1,179",987
2020년12월_남_70~79세,"4,845",652,338,359,226,413,457,267,280,178,736,502,437
2020년12월_남_80~89세,"1,970",260,137,153,85,166,245,150,109,79,261,177,148
2020년12월_남_90~99세,188,30,12,15,7,15,29,18,11,9,22,12,8
2020년12월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1
2020년12월_여_총인구수,"55,059","7,547","2,252","2,447","1,448","3,120","3,379","2,364","2,014","1,257","10,947","9,252","9,032"
2020년12월_여_연령구간인구수,"55,059","7,547","2,252","2,447","1,448","3,120","3,379","2,364","2,014","1,257","10,947","9,252","9,032"
2020년12월_여_0~9세,"3,601",529,76,84,49,159,109,76,63,61,745,660,990
2020년12월_여_10~19세,"4,660",629,121,127,78,219,183,150,130,77,966,"1,084",896
2020년12월_여_20~29세,"5,495",729,188,181,80,240,240,188,142,86,"1,308","1,142",971
2020년12월_여_30~39세,"5,453",799,134,152,88,242,191,135,136,74,"1,226",953,"1,323"
2020년12월_여_40~49세,"7,766","1,065",179,245,122,280,316,267,216,125,"1,759","1,612","1,580"
2020년12월_여_50~59세,"9,557","1,304",403,432,264,514,611,426,380,216,"1,937","1,587","1,483"
2020년12월_여_60~69세,"9,143","1,251",529,580,362,649,755,478,448,301,"1,612","1,192",986
2020년12월_여_70~79세,"5,369",700,322,362,232,430,537,342,268,191,851,644,490
2020년12월_여_80~89세,"3,339",456,256,228,135,324,372,258,177,105,449,321,258
2020년12월_여_90~99세,640,79,42,54,37,63,62,39,53,20,88,53,50
2020년12월_여_100세 이상,36,6,2,2,1,0,3,5,1,1,6,4,5
