카테고리,경기도 부천시,경기도 부천시 심곡동,경기도 부천시 부천동,경기도 부천시 중동,경기도 부천시 신중동,경기도 부천시 상동,경기도 부천시 대산동,경기도 부천시 소사본동,경기도 부천시 범안동,경기도 부천시 성곡동,경기도 부천시 오정동
2020년10월_계_총인구수,"821,068","64,497","90,274","42,046","131,949","86,954","82,226","57,402","96,564","84,329","84,827"
2020년10월_계_연령구간인구수,"821,068","64,497","90,274","42,046","131,949","86,954","82,226","57,402","96,564","84,329","84,827"
2020년10월_계_0~9세,"58,088","3,078","5,723","2,818","10,049","8,148","4,784","3,807","9,931","4,614","5,136"
2020년10월_계_10~19세,"71,255","3,980","7,328","3,920","11,515","10,012","6,427","4,454","9,237","7,272","7,110"
2020년10월_계_20~29세,"117,796","10,177","12,926","6,175","19,713","12,258","11,662","7,971","11,533","12,634","12,747"
2020년10월_계_30~39세,"116,910","9,593","12,096","5,495","21,765","12,784","11,350","8,301","14,806","9,838","10,882"
2020년10월_계_40~49세,"130,102","9,722","13,983","6,448","20,799","15,427","12,514","8,038","17,220","12,911","13,040"
2020년10월_계_50~59세,"148,277","11,752","16,699","7,827","22,963","15,339","14,810","10,320","14,496","16,996","17,075"
2020년10월_계_60~69세,"109,253","9,643","12,932","5,798","16,267","8,591","12,300","8,898","11,447","11,764","11,613"
2020년10월_계_70~79세,"46,396","4,554","5,821","2,366","5,763","2,921","5,696","3,851","5,184","5,429","4,811"
2020년10월_계_80~89세,"19,685","1,712","2,416","1,001","2,607","1,238","2,309","1,515","2,305","2,490","2,092"
2020년10월_계_90~99세,"3,055",252,317,184,487,231,343,225,365,356,295
2020년10월_계_100세 이상,251,34,33,14,21,5,31,22,40,25,26
2020년10월_남_총인구수,"407,401","32,731","45,230","20,736","63,912","42,710","40,699","28,332","47,408","42,274","43,369"
2020년10월_남_연령구간인구수,"407,401","32,731","45,230","20,736","63,912","42,710","40,699","28,332","47,408","42,274","43,369"
2020년10월_남_0~9세,"29,782","1,633","2,932","1,434","5,196","4,137","2,479","1,938","5,076","2,323","2,634"
2020년10월_남_10~19세,"36,577","2,045","3,825","2,072","5,825","5,111","3,316","2,230","4,618","3,776","3,759"
2020년10월_남_20~29세,"60,803","5,168","6,799","3,126","9,689","6,266","6,107","4,156","5,960","6,703","6,829"
2020년10월_남_30~39세,"60,037","5,265","6,284","2,792","10,776","6,121","6,039","4,389","7,227","5,278","5,866"
2020년10월_남_40~49세,"65,459","5,291","7,289","3,167","9,901","7,272","6,348","3,995","8,777","6,525","6,894"
2020년10월_남_50~59세,"72,085","5,905","8,266","3,776","10,657","7,470","7,053","4,849","6,950","8,533","8,626"
2020년10월_남_60~69세,"53,947","4,614","6,248","2,871","8,260","4,521","5,847","4,316","5,488","5,891","5,891"
2020년10월_남_70~79세,"21,374","2,159","2,655","1,124","2,690","1,374","2,585","1,861","2,425","2,357","2,144"
2020년10월_남_80~89세,"6,575",605,836,323,807,386,850,537,781,798,652
2020년10월_남_90~99세,699,39,86,47,106,50,67,57,93,85,69
2020년10월_남_100세 이상,63,7,10,4,5,2,8,4,13,5,5
2020년10월_여_총인구수,"413,667","31,766","45,044","21,310","68,037","44,244","41,527","29,070","49,156","42,055","41,458"
2020년10월_여_연령구간인구수,"413,667","31,766","45,044","21,310","68,037","44,244","41,527","29,070","49,156","42,055","41,458"
2020년10월_여_0~9세,"28,306","1,445","2,791","1,384","4,853","4,011","2,305","1,869","4,855","2,291","2,502"
2020년10월_여_10~19세,"34,678","1,935","3,503","1,848","5,690","4,901","3,111","2,224","4,619","3,496","3,351"
2020년10월_여_20~29세,"56,993","5,009","6,127","3,049","10,024","5,992","5,555","3,815","5,573","5,931","5,918"
2020년10월_여_30~39세,"56,873","4,328","5,812","2,703","10,989","6,663","5,311","3,912","7,579","4,560","5,016"
2020년10월_여_40~49세,"64,643","4,431","6,694","3,281","10,898","8,155","6,166","4,043","8,443","6,386","6,146"
2020년10월_여_50~59세,"76,192","5,847","8,433","4,051","12,306","7,869","7,757","5,471","7,546","8,463","8,449"
2020년10월_여_60~69세,"55,306","5,029","6,684","2,927","8,007","4,070","6,453","4,582","5,959","5,873","5,722"
2020년10월_여_70~79세,"25,022","2,395","3,166","1,242","3,073","1,547","3,111","1,990","2,759","3,072","2,667"
2020년10월_여_80~89세,"13,110","1,107","1,580",678,"1,800",852,"1,459",978,"1,524","1,692","1,440"
2020년10월_여_90~99세,"2,356",213,231,137,381,181,276,168,272,271,226
2020년10월_여_100세 이상,188,27,23,10,16,3,23,18,27,20,21
