,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년10월_계_총인구수,"37,011","35,099","1,912"
2020년10월_계_연령구간인구수,"37,011","35,099","1,912"
2020년10월_계_0~9세,"3,327","3,289",38
2020년10월_계_10~19세,"3,376","3,295",81
2020년10월_계_20~29세,"4,534","4,402",132
2020년10월_계_30~39세,"4,803","4,707",96
2020년10월_계_40~49세,"5,631","5,427",204
2020년10월_계_50~59세,"6,055","5,716",339
2020년10월_계_60~69세,"4,955","4,465",490
2020년10월_계_70~79세,"2,676","2,382",294
2020년10월_계_80~89세,"1,467","1,261",206
2020년10월_계_90~99세,175,146,29
2020년10월_계_100세 이상,12,9,3
2020년10월_남_총인구수,"19,229","18,215","1,014"
2020년10월_남_연령구간인구수,"19,229","18,215","1,014"
2020년10월_남_0~9세,"1,710","1,686",24
2020년10월_남_10~19세,"1,757","1,719",38
2020년10월_남_20~29세,"2,631","2,551",80
2020년10월_남_30~39세,"2,670","2,610",60
2020년10월_남_40~49세,"3,056","2,926",130
2020년10월_남_50~59세,"3,195","3,002",193
2020년10월_남_60~69세,"2,474","2,203",271
2020년10월_남_70~79세,"1,195","1,054",141
2020년10월_남_80~89세,491,426,65
2020년10월_남_90~99세,46,35,11
2020년10월_남_100세 이상,4,3,1
2020년10월_여_총인구수,"17,782","16,884",898
2020년10월_여_연령구간인구수,"17,782","16,884",898
2020년10월_여_0~9세,"1,617","1,603",14
2020년10월_여_10~19세,"1,619","1,576",43
2020년10월_여_20~29세,"1,903","1,851",52
2020년10월_여_30~39세,"2,133","2,097",36
2020년10월_여_40~49세,"2,575","2,501",74
2020년10월_여_50~59세,"2,860","2,714",146
2020년10월_여_60~69세,"2,481","2,262",219
2020년10월_여_70~79세,"1,481","1,328",153
2020년10월_여_80~89세,976,835,141
2020년10월_여_90~99세,129,111,18
2020년10월_여_100세 이상,8,6,2
