,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2021년01월_계_총인구수,"102,877","4,542","3,875","10,478","7,833","8,836","10,398","4,391","4,743","3,226","8,097","11,859","7,990","16,609"
2021년01월_계_연령구간인구수,"102,877","4,542","3,875","10,478","7,833","8,836","10,398","4,391","4,743","3,226","8,097","11,859","7,990","16,609"
2021년01월_계_0~9세,"7,153",66,92,869,723,550,600,195,212,79,756,630,545,"1,836"
2021년01월_계_10~19세,"7,301",150,216,604,694,625,830,332,384,133,550,932,647,"1,204"
2021년01월_계_20~29세,"14,850","1,096",738,"1,328",914,"1,212","1,344",873,929,873,"1,137","1,410",944,"2,052"
2021년01월_계_30~39세,"13,384",604,425,"1,780",933,"1,151","1,081",478,428,382,"1,144","1,085","1,011","2,882"
2021년01월_계_40~49세,"13,960",507,505,"1,452","1,169","1,237","1,359",569,611,338,"1,127","1,491","1,100","2,495"
2021년01월_계_50~59세,"15,664",650,513,"1,656","1,110","1,443","1,766",629,754,426,"1,207","1,847","1,283","2,380"
2021년01월_계_60~69세,"14,809",759,580,"1,462","1,001","1,235","1,677",615,626,473,"1,025","2,029","1,277","2,050"
2021년01월_계_70~79세,"10,298",487,523,913,831,892,"1,165",446,487,336,776,"1,511",815,"1,116"
2021년01월_계_80~89세,"4,736",188,244,352,410,429,524,214,268,161,327,806,318,495
2021년01월_계_90~99세,653,30,37,58,45,56,49,34,40,22,37,109,48,88
2021년01월_계_100세 이상,69,5,2,4,3,6,3,6,4,3,11,9,2,11
2021년01월_남_총인구수,"50,789","2,307","1,925","5,476","3,793","4,398","5,081","2,226","2,444","1,687","3,873","5,625","3,872","8,082"
2021년01월_남_연령구간인구수,"50,789","2,307","1,925","5,476","3,793","4,398","5,081","2,226","2,444","1,687","3,873","5,625","3,872","8,082"
2021년01월_남_0~9세,"3,702",36,44,449,378,283,306,122,124,40,400,311,292,917
2021년01월_남_10~19세,"3,784",71,113,315,365,335,428,173,221,62,261,499,332,609
2021년01월_남_20~29세,"7,612",425,363,716,501,634,692,463,527,455,542,745,483,"1,066"
2021년01월_남_30~39세,"6,982",337,249,979,466,612,559,274,225,227,571,544,515,"1,424"
2021년01월_남_40~49세,"7,270",319,263,793,559,665,706,299,322,209,593,717,570,"1,255"
2021년01월_남_50~59세,"7,724",372,266,917,540,722,845,318,379,235,579,849,595,"1,107"
2021년01월_남_60~69세,"6,988",395,278,721,459,589,781,282,303,227,465,915,594,979
2021년01월_남_70~79세,"4,552",257,217,436,330,381,521,190,207,149,324,661,361,518
2021년01월_남_80~89세,"1,975",86,122,137,179,161,226,96,122,74,126,344,116,186
2021년01월_남_90~99세,183,9,10,13,15,15,17,6,13,7,10,36,14,18
2021년01월_남_100세 이상,17,0,0,0,1,1,0,3,1,2,2,4,0,3
2021년01월_여_총인구수,"52,088","2,235","1,950","5,002","4,040","4,438","5,317","2,165","2,299","1,539","4,224","6,234","4,118","8,527"
2021년01월_여_연령구간인구수,"52,088","2,235","1,950","5,002","4,040","4,438","5,317","2,165","2,299","1,539","4,224","6,234","4,118","8,527"
2021년01월_여_0~9세,"3,451",30,48,420,345,267,294,73,88,39,356,319,253,919
2021년01월_여_10~19세,"3,517",79,103,289,329,290,402,159,163,71,289,433,315,595
2021년01월_여_20~29세,"7,238",671,375,612,413,578,652,410,402,418,595,665,461,986
2021년01월_여_30~39세,"6,402",267,176,801,467,539,522,204,203,155,573,541,496,"1,458"
2021년01월_여_40~49세,"6,690",188,242,659,610,572,653,270,289,129,534,774,530,"1,240"
2021년01월_여_50~59세,"7,940",278,247,739,570,721,921,311,375,191,628,998,688,"1,273"
2021년01월_여_60~69세,"7,821",364,302,741,542,646,896,333,323,246,560,"1,114",683,"1,071"
2021년01월_여_70~79세,"5,746",230,306,477,501,511,644,256,280,187,452,850,454,598
2021년01월_여_80~89세,"2,761",102,122,215,231,268,298,118,146,87,201,462,202,309
2021년01월_여_90~99세,470,21,27,45,30,41,32,28,27,15,27,73,34,70
2021년01월_여_100세 이상,52,5,2,4,2,5,3,3,3,1,9,5,2,8
