,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년01월_계_총인구수,"176,742","14,054","12,359","14,926","27,851","11,460","26,018","18,711","9,643","13,183","28,537"
2021년01월_계_연령구간인구수,"176,742","14,054","12,359","14,926","27,851","11,460","26,018","18,711","9,643","13,183","28,537"
2021년01월_계_0~9세,"10,278",724,885,600,"1,702",692,"1,246","1,117",306,799,"2,207"
2021년01월_계_10~19세,"11,813","1,203","1,167",664,"1,975",832,"1,622","1,270",410,857,"1,813"
2021년01월_계_20~29세,"24,298","1,829","1,397","1,826","3,095","1,236","5,093","2,901","1,841","1,750","3,330"
2021년01월_계_30~39세,"23,809","1,658","1,252","1,765","3,401","1,428","4,066","2,715","1,463","1,940","4,121"
2021년01월_계_40~49세,"25,425","2,041","1,965","1,889","3,757","1,707","3,638","2,859","1,220","1,999","4,350"
2021년01월_계_50~59세,"27,651","2,432","2,184","2,335","4,380","1,872","3,598","2,724","1,361","2,065","4,700"
2021년01월_계_60~69세,"28,658","2,133","1,938","2,987","5,126","1,996","3,633","2,610","1,614","2,010","4,611"
2021년01월_계_70~79세,"17,053","1,292","1,071","1,966","2,979","1,230","2,180","1,749","1,005","1,159","2,422"
2021년01월_계_80~89세,"6,821",638,411,798,"1,250",411,828,693,379,542,871
2021년01월_계_90~99세,876,98,79,92,178,52,107,65,40,57,108
2021년01월_계_100세 이상,60,6,10,4,8,4,7,8,4,5,4
2021년01월_남_총인구수,"83,514","6,475","5,759","7,142","13,340","5,632","12,185","8,681","4,592","5,951","13,757"
2021년01월_남_연령구간인구수,"83,514","6,475","5,759","7,142","13,340","5,632","12,185","8,681","4,592","5,951","13,757"
2021년01월_남_0~9세,"5,291",351,457,320,886,351,651,571,164,424,"1,116"
2021년01월_남_10~19세,"6,090",601,587,345,"1,041",446,878,635,210,421,926
2021년01월_남_20~29세,"11,801",909,719,905,"1,605",688,"2,242","1,325",819,835,"1,754"
2021년01월_남_30~39세,"11,871",805,589,930,"1,711",756,"2,042","1,318",764,904,"2,052"
2021년01월_남_40~49세,"12,520",941,884,"1,010","1,899",886,"1,786","1,400",634,882,"2,198"
2021년01월_남_50~59세,"12,710","1,117",961,"1,097","2,006",898,"1,635","1,249",661,917,"2,169"
2021년01월_남_60~69세,"12,759",933,890,"1,311","2,275",892,"1,604","1,149",751,853,"2,101"
2021년01월_남_70~79세,"7,645",538,500,894,"1,388",539,"1,002",737,439,503,"1,105"
2021년01월_남_80~89세,"2,591",246,156,308,472,168,310,277,143,198,313
2021년01월_남_90~99세,222,33,13,22,54,8,32,17,7,14,22
2021년01월_남_100세 이상,14,1,3,0,3,0,3,3,0,0,1
2021년01월_여_총인구수,"93,228","7,579","6,600","7,784","14,511","5,828","13,833","10,030","5,051","7,232","14,780"
2021년01월_여_연령구간인구수,"93,228","7,579","6,600","7,784","14,511","5,828","13,833","10,030","5,051","7,232","14,780"
2021년01월_여_0~9세,"4,987",373,428,280,816,341,595,546,142,375,"1,091"
2021년01월_여_10~19세,"5,723",602,580,319,934,386,744,635,200,436,887
2021년01월_여_20~29세,"12,497",920,678,921,"1,490",548,"2,851","1,576","1,022",915,"1,576"
2021년01월_여_30~39세,"11,938",853,663,835,"1,690",672,"2,024","1,397",699,"1,036","2,069"
2021년01월_여_40~49세,"12,905","1,100","1,081",879,"1,858",821,"1,852","1,459",586,"1,117","2,152"
2021년01월_여_50~59세,"14,941","1,315","1,223","1,238","2,374",974,"1,963","1,475",700,"1,148","2,531"
2021년01월_여_60~69세,"15,899","1,200","1,048","1,676","2,851","1,104","2,029","1,461",863,"1,157","2,510"
2021년01월_여_70~79세,"9,408",754,571,"1,072","1,591",691,"1,178","1,012",566,656,"1,317"
2021년01월_여_80~89세,"4,230",392,255,490,778,243,518,416,236,344,558
2021년01월_여_90~99세,654,65,66,70,124,44,75,48,33,43,86
2021년01월_여_100세 이상,46,5,7,4,5,4,4,5,4,5,3
