,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2021년12월_계_총인구수,"208,298","5,808","27,998","10,412","8,683","12,921","22,414","13,318","15,160","23,075","13,154","28,294","27,061"
2021년12월_계_연령구간인구수,"208,298","5,808","27,998","10,412","8,683","12,921","22,414","13,318","15,160","23,075","13,154","28,294","27,061"
2021년12월_계_0~9세,"11,268",226,"1,482",244,457,666,"1,005",480,901,"1,344",675,"1,726","2,062"
2021년12월_계_10~19세,"14,409",276,"1,909",399,615,927,"1,013",654,"1,074","1,798","1,037","2,169","2,538"
2021년12월_계_20~29세,"27,690",611,"3,485",777,"1,020","1,620","4,331","1,529","2,001","3,935","1,740","3,247","3,394"
2021년12월_계_30~39세,"24,248",568,"3,285",713,927,"1,428","3,303","1,541","1,737","2,997","1,455","3,155","3,139"
2021년12월_계_40~49세,"28,452",655,"3,664","1,190","1,185","1,704","2,727","1,655","1,967","3,369","1,750","4,248","4,338"
2021년12월_계_50~59세,"38,940","1,224","5,240","1,999","1,719","2,474","4,054","2,678","3,004","3,734","2,361","5,243","5,210"
2021년12월_계_60~69세,"38,474","1,304","5,510","2,526","1,598","2,586","3,841","2,835","2,829","3,490","2,487","5,301","4,167"
2021년12월_계_70~79세,"17,718",662,"2,483","1,695",834,"1,123","1,601","1,423","1,177","1,685","1,118","2,305","1,612"
2021년12월_계_80~89세,"6,422",257,844,800,301,346,485,466,423,656,487,814,543
2021년12월_계_90~99세,657,24,93,66,27,45,50,55,47,65,44,83,58
2021년12월_계_100세 이상,20,1,3,3,0,2,4,2,0,2,0,3,0
2021년12월_남_총인구수,"105,034","3,099","13,961","4,977","4,440","6,545","11,602","7,058","7,740","11,542","6,438","14,129","13,503"
2021년12월_남_연령구간인구수,"105,034","3,099","13,961","4,977","4,440","6,545","11,602","7,058","7,740","11,542","6,438","14,129","13,503"
2021년12월_남_0~9세,"5,771",124,742,128,231,339,520,251,468,666,358,880,"1,064"
2021년12월_남_10~19세,"7,483",143,"1,014",202,328,481,545,348,559,923,525,"1,148","1,267"
2021년12월_남_20~29세,"14,717",351,"1,846",463,598,876,"2,061",834,"1,083","2,009",920,"1,801","1,875"
2021년12월_남_30~39세,"13,115",314,"1,762",402,506,756,"1,848",901,940,"1,621",794,"1,668","1,603"
2021년12월_남_40~49세,"14,973",374,"1,883",712,626,924,"1,514",957,"1,021","1,750",878,"2,197","2,137"
2021년12월_남_50~59세,"19,433",708,"2,565","1,058",901,"1,174","2,144","1,454","1,455","1,799","1,086","2,533","2,556"
2021년12월_남_60~69세,"19,041",693,"2,640","1,180",774,"1,299","1,993","1,469","1,447","1,733","1,185","2,573","2,055"
2021년12월_남_70~79세,"8,176",298,"1,187",614,364,558,788,655,591,782,513,"1,046",780
2021년12월_남_80~89세,"2,211",92,302,210,108,129,183,181,171,247,171,258,159
2021년12월_남_90~99세,112,2,20,8,4,8,6,7,5,12,8,25,7
2021년12월_남_100세 이상,2,0,0,0,0,1,0,1,0,0,0,0,0
2021년12월_여_총인구수,"103,264","2,709","14,037","5,435","4,243","6,376","10,812","6,260","7,420","11,533","6,716","14,165","13,558"
2021년12월_여_연령구간인구수,"103,264","2,709","14,037","5,435","4,243","6,376","10,812","6,260","7,420","11,533","6,716","14,165","13,558"
2021년12월_여_0~9세,"5,497",102,740,116,226,327,485,229,433,678,317,846,998
2021년12월_여_10~19세,"6,926",133,895,197,287,446,468,306,515,875,512,"1,021","1,271"
2021년12월_여_20~29세,"12,973",260,"1,639",314,422,744,"2,270",695,918,"1,926",820,"1,446","1,519"
2021년12월_여_30~39세,"11,133",254,"1,523",311,421,672,"1,455",640,797,"1,376",661,"1,487","1,536"
2021년12월_여_40~49세,"13,479",281,"1,781",478,559,780,"1,213",698,946,"1,619",872,"2,051","2,201"
2021년12월_여_50~59세,"19,507",516,"2,675",941,818,"1,300","1,910","1,224","1,549","1,935","1,275","2,710","2,654"
2021년12월_여_60~69세,"19,433",611,"2,870","1,346",824,"1,287","1,848","1,366","1,382","1,757","1,302","2,728","2,112"
2021년12월_여_70~79세,"9,542",364,"1,296","1,081",470,565,813,768,586,903,605,"1,259",832
2021년12월_여_80~89세,"4,211",165,542,590,193,217,302,285,252,409,316,556,384
2021년12월_여_90~99세,545,22,73,58,23,37,44,48,42,53,36,58,51
2021년12월_여_100세 이상,18,1,3,3,0,1,4,1,0,2,0,3,0
