,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2021년06월_계_총인구수,"175,877","13,915","12,247","14,805","27,545","11,193","25,838","18,652","9,456","13,734","28,492"
2021년06월_계_연령구간인구수,"175,877","13,915","12,247","14,805","27,545","11,193","25,838","18,652","9,456","13,734","28,492"
2021년06월_계_0~9세,"10,192",713,872,585,"1,672",663,"1,207","1,059",274,912,"2,235"
2021년06월_계_10~19세,"11,590","1,172","1,161",657,"1,918",793,"1,552","1,246",395,921,"1,775"
2021년06월_계_20~29세,"24,075","1,841","1,320","1,800","3,022","1,194","5,087","2,857","1,863","1,776","3,315"
2021년06월_계_30~39세,"23,680","1,609","1,245","1,737","3,315","1,364","4,124","2,745","1,404","2,043","4,094"
2021년06월_계_40~49세,"25,173","1,994","1,947","1,878","3,776","1,658","3,507","2,832","1,164","2,106","4,311"
2021년06월_계_50~59세,"27,181","2,440","2,149","2,270","4,228","1,842","3,526","2,709","1,315","2,105","4,597"
2021년06월_계_60~69세,"28,937","2,144","1,959","2,971","5,173","1,998","3,668","2,669","1,612","2,044","4,699"
2021년06월_계_70~79세,"17,114","1,265","1,101","1,967","2,987","1,202","2,188","1,754",998,"1,206","2,446"
2021년06월_계_80~89세,"6,998",633,411,835,"1,278",424,857,703,392,570,895
2021년06월_계_90~99세,902,102,74,101,174,54,116,70,38,49,124
2021년06월_계_100세 이상,35,2,8,4,2,1,6,8,1,2,1
2021년06월_남_총인구수,"83,071","6,396","5,708","7,103","13,158","5,515","12,080","8,650","4,511","6,234","13,716"
2021년06월_남_연령구간인구수,"83,071","6,396","5,708","7,103","13,158","5,515","12,080","8,650","4,511","6,234","13,716"
2021년06월_남_0~9세,"5,233",336,439,315,876,339,632,533,139,489,"1,135"
2021년06월_남_10~19세,"5,958",590,589,346,988,427,848,627,200,451,892
2021년06월_남_20~29세,"11,671",900,680,891,"1,571",664,"2,221","1,311",848,828,"1,757"
2021년06월_남_30~39세,"11,813",787,583,915,"1,649",734,"2,070","1,342",735,971,"2,027"
2021년06월_남_40~49세,"12,407",919,878,"1,014","1,893",854,"1,727","1,386",596,949,"2,191"
2021년06월_남_50~59세,"12,583","1,123",953,"1,078","1,941",895,"1,611","1,256",658,944,"2,124"
2021년06월_남_60~69세,"12,824",946,896,"1,302","2,302",895,"1,608","1,157",751,854,"2,113"
2021년06월_남_70~79세,"7,646",524,514,892,"1,384",524,"1,003",734,428,526,"1,117"
2021년06월_남_80~89세,"2,693",236,163,326,499,177,324,281,146,210,331
2021년06월_남_90~99세,235,34,11,24,55,6,34,20,10,12,29
2021년06월_남_100세 이상,8,1,2,0,0,0,2,3,0,0,0
2021년06월_여_총인구수,"92,806","7,519","6,539","7,702","14,387","5,678","13,758","10,002","4,945","7,500","14,776"
2021년06월_여_연령구간인구수,"92,806","7,519","6,539","7,702","14,387","5,678","13,758","10,002","4,945","7,500","14,776"
2021년06월_여_0~9세,"4,959",377,433,270,796,324,575,526,135,423,"1,100"
2021년06월_여_10~19세,"5,632",582,572,311,930,366,704,619,195,470,883
2021년06월_여_20~29세,"12,404",941,640,909,"1,451",530,"2,866","1,546","1,015",948,"1,558"
2021년06월_여_30~39세,"11,867",822,662,822,"1,666",630,"2,054","1,403",669,"1,072","2,067"
2021년06월_여_40~49세,"12,766","1,075","1,069",864,"1,883",804,"1,780","1,446",568,"1,157","2,120"
2021년06월_여_50~59세,"14,598","1,317","1,196","1,192","2,287",947,"1,915","1,453",657,"1,161","2,473"
2021년06월_여_60~69세,"16,113","1,198","1,063","1,669","2,871","1,103","2,060","1,512",861,"1,190","2,586"
2021년06월_여_70~79세,"9,468",741,587,"1,075","1,603",678,"1,185","1,020",570,680,"1,329"
2021년06월_여_80~89세,"4,305",397,248,509,779,247,533,422,246,360,564
2021년06월_여_90~99세,667,68,63,77,119,48,82,50,28,37,95
2021년06월_여_100세 이상,27,1,6,4,2,1,4,5,1,2,1
