,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년12월_계_총인구수,"404,221","10,863","6,558","15,279","4,594","33,035","28,905","10,884","15,594","7,481","27,459","43,297","18,457","30,856","77,438","26,266","2,139","1,856","4,064","2,199","2,009","34,988"
2021년12월_계_연령구간인구수,"404,221","10,863","6,558","15,279","4,594","33,035","28,905","10,884","15,594","7,481","27,459","43,297","18,457","30,856","77,438","26,266","2,139","1,856","4,064","2,199","2,009","34,988"
2021년12월_계_0~9세,"37,540",651,321,"1,341",300,"3,780","2,328",660,969,682,"1,984","3,591","1,977","2,663","9,379","3,122",54,43,122,45,33,"3,495"
2021년12월_계_10~19세,"51,181","1,064",357,"1,557",388,"3,699","2,126","1,076","1,887",785,"3,355","5,407","2,749","3,737","13,685","3,449",111,69,142,121,89,"5,328"
2021년12월_계_20~29세,"58,371","1,683","1,004","2,112",564,"4,000","4,247","1,812","2,390",855,"4,948","7,872","2,629","4,623","9,703","3,510",158,148,421,164,140,"5,388"
2021년12월_계_30~39세,"52,986","1,148",869,"2,045",531,"5,260","4,596","1,240","1,683",890,"3,500","5,783","2,269","3,832","9,674","3,870",121,142,442,144,129,"4,818"
2021년12월_계_40~49세,"75,051","1,767",826,"2,626",705,"6,187","4,215","1,540","2,664","1,426","4,210","7,764","3,801","5,595","17,789","5,353",175,166,489,198,205,"7,350"
2021년12월_계_50~59세,"66,470","1,871","1,107","2,465",782,"4,735","5,088","2,176","3,035","1,427","5,564","7,847","2,937","5,642","10,610","3,882",391,306,652,367,321,"5,265"
2021년12월_계_60~69세,"35,946","1,379",936,"1,606",652,"3,218","3,698","1,496","1,815",755,"2,568","3,156","1,214","2,682","4,156","2,092",481,417,818,464,393,"1,950"
2021년12월_계_70~79세,"17,217",899,776,"1,020",467,"1,405","1,610",576,789,406,821,"1,156",610,"1,373","1,743",669,325,344,566,358,345,959
2021년12월_계_80~89세,"8,219",353,316,445,172,661,863,266,322,228,429,638,237,633,591,266,266,197,350,294,307,385
2021년12월_계_90~99세,"1,206",48,45,61,30,87,134,42,38,27,78,80,33,73,104,52,56,24,59,43,46,46
2021년12월_계_100세 이상,34,0,1,1,3,3,0,0,2,0,2,3,1,3,4,1,1,0,3,1,1,4
2021년12월_남_총인구수,"203,707","5,517","3,267","7,720","2,327","16,891","14,684","5,532","7,857","3,965","13,632","21,827","9,365","15,101","38,146","13,542","1,102",950,"2,266","1,148","1,005","17,863"
2021년12월_남_연령구간인구수,"203,707","5,517","3,267","7,720","2,327","16,891","14,684","5,532","7,857","3,965","13,632","21,827","9,365","15,101","38,146","13,542","1,102",950,"2,266","1,148","1,005","17,863"
2021년12월_남_0~9세,"19,244",341,163,703,158,"1,962","1,212",347,500,352,"1,027","1,820","1,022","1,359","4,784","1,584",20,23,58,18,17,"1,774"
2021년12월_남_10~19세,"26,291",547,183,824,205,"1,866","1,091",577,974,412,"1,694","2,810","1,399","1,964","6,821","1,808",60,42,83,68,47,"2,816"
2021년12월_남_20~29세,"31,053",956,534,"1,171",316,"2,218","2,231",984,"1,241",489,"2,608","4,180","1,391","2,348","5,061","1,901",90,79,260,108,76,"2,811"
2021년12월_남_30~39세,"27,065",601,492,"1,048",292,"2,699","2,495",686,874,473,"1,818","3,038","1,130","1,908","4,448","1,979",70,90,272,91,66,"2,495"
2021년12월_남_40~49세,"37,254",915,451,"1,359",363,"3,337","2,212",758,"1,313",772,"1,925","3,665","1,862","2,705","8,500","2,773",109,107,339,115,128,"3,546"
2021년12월_남_50~59세,"34,457",988,564,"1,245",400,"2,400","2,596","1,068","1,549",808,"2,634","3,978","1,629","2,796","5,654","2,004",235,177,422,234,194,"2,882"
2021년12월_남_60~69세,"18,115",659,420,766,307,"1,574","1,914",744,911,407,"1,398","1,659",585,"1,293","1,971","1,098",272,215,444,261,228,989
2021년12월_남_70~79세,"7,507",369,333,443,221,620,702,282,372,183,365,475,269,513,734,317,148,162,274,170,137,418
2021년12월_남_80~89세,"2,502",129,115,149,58,205,219,78,114,63,151,188,71,192,156,71,92,51,102,77,99,122
2021년12월_남_90~99세,215,12,12,12,7,10,12,8,8,6,11,14,7,23,16,7,6,4,12,6,13,9
2021년12월_남_100세 이상,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2021년12월_여_총인구수,"200,514","5,346","3,291","7,559","2,267","16,144","14,221","5,352","7,737","3,516","13,827","21,470","9,092","15,755","39,292","12,724","1,037",906,"1,798","1,051","1,004","17,125"
