,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년08월_계_총인구수,"219,537","14,771","36,015","13,661","11,192","6,431","14,690","14,530","4,461","4,792","2,688","17,293","53,994","14,773","10,246"
2020년08월_계_연령구간인구수,"219,537","14,771","36,015","13,661","11,192","6,431","14,690","14,530","4,461","4,792","2,688","17,293","53,994","14,773","10,246"
2020년08월_계_0~9세,"19,254",995,"3,423","1,060",809,317,"1,459","1,265",153,187,67,"1,013","6,966",962,578
2020년08월_계_10~19세,"23,815","1,397","4,515","1,136",865,884,"1,963","1,237",262,241,124,"1,553","7,890",946,802
2020년08월_계_20~29세,"29,894","1,557","4,937","1,649","1,280",774,"2,123","2,507",395,398,192,"2,809","6,749","3,012","1,512"
2020년08월_계_30~39세,"30,719","1,538","5,177","1,817","1,270",650,"2,369","2,550",360,394,141,"2,233","8,450","2,416","1,354"
2020년08월_계_40~49세,"34,858","2,061","6,753","1,933","1,628",736,"1,917","2,117",514,507,254,"2,602","10,481","1,864","1,491"
2020년08월_계_50~59세,"35,197","2,546","5,459","2,537","2,159","1,099","1,978","2,010",883,912,457,"3,048","7,818","2,339","1,952"
2020년08월_계_60~69세,"25,150","2,363","3,290","2,008","1,673","1,027","1,541","1,495",939,997,659,"2,359","3,443","1,837","1,519"
2020년08월_계_70~79세,"13,010","1,420","1,578",992,911,584,844,879,558,673,403,"1,126","1,412",919,711
2020년08월_계_80~89세,"6,638",793,781,439,503,312,426,394,355,415,339,495,685,417,284
2020년08월_계_90~99세,939,90,98,84,89,47,64,71,40,63,48,51,98,56,40
2020년08월_계_100세 이상,63,11,4,6,5,1,6,5,2,5,4,4,2,5,3
2020년08월_남_총인구수,"113,658","7,536","18,862","7,195","5,696","3,493","8,001","7,419","2,398","2,521","1,381","8,586","26,988","8,342","5,240"
2020년08월_남_연령구간인구수,"113,658","7,536","18,862","7,195","5,696","3,493","8,001","7,419","2,398","2,521","1,381","8,586","26,988","8,342","5,240"
2020년08월_남_0~9세,"9,944",510,"1,736",542,416,168,738,661,87,90,38,527,"3,615",507,309
2020년08월_남_10~19세,"12,555",738,"2,338",636,454,549,"1,089",609,141,129,66,795,"4,133",499,379
2020년08월_남_20~29세,"16,915",938,"2,890",904,699,425,"1,284","1,254",249,229,111,"1,500","3,570","2,068",794
2020년08월_남_30~39세,"16,451",811,"2,759",979,650,384,"1,346","1,352",231,240,89,"1,239","4,085","1,502",784
2020년08월_남_40~49세,"18,002","1,076","3,467","1,063",866,431,"1,089","1,165",294,307,159,"1,267","5,021","1,018",779
2020년08월_남_50~59세,"18,299","1,324","2,921","1,333","1,093",611,"1,072","1,074",488,504,241,"1,447","3,999","1,206",986
2020년08월_남_60~69세,"12,827","1,173","1,708","1,074",860,532,813,751,501,528,345,"1,104","1,733",924,781
2020년08월_남_70~79세,"5,988",655,728,472,426,267,398,395,263,327,195,524,593,435,310
2020년08월_남_80~89세,"2,431",280,292,172,207,116,150,143,131,156,124,168,221,165,106
2020년08월_남_90~99세,228,27,23,18,25,10,20,13,13,9,12,15,17,15,11
2020년08월_남_100세 이상,18,4,0,2,0,0,2,2,0,2,1,0,1,3,1
2020년08월_여_총인구수,"105,879","7,235","17,153","6,466","5,496","2,938","6,689","7,111","2,063","2,271","1,307","8,707","27,006","6,431","5,006"
2020년08월_여_연령구간인구수,"105,879","7,235","17,153","6,466","5,496","2,938","6,689","7,111","2,063","2,271","1,307","8,707","27,006","6,431","5,006"
2020년08월_여_0~9세,"9,310",485,"1,687",518,393,149,721,604,66,97,29,486,"3,351",455,269
2020년08월_여_10~19세,"11,260",659,"2,177",500,411,335,874,628,121,112,58,758,"3,757",447,423
2020년08월_여_20~29세,"12,979",619,"2,047",745,581,349,839,"1,253",146,169,81,"1,309","3,179",944,718
2020년08월_여_30~39세,"14,268",727,"2,418",838,620,266,"1,023","1,198",129,154,52,994,"4,365",914,570
2020년08월_여_40~49세,"16,856",985,"3,286",870,762,305,828,952,220,200,95,"1,335","5,460",846,712
2020년08월_여_50~59세,"16,898","1,222","2,538","1,204","1,066",488,906,936,395,408,216,"1,601","3,819","1,133",966
2020년08월_여_60~69세,"12,323","1,190","1,582",934,813,495,728,744,438,469,314,"1,255","1,710",913,738
2020년08월_여_70~79세,"7,022",765,850,520,485,317,446,484,295,346,208,602,819,484,401
2020년08월_여_80~89세,"4,207",513,489,267,296,196,276,251,224,259,215,327,464,252,178
2020년08월_여_90~99세,711,63,75,66,64,37,44,58,27,54,36,36,81,41,29
2020년08월_여_100세 이상,45,7,4,4,5,1,4,3,2,3,3,4,1,2,2
