,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년11월_계_총인구수,"102,645","4,545","3,819","10,066","7,867","8,866","10,419","4,378","4,759","3,224","8,197","11,919","8,033","16,553"
2020년11월_계_연령구간인구수,"102,645","4,545","3,819","10,066","7,867","8,866","10,419","4,378","4,759","3,224","8,197","11,919","8,033","16,553"
2020년11월_계_0~9세,"7,125",70,92,809,723,560,603,193,213,77,782,646,546,"1,811"
2020년11월_계_10~19세,"7,309",151,209,562,703,636,830,337,389,138,552,954,643,"1,205"
2020년11월_계_20~29세,"14,799","1,079",715,"1,286",931,"1,201","1,346",846,927,861,"1,163","1,411",966,"2,067"
2020년11월_계_30~39세,"13,363",595,402,"1,685",918,"1,169","1,106",484,430,380,"1,159","1,095","1,040","2,900"
2020년11월_계_40~49세,"14,005",523,508,"1,389","1,193","1,254","1,368",584,620,343,"1,139","1,517","1,092","2,475"
2020년11월_계_50~59세,"15,686",653,513,"1,595","1,125","1,465","1,767",626,748,434,"1,215","1,856","1,303","2,386"
2020년11월_계_60~69세,"14,715",770,586,"1,444","1,002","1,209","1,643",615,638,468,"1,037","2,018","1,268","2,017"
2020년11월_계_70~79세,"10,281",480,511,889,838,899,"1,180",446,486,337,785,"1,508",811,"1,111"
2020년11월_계_80~89세,"4,653",189,242,350,389,415,524,208,267,162,315,800,312,480
2020년11월_계_90~99세,642,30,38,53,42,53,49,32,38,21,39,107,50,90
2020년11월_계_100세 이상,67,5,3,4,3,5,3,7,3,3,11,7,2,11
2020년11월_남_총인구수,"50,705","2,327","1,895","5,301","3,819","4,409","5,073","2,224","2,444","1,670","3,918","5,654","3,888","8,083"
2020년11월_남_연령구간인구수,"50,705","2,327","1,895","5,301","3,819","4,409","5,073","2,224","2,444","1,670","3,918","5,654","3,888","8,083"
2020년11월_남_0~9세,"3,694",38,46,417,377,290,305,123,118,39,416,320,293,912
2020년11월_남_10~19세,"3,814",74,111,296,375,342,428,178,226,63,262,517,324,618
2020년11월_남_20~29세,"7,539",420,346,702,508,617,688,452,528,435,552,740,492,"1,059"
2020년11월_남_30~39세,"6,981",337,228,928,459,619,566,276,227,227,577,553,530,"1,454"
2020년11월_남_40~49세,"7,305",331,263,766,573,678,713,303,333,209,597,724,570,"1,245"
2020년11월_남_50~59세,"7,737",375,273,891,550,732,845,316,366,238,585,857,601,"1,108"
2020년11월_남_60~69세,"6,953",399,283,726,456,585,758,285,303,226,467,907,589,969
2020년11월_남_70~79세,"4,538",256,212,421,335,378,524,191,211,151,329,657,359,514
2020년11월_남_80~89세,"1,951",88,122,142,171,152,231,91,120,74,121,340,116,183
2020년11월_남_90~99세,178,9,11,12,14,15,15,6,12,6,10,35,14,19
2020년11월_남_100세 이상,15,0,0,0,1,1,0,3,0,2,2,4,0,2
2020년11월_여_총인구수,"51,940","2,218","1,924","4,765","4,048","4,457","5,346","2,154","2,315","1,554","4,279","6,265","4,145","8,470"
2020년11월_여_연령구간인구수,"51,940","2,218","1,924","4,765","4,048","4,457","5,346","2,154","2,315","1,554","4,279","6,265","4,145","8,470"
2020년11월_여_0~9세,"3,431",32,46,392,346,270,298,70,95,38,366,326,253,899
2020년11월_여_10~19세,"3,495",77,98,266,328,294,402,159,163,75,290,437,319,587
2020년11월_여_20~29세,"7,260",659,369,584,423,584,658,394,399,426,611,671,474,"1,008"
2020년11월_여_30~39세,"6,382",258,174,757,459,550,540,208,203,153,582,542,510,"1,446"
2020년11월_여_40~49세,"6,700",192,245,623,620,576,655,281,287,134,542,793,522,"1,230"
2020년11월_여_50~59세,"7,949",278,240,704,575,733,922,310,382,196,630,999,702,"1,278"
2020년11월_여_60~69세,"7,762",371,303,718,546,624,885,330,335,242,570,"1,111",679,"1,048"
2020년11월_여_70~79세,"5,743",224,299,468,503,521,656,255,275,186,456,851,452,597
2020년11월_여_80~89세,"2,702",101,120,208,218,263,293,117,147,88,194,460,196,297
2020년11월_여_90~99세,464,21,27,41,28,38,34,26,26,15,29,72,36,71
2020년11월_여_100세 이상,52,5,3,4,2,4,3,4,3,1,9,3,2,9
