,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2020년09월_계_총인구수,"1,851,124","225,684","280,545","282,200","114,522","150,848","45,938","28,173","25,650","64,085","40,689","62,655","37,839","34,749","69,153","53,998","84,433","32,209","53,308","44,810","50,065","30,300","39,271"
2020년09월_계_연령구간인구수,"1,851,124","225,684","280,545","282,200","114,522","150,848","45,938","28,173","25,650","64,085","40,689","62,655","37,839","34,749","69,153","53,998","84,433","32,209","53,308","44,810","50,065","30,300","39,271"
2020년09월_계_0~9세,"134,046","18,822","21,322","23,719","10,074","13,607","2,331","1,115","1,168","2,624","1,802","3,561","2,034","1,809","4,146","3,680","7,583","1,428","3,814","2,853","3,213","1,715","1,626"
2020년09월_계_10~19세,"168,465","24,837","26,635","30,532","9,338","16,048","3,004","1,983","1,871","3,936","2,631","5,751","2,850","2,539","5,326","4,532","9,101","2,069","4,232","3,308","3,669","2,224","2,049"
2020년09월_계_20~29세,"199,529","27,261","33,632","37,491","12,152","19,914","4,746","2,374","1,971","4,198","2,992","6,777","3,079","2,895","5,558","5,026","8,575","2,512","5,007","4,367","3,770","2,393","2,839"
2020년09월_계_30~39세,"187,746","26,401","31,269","33,375","14,516","18,636","3,644","1,745","1,685","3,746","2,576","4,813","2,830","2,510","5,221","4,946","9,904","2,173","4,904","3,747","4,086","2,229","2,790"
2020년09월_계_40~49세,"261,304","37,784","42,315","43,749","16,272","23,900","5,211","3,110","2,948","6,397","4,234","8,427","4,199","3,809","8,122","7,553","13,258","3,517","6,635","5,644","6,290","3,542","4,388"
2020년09월_계_50~59세,"313,776","36,435","48,466","49,187","17,196","28,811","8,095","4,899","4,624","10,330","6,717","11,288","6,314","5,703","11,694","9,399","12,688","5,557","8,613","7,541","8,129","4,991","7,099"
2020년09월_계_60~69세,"268,263","28,602","40,336","33,581","15,852","16,485","8,129","4,941","4,614","12,613","7,594","9,253","6,527","6,136","12,211","7,958","10,651","5,857","8,401","7,176","8,527","5,197","7,622"
2020년09월_계_70~79세,"192,361","17,508","24,303","18,891","11,511","8,066","6,329","4,306","3,897","11,482","6,668","7,497","5,482","5,250","10,062","6,338","7,885","5,182","7,156","5,942","7,428","4,763","6,415"
2020년09월_계_80~89세,"108,835","6,993","10,571","10,033","6,557","4,622","3,815","3,169","2,478","7,477","4,720","4,612","3,889","3,555","5,955","4,006","4,159","3,396","3,961","3,693","4,366","2,864","3,944"
