,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년03월_계_총인구수,"453,679","31,027","31,835","36,407","35,699","20,469","44,999","44,379","32,295","34,373","45,789","27,886","26,473","19,545","22,503"
2020년03월_계_연령구간인구수,"453,679","31,027","31,835","36,407","35,699","20,469","44,999","44,379","32,295","34,373","45,789","27,886","26,473","19,545","22,503"
2020년03월_계_0~9세,"34,970","1,176","1,903","2,517","2,663","1,553","3,037","3,163","2,454","3,011","6,907","2,102","1,564","1,204","1,716"
2020년03월_계_10~19세,"43,344","1,694","2,288","2,866","3,603","2,082","4,362","5,108","3,122","4,520","4,976","2,696","2,115","1,685","2,227"
2020년03월_계_20~29세,"62,874","5,764","5,230","4,716","4,589","2,384","6,368","6,485","4,437","4,611","5,087","3,860","3,674","2,543","3,126"
2020년03월_계_30~39세,"59,673","4,610","4,781","4,886","4,275","2,356","5,474","4,717","4,163","3,966","8,621","3,285","3,379","2,342","2,818"
2020년03월_계_40~49세,"74,587","4,432","5,043","5,811","5,824","3,450","7,221","7,300","5,218","6,684","8,605","4,456","3,968","2,944","3,631"
2020년03월_계_50~59세,"79,147","5,609","5,661","5,811","5,998","3,396","8,629","8,387","5,883","5,833","5,840","5,226","5,202","3,671","4,001"
2020년03월_계_60~69세,"53,444","4,294","3,813","5,052","4,335","2,708","5,581","5,114","3,884","2,850","3,432","3,354","3,577","2,763","2,687"
2020년03월_계_70~79세,"30,421","2,230","2,138","3,391","3,010","1,673","2,909","2,666","1,948","1,872","1,595","1,884","2,063","1,553","1,489"
2020년03월_계_80~89세,"13,235","1,016",857,"1,210","1,251",749,"1,255","1,250","1,014",901,634,883,805,714,696
2020년03월_계_90~99세,"1,777",143,110,129,143,108,151,181,161,121,91,122,116,91,110
2020년03월_계_100세 이상,207,59,11,18,8,10,12,8,11,4,1,18,10,35,2
2020년03월_남_총인구수,"223,534","15,822","15,774","17,822","17,329","9,764","22,204","21,497","16,018","16,985","22,276","13,687","13,234","9,914","11,208"
2020년03월_남_연령구간인구수,"223,534","15,822","15,774","17,822","17,329","9,764","22,204","21,497","16,018","16,985","22,276","13,687","13,234","9,914","11,208"
2020년03월_남_0~9세,"18,070",627,994,"1,319","1,354",786,"1,639","1,621","1,234","1,561","3,513","1,061",813,630,918
2020년03월_남_10~19세,"22,330",842,"1,232","1,470","1,811","1,061","2,196","2,680","1,627","2,292","2,511","1,411","1,087",910,"1,200"
2020년03월_남_20~29세,"32,005","2,726","2,563","2,301","2,343","1,201","3,340","3,305","2,350","2,420","2,520","2,020","1,942","1,359","1,615"
2020년03월_남_30~39세,"30,409","2,560","2,501","2,519","2,117","1,157","2,806","2,367","2,181","1,934","4,092","1,626","1,808","1,308","1,433"
2020년03월_남_40~49세,"37,271","2,480","2,566","2,996","2,857","1,700","3,487","3,470","2,546","3,239","4,323","2,183","2,034","1,559","1,831"
2020년03월_남_50~59세,"39,018","2,999","2,795","2,797","2,920","1,595","4,213","3,969","2,941","3,026","2,805","2,549","2,574","1,870","1,965"
