,울산광역시 울주군,울산광역시 울주군 온산읍,울산광역시 울주군 언양읍,울산광역시 울주군 온양읍,울산광역시 울주군 범서읍,울산광역시 울주군 청량읍,울산광역시 울주군 삼남읍,울산광역시 울주군 서생면,울산광역시 울주군 웅촌면,울산광역시 울주군 두동면,울산광역시 울주군 두서면,울산광역시 울주군 상북면,울산광역시 울주군 삼동면
2021년12월_계_총인구수,"222,059","20,345","28,316","28,726","69,755","19,113","22,588","8,382","7,714","4,277","3,111","7,968","1,764"
2021년12월_계_연령구간인구수,"222,059","20,345","28,316","28,726","69,755","19,113","22,588","8,382","7,714","4,277","3,111","7,968","1,764"
2021년12월_계_0~9세,"16,463","1,372","2,289","2,412","6,084","1,644","1,452",476,281,133,50,242,28
2021년12월_계_10~19세,"21,953","1,606","2,765","3,234","9,684","1,539","1,529",483,343,192,108,410,60
2021년12월_계_20~29세,"25,930","2,496","3,331","3,252","9,107","2,146","2,837",760,796,285,154,666,100
2021년12월_계_30~39세,"24,794","2,735","3,117","3,394","7,243","2,772","2,953",849,630,289,185,528,99
2021년12월_계_40~49세,"36,072","3,631","4,511","5,193","13,043","2,867","3,275","1,157",754,399,235,865,142
2021년12월_계_50~59세,"42,465","4,084","5,210","5,348","13,291","3,523","4,385","1,545","1,603",895,536,"1,679",366
2021년12월_계_60~69세,"32,263","2,708","4,232","3,556","7,286","2,812","3,682","1,715","1,808","1,149",878,"1,949",488
2021년12월_계_70~79세,"14,245","1,134","1,824","1,507","2,698","1,198","1,654",915,925,555,545,"1,014",276
2021년12월_계_80~89세,"6,790",509,881,727,"1,155",524,689,422,496,320,362,523,182
2021년12월_계_90~99세,"1,066",66,151,103,163,88,130,60,77,58,58,90,22
2021년12월_계_100세 이상,18,4,5,0,1,0,2,0,1,2,0,2,1
2021년12월_남_총인구수,"114,744","11,736","14,205","14,937","35,067","9,868","11,653","4,519","4,008","2,202","1,551","4,064",934
2021년12월_남_연령구간인구수,"114,744","11,736","14,205","14,937","35,067","9,868","11,653","4,519","4,008","2,202","1,551","4,064",934
2021년12월_남_0~9세,"8,470",725,"1,136","1,225","3,143",850,750,259,141,65,28,134,14
2021년12월_남_10~19세,"11,419",863,"1,415","1,649","5,051",770,805,258,196,102,55,222,33
2021년12월_남_20~29세,"14,838","1,571","1,889","1,816","5,076","1,186","1,662",459,473,161,87,399,59
2021년12월_남_30~39세,"13,227","1,741","1,612","1,792","3,521","1,490","1,619",455,355,163,104,310,65
2021년12월_남_40~49세,"18,492","2,241","2,250","2,712","6,023","1,482","1,718",717,435,230,140,455,89
2021년12월_남_50~59세,"22,367","2,454","2,592","2,904","6,780","1,866","2,198",918,830,481,289,846,209
2021년12월_남_60~69세,"16,703","1,433","2,137","1,887","3,788","1,469","1,851",853,956,612,460,998,259
2021년12월_남_70~79세,"6,816",537,869,708,"1,274",572,791,432,440,284,258,513,138
2021년12월_남_80~89세,"2,213",162,279,227,382,168,231,155,162,95,119,168,65
2021년12월_남_90~99세,198,8,26,17,29,15,28,13,20,9,11,19,3
2021년12월_남_100세 이상,1,1,0,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"107,315","8,609","14,111","13,789","34,688","9,245","10,935","3,863","3,706","2,075","1,560","3,904",830
2021년12월_여_연령구간인구수,"107,315","8,609","14,111","13,789","34,688","9,245","10,935","3,863","3,706","2,075","1,560","3,904",830
2021년12월_여_0~9세,"7,993",647,"1,153","1,187","2,941",794,702,217,140,68,22,108,14
2021년12월_여_10~19세,"10,534",743,"1,350","1,585","4,633",769,724,225,147,90,53,188,27
2021년12월_여_20~29세,"11,092",925,"1,442","1,436","4,031",960,"1,175",301,323,124,67,267,41
2021년12월_여_30~39세,"11,567",994,"1,505","1,602","3,722","1,282","1,334",394,275,126,81,218,34
2021년12월_여_40~49세,"17,580","1,390","2,261","2,481","7,020","1,385","1,557",440,319,169,95,410,53
2021년12월_여_50~59세,"20,098","1,630","2,618","2,444","6,511","1,657","2,187",627,773,414,247,833,157
2021년12월_여_60~69세,"15,560","1,275","2,095","1,669","3,498","1,343","1,831",862,852,537,418,951,229
2021년12월_여_70~79세,"7,429",597,955,799,"1,424",626,863,483,485,271,287,501,138
2021년12월_여_80~89세,"4,577",347,602,500,773,356,458,267,334,225,243,355,117
2021년12월_여_90~99세,868,58,125,86,134,73,102,47,57,49,47,71,19
2021년12월_여_100세 이상,17,3,5,0,1,0,2,0,1,2,0,2,1
