,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년06월_계_총인구수,"1,455,048","99,273","299,248","216,256","433,444","406,827"
2020년06월_계_연령구간인구수,"1,455,048","99,273","299,248","216,256","433,444","406,827"
2020년06월_계_0~9세,"123,413","6,660","22,698","17,793","34,575","41,687"
2020년06월_계_10~19세,"160,383","7,267","32,572","23,152","44,026","53,366"
2020년06월_계_20~29세,"208,765","14,165","45,341","28,263","62,926","58,070"
2020년06월_계_30~39세,"189,436","12,517","37,914","26,338","56,762","55,905"
2020년06월_계_40~49세,"243,727","13,639","49,812","34,293","68,541","77,442"
2020년06월_계_50~59세,"233,826","15,436","49,593","33,464","72,442","62,891"
2020년06월_계_60~69세,"158,721","14,241","33,394","27,487","51,763","31,836"
2020년06월_계_70~79세,"91,879","10,129","18,838","17,188","28,867","16,857"
2020년06월_계_80~89세,"38,816","4,524","7,830","7,098","11,760","7,604"
2020년06월_계_90~99세,"5,663",627,"1,182","1,084","1,665","1,105"
2020년06월_계_100세 이상,419,68,74,96,117,64
2020년06월_남_총인구수,"720,060","49,091","146,717","104,128","215,259","204,865"
2020년06월_남_연령구간인구수,"720,060","49,091","146,717","104,128","215,259","204,865"
2020년06월_남_0~9세,"63,438","3,468","11,793","9,093","17,650","21,434"
2020년06월_남_10~19세,"83,285","3,779","17,063","11,680","23,304","27,459"
2020년06월_남_20~29세,"108,943","7,284","23,281","14,509","33,123","30,746"
2020년06월_남_30~39세,"96,490","6,534","19,131","13,078","29,453","28,294"
2020년06월_남_40~49세,"120,963","7,141","24,019","16,823","34,333","38,647"
2020년06월_남_50~59세,"115,915","7,619","24,301","15,821","35,409","32,765"
2020년06월_남_60~69세,"75,535","6,704","15,710","12,605","24,649","15,867"
2020년06월_남_70~79세,"40,662","4,488","8,370","7,703","12,882","7,219"
2020년06월_남_80~89세,"13,562","1,888","2,777","2,559","4,113","2,225"
2020년06월_남_90~99세,"1,214",172,263,245,330,204
2020년06월_남_100세 이상,53,14,9,12,13,5
2020년06월_여_총인구수,"734,988","50,182","152,531","112,128","218,185","201,962"
2020년06월_여_연령구간인구수,"734,988","50,182","152,531","112,128","218,185","201,962"
2020년06월_여_0~9세,"59,975","3,192","10,905","8,700","16,925","20,253"
2020년06월_여_10~19세,"77,098","3,488","15,509","11,472","20,722","25,907"
2020년06월_여_20~29세,"99,822","6,881","22,060","13,754","29,803","27,324"
2020년06월_여_30~39세,"92,946","5,983","18,783","13,260","27,309","27,611"
2020년06월_여_40~49세,"122,764","6,498","25,793","17,470","34,208","38,795"
2020년06월_여_50~59세,"117,911","7,817","25,292","17,643","37,033","30,126"
2020년06월_여_60~69세,"83,186","7,537","17,684","14,882","27,114","15,969"
2020년06월_여_70~79세,"51,217","5,641","10,468","9,485","15,985","9,638"
2020년06월_여_80~89세,"25,254","2,636","5,053","4,539","7,647","5,379"
2020년06월_여_90~99세,"4,449",455,919,839,"1,335",901
2020년06월_여_100세 이상,366,54,65,84,104,59
