,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동
2020년11월_계_총인구수,"381,324","111,865","46,126","22,914","9,340","14,968","1,499","2,610","43,344","61,123","67,535"
2020년11월_계_연령구간인구수,"381,324","111,865","46,126","22,914","9,340","14,968","1,499","2,610","43,344","61,123","67,535"
2020년11월_계_0~9세,"35,233","11,266","3,828","1,393",477,"1,058",42,142,"3,997","4,856","8,174"
2020년11월_계_10~19세,"33,738","8,783","4,885","1,829",631,"1,200",62,206,"3,917","5,642","6,583"
2020년11월_계_20~29세,"45,157","13,481","5,515","2,826",982,"1,145",116,184,"5,757","7,838","7,313"
2020년11월_계_30~39세,"57,911","20,105","6,185","2,749",989,"1,452",91,222,"6,483","8,364","11,271"
2020년11월_계_40~49세,"66,620","19,883","8,221","3,573","1,359","2,409",154,366,"7,338","10,544","12,773"
2020년11월_계_50~59세,"63,411","17,204","7,883","4,577","1,823","2,544",269,495,"7,411","11,236","9,969"
2020년11월_계_60~69세,"47,763","12,821","5,724","3,415","1,764","2,901",376,506,"5,140","7,911","7,205"
2020년11월_계_70~79세,"21,870","5,870","2,647","1,622",822,"1,559",234,302,"2,334","3,395","3,085"
2020년11월_계_80~89세,"8,276","2,108","1,081",804,415,600,136,156,829,"1,154",993
2020년11월_계_90~99세,"1,242",326,152,105,69,93,19,29,121,162,166
2020년11월_계_100세 이상,103,18,5,21,9,7,0,2,17,21,3
2020년11월_남_총인구수,"194,991","56,675","23,976","12,218","5,150","7,632",774,"1,393","22,029","30,969","34,175"
2020년11월_남_연령구간인구수,"194,991","56,675","23,976","12,218","5,150","7,632",774,"1,393","22,029","30,969","34,175"
2020년11월_남_0~9세,"18,107","5,832","2,011",703,245,534,21,69,"2,091","2,435","4,166"
2020년11월_남_10~19세,"17,233","4,520","2,450",961,334,644,35,109,"1,971","2,813","3,396"
2020년11월_남_20~29세,"23,927","7,063","2,929","1,568",578,633,63,99,"3,033","4,156","3,805"
2020년11월_남_30~39세,"30,178","10,458","3,277","1,544",570,744,46,123,"3,325","4,469","5,622"
2020년11월_남_40~49세,"35,233","10,591","4,351","1,925",826,"1,329",83,208,"3,802","5,453","6,665"
2020년11월_남_50~59세,"32,348","8,358","4,250","2,555","1,022","1,309",146,283,"3,791","5,597","5,037"
2020년11월_남_60~69세,"23,928","6,194","2,996","1,828",976,"1,399",204,282,"2,578","3,941","3,530"
2020년11월_남_70~79세,"10,590","2,773","1,273",800,424,788,112,145,"1,109","1,630","1,536"
2020년11월_남_80~89세,"3,141",801,408,302,154,227,57,70,304,431,387
2020년11월_남_90~99세,278,79,30,24,19,23,7,5,19,41,31
2020년11월_남_100세 이상,28,6,1,8,2,2,0,0,6,3,0
2020년11월_여_총인구수,"186,333","55,190","22,150","10,696","4,190","7,336",725,"1,217","21,315","30,154","33,360"
2020년11월_여_연령구간인구수,"186,333","55,190","22,150","10,696","4,190","7,336",725,"1,217","21,315","30,154","33,360"
2020년11월_여_0~9세,"17,126","5,434","1,817",690,232,524,21,73,"1,906","2,421","4,008"
2020년11월_여_10~19세,"16,505","4,263","2,435",868,297,556,27,97,"1,946","2,829","3,187"
2020년11월_여_20~29세,"21,230","6,418","2,586","1,258",404,512,53,85,"2,724","3,682","3,508"
2020년11월_여_30~39세,"27,733","9,647","2,908","1,205",419,708,45,99,"3,158","3,895","5,649"
2020년11월_여_40~49세,"31,387","9,292","3,870","1,648",533,"1,080",71,158,"3,536","5,091","6,108"
2020년11월_여_50~59세,"31,063","8,846","3,633","2,022",801,"1,235",123,212,"3,620","5,639","4,932"
2020년11월_여_60~69세,"23,835","6,627","2,728","1,587",788,"1,502",172,224,"2,562","3,970","3,675"
2020년11월_여_70~79세,"11,280","3,097","1,374",822,398,771,122,157,"1,225","1,765","1,549"
2020년11월_여_80~89세,"5,135","1,307",673,502,261,373,79,86,525,723,606
2020년11월_여_90~99세,964,247,122,81,50,70,12,24,102,121,135
2020년11월_여_100세 이상,75,12,4,13,7,5,0,2,11,18,3
