카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2021년11월_계_총인구수,"231,306","15,723","14,434","12,564","13,843","4,708","15,666","5,446","6,744","9,529","10,640","13,365","25,715","6,596","13,739","22,490","12,705","27,399"
2021년11월_계_연령구간인구수,"231,306","15,723","14,434","12,564","13,843","4,708","15,666","5,446","6,744","9,529","10,640","13,365","25,715","6,596","13,739","22,490","12,705","27,399"
2021년11월_계_0~9세,"14,056",873,"1,378",623,836,164,683,161,294,513,642,"1,087","1,810",324,850,"1,813",602,"1,403"
2021년11월_계_10~19세,"21,064",979,"2,442","1,110","1,098",297,"1,080",252,424,718,769,"1,571","2,974",327,954,"2,788","1,032","2,249"
2021년11월_계_20~29세,"30,196","2,712","1,558","1,470","2,452",508,"1,757","1,019",803,"1,733","1,508","1,478","2,967",884,"1,776","2,861","1,540","3,170"
2021년11월_계_30~39세,"25,188","2,337","1,419","1,252","1,950",418,"1,545",636,677,"1,334","1,362","1,462","2,243",869,"1,544","2,319","1,241","2,580"
2021년11월_계_40~49세,"35,384","2,399","3,181","1,913","2,140",572,"2,007",583,837,"1,340","1,442","2,385","4,220",929,"1,923","3,843","1,766","3,904"
2021년11월_계_50~59세,"38,996","2,527","2,140","2,235","1,952",838,"2,762",852,"1,229","1,452","1,790","2,247","4,477","1,124","2,208","3,604","2,371","5,188"
2021년11월_계_60~69세,"34,827","2,211","1,260","2,069","1,798",923,"3,126",946,"1,288","1,172","1,512","1,599","3,582","1,211","2,296","2,687","2,133","5,014"
2021년11월_계_70~79세,"20,561","1,123",689,"1,208","1,045",616,"1,857",605,750,806,966,"1,038","2,260",615,"1,439","1,647","1,230","2,667"
2021년11월_계_80~89세,"9,680",478,324,594,471,328,755,349,372,410,556,449,"1,033",282,668,827,700,"1,084"
2021년11월_계_90~99세,"1,315",81,38,87,98,43,92,42,69,51,93,49,142,30,79,99,87,135
2021년11월_계_100세 이상,39,3,5,3,3,1,2,1,1,0,0,0,7,1,2,2,3,5
2021년11월_남_총인구수,"113,977","8,079","6,901","6,127","6,835","2,457","7,874","2,647","3,414","4,598","5,014","6,471","12,375","3,453","6,786","10,845","6,164","13,937"
2021년11월_남_연령구간인구수,"113,977","8,079","6,901","6,127","6,835","2,457","7,874","2,647","3,414","4,598","5,014","6,471","12,375","3,453","6,786","10,845","6,164","13,937"
2021년11월_남_0~9세,"7,191",412,704,309,458,94,354,92,164,248,312,581,925,178,428,940,302,690
