카테고리,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동
2021년04월_계_총인구수,"350,017","34,770","34,906","40,101","22,098","24,752","37,658","26,035","27,086","27,819","28,917","45,875"
2021년04월_계_연령구간인구수,"350,017","34,770","34,906","40,101","22,098","24,752","37,658","26,035","27,086","27,819","28,917","45,875"
2021년04월_계_0~9세,"34,125","3,199","1,537","3,456","2,226","2,375","4,912","2,930","2,545","2,464","3,139","5,342"
2021년04월_계_10~19세,"37,875","3,341","1,492","3,222","3,012","3,441","4,577","2,908","3,169","3,048","4,500","5,165"
2021년04월_계_20~29세,"52,506","4,359","8,332","8,433","2,866","3,115","3,793","4,134","4,362","4,250","3,734","5,128"
2021년04월_계_30~39세,"55,391","4,398","6,797","6,353","3,183","3,108","6,142","5,221","4,404","4,065","4,014","7,706"
2021년04월_계_40~49세,"60,183","5,897","4,391","5,575","4,320","4,717","7,422","4,246","4,295","4,732","5,897","8,691"
2021년04월_계_50~59세,"53,978","6,171","5,460","5,865","3,261","4,036","5,268","3,495","4,478","4,728","4,492","6,724"
2021년04월_계_60~69세,"34,803","4,450","4,171","4,595","1,865","2,214","3,544","2,004","2,509","2,591","2,143","4,717"
2021년04월_계_70~79세,"13,523","1,884","1,775","1,696",869,"1,114","1,358",653,740,"1,173",651,"1,610"
2021년04월_계_80~89세,"6,504",937,807,777,422,543,543,386,473,659,295,662
2021년04월_계_90~99세,"1,103",130,135,129,73,89,95,58,110,105,52,127
2021년04월_계_100세 이상,26,4,9,0,1,0,4,0,1,4,0,3
2021년04월_남_총인구수,"176,715","17,669","18,023","20,838","10,969","12,183","18,484","13,643","13,920","14,245","14,782","21,959"
2021년04월_남_연령구간인구수,"176,715","17,669","18,023","20,838","10,969","12,183","18,484","13,643","13,920","14,245","14,782","21,959"
2021년04월_남_0~9세,"17,568","1,620",795,"1,724","1,172","1,237","2,479","1,546","1,359","1,257","1,627","2,752"
2021년04월_남_10~19세,"19,561","1,789",755,"1,659","1,544","1,769","2,335","1,486","1,618","1,580","2,355","2,671"
2021년04월_남_20~29세,"28,149","2,367","4,234","4,918","1,482","1,600","1,986","2,274","2,409","2,359","1,985","2,535"
2021년04월_남_30~39세,"28,916","2,274","3,907","3,473","1,574","1,537","2,933","2,896","2,439","2,200","2,058","3,625"
2021년04월_남_40~49세,"29,603","3,035","2,344","2,816","2,058","2,221","3,604","2,143","2,065","2,390","2,792","4,135"
2021년04월_남_50~59세,"26,916","3,102","2,701","2,816","1,678","2,035","2,577","1,802","2,189","2,475","2,441","3,100"
2021년04월_남_60~69세,"17,304","2,243","2,162","2,300",892,"1,078","1,694","1,049","1,319","1,297","1,115","2,155"
2021년04월_남_70~79세,"6,291",898,797,824,401,489,660,323,360,467,324,748
2021년04월_남_80~89세,"2,163",316,286,274,154,199,197,112,131,197,74,223
2021년04월_남_90~99세,240,23,41,34,13,18,19,12,31,23,11,15
2021년04월_남_100세 이상,4,2,1,0,1,0,0,0,0,0,0,0
2021년04월_여_총인구수,"173,302","17,101","16,883","19,263","11,129","12,569","19,174","12,392","13,166","13,574","14,135","23,916"
2021년04월_여_연령구간인구수,"173,302","17,101","16,883","19,263","11,129","12,569","19,174","12,392","13,166","13,574","14,135","23,916"
2021년04월_여_0~9세,"16,557","1,579",742,"1,732","1,054","1,138","2,433","1,384","1,186","1,207","1,512","2,590"
2021년04월_여_10~19세,"18,314","1,552",737,"1,563","1,468","1,672","2,242","1,422","1,551","1,468","2,145","2,494"
2021년04월_여_20~29세,"24,357","1,992","4,098","3,515","1,384","1,515","1,807","1,860","1,953","1,891","1,749","2,593"
2021년04월_여_30~39세,"26,475","2,124","2,890","2,880","1,609","1,571","3,209","2,325","1,965","1,865","1,956","4,081"
2021년04월_여_40~49세,"30,580","2,862","2,047","2,759","2,262","2,496","3,818","2,103","2,230","2,342","3,105","4,556"
2021년04월_여_50~59세,"27,062","3,069","2,759","3,049","1,583","2,001","2,691","1,693","2,289","2,253","2,051","3,624"
2021년04월_여_60~69세,"17,499","2,207","2,009","2,295",973,"1,136","1,850",955,"1,190","1,294","1,028","2,562"
2021년04월_여_70~79세,"7,232",986,978,872,468,625,698,330,380,706,327,862
2021년04월_여_80~89세,"4,341",621,521,503,268,344,346,274,342,462,221,439
2021년04월_여_90~99세,863,107,94,95,60,71,76,46,79,82,41,112
2021년04월_여_100세 이상,22,2,8,0,0,0,4,0,1,4,0,3
