,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년06월_계_총인구수,"152,016","49,276","2,184","3,118","2,850","2,884","2,849","1,816","1,690","58,479","12,534","12,497","1,839"
2020년06월_계_연령구간인구수,"152,016","49,276","2,184","3,118","2,850","2,884","2,849","1,816","1,690","58,479","12,534","12,497","1,839"
2020년06월_계_0~9세,"13,853","4,589",72,98,64,78,66,54,39,"6,795","1,004",935,59
2020년06월_계_10~19세,"16,195","5,229",146,138,119,125,95,92,66,"7,458","1,200","1,400",127
2020년06월_계_20~29세,"20,344","6,300",189,264,256,214,211,118,130,"8,419","1,733","2,310",200
2020년06월_계_30~39세,"19,047","6,248",139,173,179,170,178,103,131,"8,907","1,341","1,349",129
2020년06월_계_40~49세,"24,196","8,086",223,288,272,228,274,170,177,"10,772","2,011","1,488",207
2020년06월_계_50~59세,"28,836","8,533",449,678,587,559,520,354,327,"10,619","2,857","2,941",412
2020년06월_계_60~69세,"16,183","5,629",383,591,567,577,569,396,297,"3,650","1,549","1,641",334
2020년06월_계_70~79세,"8,003","2,856",313,490,456,508,539,295,287,"1,219",538,294,208
2020년06월_계_80~89세,"4,605","1,539",226,339,303,366,327,209,208,564,261,118,145
2020년06월_계_90~99세,732,257,43,57,46,58,68,24,27,73,40,21,18
2020년06월_계_100세 이상,22,10,1,2,1,1,2,1,1,3,0,0,0
2020년06월_남_총인구수,"79,189","25,208","1,134","1,531","1,448","1,436","1,403",908,928,"30,683","6,652","6,846","1,012"
2020년06월_남_연령구간인구수,"79,189","25,208","1,134","1,531","1,448","1,436","1,403",908,928,"30,683","6,652","6,846","1,012"
2020년06월_남_0~9세,"7,025","2,315",46,47,32,35,27,24,19,"3,426",529,492,33
2020년06월_남_10~19세,"8,400","2,732",84,70,59,71,54,53,37,"3,863",599,709,69
2020년06월_남_20~29세,"11,830","3,467",113,158,153,139,123,68,83,"4,814","1,034","1,545",133
2020년06월_남_30~39세,"10,171","3,205",82,88,103,91,105,58,82,"4,733",749,787,88
2020년06월_남_40~49세,"12,302","4,254",137,153,155,138,168,111,122,"5,289","1,058",585,132
2020년06월_남_50~59세,"15,823","4,528",260,391,329,321,304,193,214,"5,882","1,544","1,613",244
2020년06월_남_60~69세,"8,534","2,918",195,299,301,291,276,206,162,"1,970",822,911,183
2020년06월_남_70~79세,"3,520","1,255",131,209,200,216,233,112,130,523,250,170,91
2020년06월_남_80~89세,"1,446",482,72,102,108,125,104,79,74,171,62,30,37
2020년06월_남_90~99세,133,51,13,13,8,9,9,4,5,10,5,4,2
2020년06월_남_100세 이상,5,1,1,1,0,0,0,0,0,2,0,0,0
2020년06월_여_총인구수,"72,827","24,068","1,050","1,587","1,402","1,448","1,446",908,762,"27,796","5,882","5,651",827
2020년06월_여_연령구간인구수,"72,827","24,068","1,050","1,587","1,402","1,448","1,446",908,762,"27,796","5,882","5,651",827
2020년06월_여_0~9세,"6,828","2,274",26,51,32,43,39,30,20,"3,369",475,443,26
2020년06월_여_10~19세,"7,795","2,497",62,68,60,54,41,39,29,"3,595",601,691,58
2020년06월_여_20~29세,"8,514","2,833",76,106,103,75,88,50,47,"3,605",699,765,67
2020년06월_여_30~39세,"8,876","3,043",57,85,76,79,73,45,49,"4,174",592,562,41
2020년06월_여_40~49세,"11,894","3,832",86,135,117,90,106,59,55,"5,483",953,903,75
2020년06월_여_50~59세,"13,013","4,005",189,287,258,238,216,161,113,"4,737","1,313","1,328",168
2020년06월_여_60~69세,"7,649","2,711",188,292,266,286,293,190,135,"1,680",727,730,151
2020년06월_여_70~79세,"4,483","1,601",182,281,256,292,306,183,157,696,288,124,117
2020년06월_여_80~89세,"3,159","1,057",154,237,195,241,223,130,134,393,199,88,108
2020년06월_여_90~99세,599,206,30,44,38,49,59,20,22,63,35,17,16
2020년06월_여_100세 이상,17,9,0,1,1,1,2,1,1,1,0,0,0
