카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년05월_계_총인구수,"232,425","21,557","42,422","19,204","24,903","15,826","33,968","22,209","11,285","21,111","19,940"
2020년05월_계_연령구간인구수,"232,425","21,557","42,422","19,204","24,903","15,826","33,968","22,209","11,285","21,111","19,940"
2020년05월_계_0~9세,"13,258",740,"3,327",962,"1,102",671,"2,010","1,659",595,"1,196",996
2020년05월_계_10~19세,"15,290",737,"2,366","1,287","1,456","1,036","2,386","2,200",751,"1,587","1,484"
2020년05월_계_20~29세,"36,586","5,606","7,501","2,813","3,895","2,362","4,964","2,572","1,483","2,805","2,585"
2020년05월_계_30~39세,"35,612","5,023","8,553","2,543","3,508","2,021","4,863","2,592","1,478","2,671","2,360"
2020년05월_계_40~49세,"33,610","2,688","6,230","2,701","3,432","2,245","5,128","3,572","1,601","3,057","2,956"
2020년05월_계_50~59세,"40,988","2,954","6,235","3,924","4,947","3,331","6,029","3,859","2,053","4,010","3,646"
2020년05월_계_60~69세,"32,088","2,256","4,670","2,911","3,774","2,411","4,671","3,143","1,872","3,300","3,080"
2020년05월_계_70~79세,"17,763","1,134","2,518","1,506","1,972","1,283","2,796","1,798","1,045","1,786","1,925"
2020년05월_계_80~89세,"6,249",364,906,473,693,398,952,677,357,620,809
2020년05월_계_90~99세,810,46,100,68,103,53,147,101,46,64,82
2020년05월_계_100세 이상,171,9,16,16,21,15,22,36,4,15,17
2020년05월_남_총인구수,"117,899","11,928","21,917","9,742","12,548","7,964","16,999","10,777","5,636","10,468","9,920"
2020년05월_남_연령구간인구수,"117,899","11,928","21,917","9,742","12,548","7,964","16,999","10,777","5,636","10,468","9,920"
2020년05월_남_0~9세,"6,783",365,"1,716",484,594,364,"1,022",832,301,592,513
2020년05월_남_10~19세,"7,746",376,"1,176",684,720,510,"1,283","1,086",373,802,736
2020년05월_남_20~29세,"18,701","2,718","3,804","1,496","1,975","1,192","2,536","1,344",780,"1,469","1,387"
2020년05월_남_30~39세,"19,713","3,117","4,787","1,367","1,937","1,101","2,613","1,278",809,"1,421","1,283"
2020년05월_남_40~49세,"17,541","1,668","3,381","1,359","1,779","1,124","2,619","1,745",828,"1,525","1,513"
2020년05월_남_50~59세,"20,643","1,716","3,153","1,993","2,477","1,700","2,977","1,835",989,"1,940","1,863"
2020년05월_남_60~69세,"15,746","1,235","2,363","1,436","1,825","1,181","2,235","1,535",897,"1,605","1,434"
2020년05월_남_70~79세,"8,293",565,"1,130",724,930,614,"1,303",814,504,842,867
2020년05월_남_80~89세,"2,472",155,381,177,280,162,359,265,147,246,300
2020년05월_남_90~99세,204,10,23,17,25,12,46,24,8,20,19
2020년05월_남_100세 이상,57,3,3,5,6,4,6,19,0,6,5
2020년05월_여_총인구수,"114,526","9,629","20,505","9,462","12,355","7,862","16,969","11,432","5,649","10,643","10,020"
2020년05월_여_연령구간인구수,"114,526","9,629","20,505","9,462","12,355","7,862","16,969","11,432","5,649","10,643","10,020"
2020년05월_여_0~9세,"6,475",375,"1,611",478,508,307,988,827,294,604,483
2020년05월_여_10~19세,"7,544",361,"1,190",603,736,526,"1,103","1,114",378,785,748
2020년05월_여_20~29세,"17,885","2,888","3,697","1,317","1,920","1,170","2,428","1,228",703,"1,336","1,198"
2020년05월_여_30~39세,"15,899","1,906","3,766","1,176","1,571",920,"2,250","1,314",669,"1,250","1,077"
2020년05월_여_40~49세,"16,069","1,020","2,849","1,342","1,653","1,121","2,509","1,827",773,"1,532","1,443"
2020년05월_여_50~59세,"20,345","1,238","3,082","1,931","2,470","1,631","3,052","2,024","1,064","2,070","1,783"
2020년05월_여_60~69세,"16,342","1,021","2,307","1,475","1,949","1,230","2,436","1,608",975,"1,695","1,646"
2020년05월_여_70~79세,"9,470",569,"1,388",782,"1,042",669,"1,493",984,541,944,"1,058"
2020년05월_여_80~89세,"3,777",209,525,296,413,236,593,412,210,374,509
2020년05월_여_90~99세,606,36,77,51,78,41,101,77,38,44,63
2020년05월_여_100세 이상,114,6,13,11,15,11,16,17,4,9,12
