카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년02월_계_총인구수,"163,982","11,911","28,871","38,314","21,248","28,629","35,009"
2020년02월_계_연령구간인구수,"163,982","11,911","28,871","38,314","21,248","28,629","35,009"
2020년02월_계_0~9세,"13,458",822,"2,218","3,002","1,638","2,585","3,193"
2020년02월_계_10~19세,"15,232",987,"2,536","4,071","2,166","2,398","3,074"
2020년02월_계_20~29세,"23,037","1,492","4,039","5,061","3,290","4,280","4,875"
2020년02월_계_30~39세,"22,699","1,600","4,172","5,017","2,535","4,208","5,167"
2020년02월_계_40~49세,"25,351","1,694","4,324","6,225","3,300","4,279","5,529"
2020년02월_계_50~59세,"30,061","2,060","5,051","6,857","4,292","5,343","6,458"
2020년02월_계_60~69세,"20,293","1,898","3,447","5,021","2,416","3,354","4,157"
2020년02월_계_70~79세,"8,958",909,"1,955","2,098",982,"1,354","1,660"
2020년02월_계_80~89세,"4,135",374,975,807,532,699,748
2020년02월_계_90~99세,711,72,142,150,86,123,138
2020년02월_계_100세 이상,47,3,12,5,11,6,10
2020년02월_남_총인구수,"81,709","6,021","14,702","19,093","10,388","14,177","17,328"
2020년02월_남_연령구간인구수,"81,709","6,021","14,702","19,093","10,388","14,177","17,328"
2020년02월_남_0~9세,"6,974",438,"1,165","1,516",850,"1,321","1,684"
2020년02월_남_10~19세,"7,858",497,"1,290","2,109","1,160","1,265","1,537"
2020년02월_남_20~29세,"12,182",824,"2,205","2,689","1,660","2,237","2,567"
2020년02월_남_30~39세,"11,664",857,"2,285","2,538","1,243","2,106","2,635"
2020년02월_남_40~49세,"12,487",870,"2,261","3,015","1,543","2,115","2,683"
2020년02월_남_50~59세,"14,593",973,"2,493","3,378","2,051","2,609","3,089"
2020년02월_남_60~69세,"10,191",970,"1,730","2,507","1,239","1,695","2,050"
2020년02월_남_70~79세,"4,183",451,882,"1,022",438,579,811
2020년02월_남_80~89세,"1,393",123,349,287,181,223,230
2020년02월_남_90~99세,170,16,38,30,23,25,38
2020년02월_남_100세 이상,14,2,4,2,0,2,4
2020년02월_여_총인구수,"82,273","5,890","14,169","19,221","10,860","14,452","17,681"
2020년02월_여_연령구간인구수,"82,273","5,890","14,169","19,221","10,860","14,452","17,681"
2020년02월_여_0~9세,"6,484",384,"1,053","1,486",788,"1,264","1,509"
2020년02월_여_10~19세,"7,374",490,"1,246","1,962","1,006","1,133","1,537"
2020년02월_여_20~29세,"10,855",668,"1,834","2,372","1,630","2,043","2,308"
2020년02월_여_30~39세,"11,035",743,"1,887","2,479","1,292","2,102","2,532"
2020년02월_여_40~49세,"12,864",824,"2,063","3,210","1,757","2,164","2,846"
2020년02월_여_50~59세,"15,468","1,087","2,558","3,479","2,241","2,734","3,369"
2020년02월_여_60~69세,"10,102",928,"1,717","2,514","1,177","1,659","2,107"
2020년02월_여_70~79세,"4,775",458,"1,073","1,076",544,775,849
2020년02월_여_80~89세,"2,742",251,626,520,351,476,518
2020년02월_여_90~99세,541,56,104,120,63,98,100
2020년02월_여_100세 이상,33,1,8,3,11,4,6
