카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년12월_계_총인구수,"231,733","23,076","42,122","19,047","24,571","15,562","33,770","21,967","11,126","20,797","19,695"
2020년12월_계_연령구간인구수,"231,733","23,076","42,122","19,047","24,571","15,562","33,770","21,967","11,126","20,797","19,695"
2020년12월_계_0~9세,"12,548",693,"3,234",895,"1,018",652,"1,859","1,566",559,"1,119",953
2020년12월_계_10~19세,"14,669",702,"2,291","1,221","1,366",980,"2,311","2,150",699,"1,506","1,443"
2020년12월_계_20~29세,"37,127","6,543","7,311","2,850","3,862","2,292","5,046","2,496","1,447","2,733","2,547"
2020년12월_계_30~39세,"35,481","5,447","8,407","2,500","3,562","1,987","4,790","2,480","1,434","2,590","2,284"
2020년12월_계_40~49세,"32,903","2,746","6,221","2,610","3,285","2,112","5,002","3,498","1,563","2,974","2,892"
2020년12월_계_50~59세,"40,292","2,971","6,209","3,822","4,779","3,258","5,947","3,810","2,010","3,924","3,562"
2020년12월_계_60~69세,"33,119","2,361","4,855","3,026","3,888","2,485","4,837","3,269","1,932","3,386","3,080"
2020년12월_계_70~79세,"18,059","1,181","2,551","1,553","1,957","1,313","2,797","1,833","1,061","1,829","1,984"
2020년12월_계_80~89세,"6,479",370,924,482,719,414,993,717,374,642,844
2020년12월_계_90~99세,879,53,103,72,112,53,166,109,43,78,90
2020년12월_계_100세 이상,177,9,16,16,23,16,22,39,4,16,16
2020년12월_남_총인구수,"117,226","12,621","21,662","9,644","12,343","7,853","16,870","10,592","5,520","10,308","9,813"
2020년12월_남_연령구간인구수,"117,226","12,621","21,662","9,644","12,343","7,853","16,870","10,592","5,520","10,308","9,813"
2020년12월_남_0~9세,"6,422",326,"1,667",446,552,345,956,794,281,570,485
2020년12월_남_10~19세,"7,379",347,"1,131",653,661,482,"1,233","1,046",342,761,723
2020년12월_남_20~29세,"18,715","3,043","3,654","1,491","1,922","1,167","2,577","1,291",771,"1,430","1,369"
2020년12월_남_30~39세,"19,664","3,391","4,684","1,356","1,988","1,101","2,560","1,213",764,"1,377","1,230"
2020년12월_남_40~49세,"17,269","1,710","3,393","1,324","1,713","1,052","2,551","1,721",810,"1,492","1,503"
2020년12월_남_50~59세,"20,213","1,741","3,131","1,922","2,369","1,664","2,917","1,795",971,"1,881","1,822"
2020년12월_남_60~69세,"16,268","1,294","2,437","1,489","1,888","1,229","2,341","1,570",909,"1,649","1,462"
2020년12월_남_70~79세,"8,435",597,"1,144",754,934,621,"1,293",845,512,864,871
2020년12월_남_80~89세,"2,573",158,393,183,282,174,386,274,154,251,318
2020년12월_남_90~99세,230,11,26,21,28,14,50,22,6,27,25
2020년12월_남_100세 이상,58,3,2,5,6,4,6,21,0,6,5
2020년12월_여_총인구수,"114,507","10,455","20,460","9,403","12,228","7,709","16,900","11,375","5,606","10,489","9,882"
2020년12월_여_연령구간인구수,"114,507","10,455","20,460","9,403","12,228","7,709","16,900","11,375","5,606","10,489","9,882"
2020년12월_여_0~9세,"6,126",367,"1,567",449,466,307,903,772,278,549,468
2020년12월_여_10~19세,"7,290",355,"1,160",568,705,498,"1,078","1,104",357,745,720
2020년12월_여_20~29세,"18,412","3,500","3,657","1,359","1,940","1,125","2,469","1,205",676,"1,303","1,178"
2020년12월_여_30~39세,"15,817","2,056","3,723","1,144","1,574",886,"2,230","1,267",670,"1,213","1,054"
2020년12월_여_40~49세,"15,634","1,036","2,828","1,286","1,572","1,060","2,451","1,777",753,"1,482","1,389"
2020년12월_여_50~59세,"20,079","1,230","3,078","1,900","2,410","1,594","3,030","2,015","1,039","2,043","1,740"
2020년12월_여_60~69세,"16,851","1,067","2,418","1,537","2,000","1,256","2,496","1,699","1,023","1,737","1,618"
2020년12월_여_70~79세,"9,624",584,"1,407",799,"1,023",692,"1,504",988,549,965,"1,113"
2020년12월_여_80~89세,"3,906",212,531,299,437,240,607,443,220,391,526
2020년12월_여_90~99세,649,42,77,51,84,39,116,87,37,51,65
2020년12월_여_100세 이상,119,6,14,11,17,12,16,18,4,10,11
