,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2020년10월_계_총인구수,"481,165","37,476","39,798","28,552","23,340","29,041","32,971","27,269","30,701","27,587","25,291","46,771","27,720","20,923","15,446","11,104","57,175"
2020년10월_계_연령구간인구수,"481,165","37,476","39,798","28,552","23,340","29,041","32,971","27,269","30,701","27,587","25,291","46,771","27,720","20,923","15,446","11,104","57,175"
2020년10월_계_0~9세,"30,276","2,529","2,427","1,198","1,022","1,625","1,853","1,215","2,271","3,268","1,008","2,769","1,656","1,123",763,687,"4,862"
2020년10월_계_10~19세,"39,027","2,356","2,703","1,836","1,637","2,494","2,907","1,679","2,643","2,300","1,652","3,570","2,152","1,692","1,219",773,"7,414"
2020년10월_계_20~29세,"67,008","5,084","5,490","4,313","3,767","4,385","4,463","4,851","4,098","2,774","3,664","6,544","3,933","2,967","2,095","1,467","7,113"
2020년10월_계_30~39세,"69,007","6,112","5,457","3,912","3,111","3,996","4,133","4,237","5,080","5,084","3,369","6,779","4,152","2,822","2,057","1,697","7,009"
2020년10월_계_40~49세,"77,183","5,868","6,087","4,012","3,378","4,735","5,218","4,114","5,234","5,180","3,650","7,639","4,236","3,213","2,282","1,530","10,807"
2020년10월_계_50~59세,"77,457","5,881","6,786","4,952","4,021","4,844","5,678","4,156","4,556","3,619","4,264","7,691","4,557","3,515","2,582","1,952","8,403"
2020년10월_계_60~69세,"63,991","5,041","5,561","4,365","3,472","3,645","4,632","3,524","3,573","2,865","3,765","6,253","3,814","3,142","2,418","1,681","6,240"
2020년10월_계_70~79세,"39,001","3,155","3,513","2,758","2,112","2,292","2,767","2,376","2,234","1,697","2,607","3,849","2,261","1,650","1,427",883,"3,420"
2020년10월_계_80~89세,"15,684","1,253","1,543","1,061",697,891,"1,145",985,872,693,"1,144","1,469",854,693,520,376,"1,488"
2020년10월_계_90~99세,"2,106",171,197,133,109,115,153,110,129,85,149,183,96,92,73,53,258
2020년10월_계_100세 이상,425,26,34,12,14,19,22,22,11,22,19,25,9,14,10,5,161
2020년10월_남_총인구수,"231,163","17,881","18,853","13,851","11,402","13,793","16,434","12,718","14,578","13,372","12,369","22,128","13,398","10,452","7,556","5,508","26,870"
2020년10월_남_연령구간인구수,"231,163","17,881","18,853","13,851","11,402","13,793","16,434","12,718","14,578","13,372","12,369","22,128","13,398","10,452","7,556","5,508","26,870"
2020년10월_남_0~9세,"15,516","1,264","1,260",600,546,839,941,631,"1,152","1,688",538,"1,409",793,573,390,360,"2,532"
2020년10월_남_10~19세,"19,931","1,183","1,419",929,848,"1,252","1,407",786,"1,388","1,181",843,"1,800","1,124",948,635,417,"3,771"
2020년10월_남_20~29세,"32,321","2,410","2,675","2,161","1,921","2,102","2,223","2,113","1,872","1,387","1,865","3,139","2,021","1,541","1,042",746,"3,103"
2020년10월_남_30~39세,"34,213","3,040","2,672","2,060","1,639","1,997","2,119","2,120","2,495","2,413","1,779","3,285","2,097","1,494","1,056",877,"3,070"
2020년10월_남_40~49세,"38,176","2,965","2,949","2,068","1,692","2,271","2,625","2,030","2,567","2,648","1,873","3,807","2,094","1,642","1,126",771,"5,048"
2020년10월_남_50~59세,"37,296","2,799","3,175","2,292","1,877","2,275","2,863","2,007","2,228","1,757","2,143","3,599","2,138","1,687","1,260",987,"4,209"
2020년10월_남_60~69세,"29,505","2,269","2,511","2,033","1,612","1,661","2,331","1,564","1,542","1,297","1,735","2,762","1,765","1,513","1,157",824,"2,929"
2020년10월_남_70~79세,"17,218","1,376","1,515","1,234",940,980,"1,361","1,013",963,718,"1,101","1,697","1,002",745,647,383,"1,543"
2020년10월_남_80~89세,"6,306",530,601,434,292,376,513,415,328,252,447,582,338,270,223,127,578
2020년10월_남_90~99세,598,38,65,36,34,32,41,32,42,24,40,44,25,35,16,14,80
