카테고리,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020년08월_계_총인구수,"232,013","22,186","42,404","19,110","24,643","15,705","33,858","22,101","11,241","20,971","19,794"
2020년08월_계_연령구간인구수,"232,013","22,186","42,404","19,110","24,643","15,705","33,858","22,101","11,241","20,971","19,794"
2020년08월_계_0~9세,"12,972",722,"3,297",924,"1,054",672,"1,955","1,623",578,"1,169",978
2020년08월_계_10~19세,"14,966",721,"2,344","1,253","1,402",990,"2,343","2,158",740,"1,542","1,473"
2020년08월_계_20~29세,"36,878","6,004","7,461","2,827","3,867","2,349","5,003","2,546","1,481","2,785","2,555"
2020년08월_계_30~39세,"35,441","5,204","8,519","2,517","3,493","1,988","4,834","2,528","1,447","2,600","2,311"
2020년08월_계_40~49세,"33,345","2,703","6,246","2,659","3,349","2,209","5,053","3,562","1,591","3,056","2,917"
2020년08월_계_50~59세,"40,616","2,951","6,224","3,874","4,896","3,260","5,990","3,811","2,031","3,964","3,615"
2020년08월_계_60~69세,"32,511","2,292","4,736","2,974","3,809","2,464","4,738","3,208","1,904","3,331","3,055"
2020년08월_계_70~79세,"17,968","1,161","2,549","1,525","1,952","1,297","2,813","1,835","1,063","1,812","1,961"
2020년08월_계_80~89세,"6,324",371,917,473,695,408,961,687,360,626,826
2020년08월_계_90~99세,817,48,94,68,103,53,146,107,42,70,86
2020년08월_계_100세 이상,175,9,17,16,23,15,22,36,4,16,17
2020년08월_남_총인구수,"117,497","12,173","21,879","9,683","12,405","7,906","16,919","10,694","5,607","10,399","9,832"
2020년08월_남_연령구간인구수,"117,497","12,173","21,879","9,683","12,405","7,906","16,919","10,694","5,607","10,399","9,832"
2020년08월_남_0~9세,"6,640",350,"1,712",456,569,359,997,817,290,588,502
2020년08월_남_10~19세,"7,562",365,"1,158",673,694,486,"1,258","1,054",366,776,732
2020년08월_남_20~29세,"18,721","2,832","3,758","1,493","1,952","1,183","2,556","1,335",783,"1,465","1,364"
2020년08월_남_30~39세,"19,626","3,229","4,752","1,356","1,936","1,097","2,596","1,235",790,"1,388","1,247"
2020년08월_남_40~49세,"17,437","1,673","3,404","1,346","1,736","1,108","2,575","1,751",827,"1,526","1,491"
2020년08월_남_50~59세,"20,425","1,727","3,146","1,969","2,438","1,657","2,950","1,802",982,"1,911","1,843"
2020년08월_남_60~69세,"15,946","1,249","2,386","1,457","1,855","1,216","2,273","1,555",904,"1,615","1,436"
2020년08월_남_70~79세,"8,382",581,"1,153",735,914,613,"1,302",832,514,854,884
2020년08월_남_80~89세,"2,494",156,384,175,280,171,361,270,145,246,306
2020년08월_남_90~99세,207,8,23,18,25,12,45,24,6,24,22
2020년08월_남_100세 이상,57,3,3,5,6,4,6,19,0,6,5
2020년08월_여_총인구수,"114,516","10,013","20,525","9,427","12,238","7,799","16,939","11,407","5,634","10,572","9,962"
2020년08월_여_연령구간인구수,"114,516","10,013","20,525","9,427","12,238","7,799","16,939","11,407","5,634","10,572","9,962"
2020년08월_여_0~9세,"6,332",372,"1,585",468,485,313,958,806,288,581,476
2020년08월_여_10~19세,"7,404",356,"1,186",580,708,504,"1,085","1,104",374,766,741
2020년08월_여_20~29세,"18,157","3,172","3,703","1,334","1,915","1,166","2,447","1,211",698,"1,320","1,191"
2020년08월_여_30~39세,"15,815","1,975","3,767","1,161","1,557",891,"2,238","1,293",657,"1,212","1,064"
2020년08월_여_40~49세,"15,908","1,030","2,842","1,313","1,613","1,101","2,478","1,811",764,"1,530","1,426"
2020년08월_여_50~59세,"20,191","1,224","3,078","1,905","2,458","1,603","3,040","2,009","1,049","2,053","1,772"
2020년08월_여_60~69세,"16,565","1,043","2,350","1,517","1,954","1,248","2,465","1,653","1,000","1,716","1,619"
2020년08월_여_70~79세,"9,586",580,"1,396",790,"1,038",684,"1,511","1,003",549,958,"1,077"
2020년08월_여_80~89세,"3,830",215,533,298,415,237,600,417,215,380,520
2020년08월_여_90~99세,610,40,71,50,78,41,101,83,36,46,64
2020년08월_여_100세 이상,118,6,14,11,17,11,16,17,4,10,12
