,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년02월_계_총인구수,"1,849,795","222,809","280,213","282,336","116,348","151,016","46,545","27,952","25,505","63,814","40,305","62,478","37,528","34,487","68,589","53,652","87,570","31,899","52,944","44,432","49,757","30,709","38,907"
2021년02월_계_연령구간인구수,"1,849,795","222,809","280,213","282,336","116,348","151,016","46,545","27,952","25,505","63,814","40,305","62,478","37,528","34,487","68,589","53,652","87,570","31,899","52,944","44,432","49,757","30,709","38,907"
2021년02월_계_0~9세,"130,649","17,837","20,653","23,315","10,128","13,160","2,370","1,069","1,128","2,608","1,709","3,439","1,968","1,722","3,909","3,487","7,981","1,346","3,751","2,745","3,120","1,665","1,539"
2021년02월_계_10~19세,"166,405","24,272","26,283","30,090","9,545","15,849","3,002","1,918","1,806","3,790","2,577","5,678","2,758","2,503","5,221","4,412","9,389","2,017","4,151","3,274","3,615","2,221","2,034"
2021년02월_계_20~29세,"199,258","26,997","33,665","37,362","12,410","19,950","4,797","2,288","1,924","4,130","2,936","6,759","3,041","2,849","5,511","5,063","8,962","2,464","4,926","4,199","3,740","2,556","2,729"
2021년02월_계_30~39세,"184,466","25,198","30,760","33,111","14,550","18,315","3,706","1,720","1,650","3,635","2,458","4,681","2,706","2,388","4,967","4,699","10,530","2,079","4,805","3,650","3,937","2,232","2,689"
2021년02월_계_40~49세,"259,441","37,171","41,926","43,330","16,716","23,698","5,224","3,005","2,861","6,319","4,144","8,209","4,103","3,765","8,026","7,415","13,900","3,463","6,504","5,513","6,207","3,615","4,327"
2021년02월_계_50~59세,"313,666","36,284","48,540","49,227","17,318","29,128","8,198","4,890","4,564","10,152","6,670","11,273","6,276","5,616","11,543","9,448","12,961","5,471","8,540","7,475","8,046","5,018","7,028"
2021년02월_계_60~69세,"275,053","29,141","41,157","34,889","16,362","17,196","8,393","5,073","4,753","12,822","7,669","9,582","6,654","6,262","12,469","8,148","11,012","5,972","8,504","7,342","8,645","5,341","7,667"
2021년02월_계_70~79세,"192,615","17,639","24,662","19,060","11,551","8,230","6,309","4,237","3,891","11,489","6,620","7,431","5,442","5,215","9,993","6,325","7,893","5,108","7,146","5,911","7,401","4,706","6,356"
2021년02월_계_80~89세,"110,903","7,215","10,798","10,261","6,682","4,699","3,906","3,210","2,521","7,567","4,749","4,733","3,910","3,590","6,055","4,071","4,275","3,456","4,029","3,766","4,445","2,957","4,008"
2021년02월_계_90~99세,"16,443",973,"1,662","1,615","1,019",766,604,527,383,"1,252",732,656,645,545,849,548,632,495,553,519,575,380,513
2021년02월_계_100세 이상,896,82,107,76,67,25,36,15,24,50,41,37,25,32,46,36,35,28,35,38,26,18,17
2021년02월_남_총인구수,"929,889","110,972","142,979","140,880","58,542","78,778","23,627","13,675","12,397","31,004","19,650","30,888","18,270","16,667","33,876","27,599","43,952","16,006","26,399","22,774","25,033","15,181","20,740"
2021년02월_남_연령구간인구수,"929,889","110,972","142,979","140,880","58,542","78,778","23,627","13,675","12,397","31,004","19,650","30,888","18,270","16,667","33,876","27,599","43,952","16,006","26,399","22,774","25,033","15,181","20,740"
2021년02월_남_0~9세,"66,530","9,202","10,462","11,943","5,158","6,674","1,190",547,558,"1,292",900,"1,751","1,000",858,"1,962","1,753","4,106",703,"1,909","1,392","1,598",799,773
2021년02월_남_10~19세,"86,371","12,442","13,668","15,703","4,924","8,203","1,569","1,024",946,"2,031","1,315","2,944","1,455","1,289","2,690","2,347","4,774","1,075","2,165","1,725","1,879","1,148","1,055"
2021년02월_남_20~29세,"111,414","14,575","19,118","20,347","6,585","11,633","2,847","1,249","1,039","2,431","1,670","3,673","1,726","1,605","3,114","2,943","4,832","1,470","2,758","2,482","2,186","1,484","1,647"
2021년02월_남_30~39세,"97,106","13,004","16,513","16,988","7,583","9,820","1,919",919,880,"1,984","1,321","2,365","1,433","1,223","2,614","2,548","5,361","1,113","2,478","1,957","2,155","1,223","1,705"
2021년02월_남_40~49세,"138,583","19,151","22,151","21,321","9,270","12,187","3,020","1,670","1,557","3,648","2,362","4,252","2,263","2,088","4,504","4,384","7,316","2,050","3,652","3,136","3,617","2,091","2,893"
2021년02월_남_50~59세,"168,307","18,241","25,489","24,865","9,448","15,917","4,498","2,698","2,537","5,666","3,723","6,167","3,417","3,023","6,388","5,389","7,099","3,192","4,729","4,266","4,493","2,783","4,279"
