카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년07월_계_총인구수,"342,111","22,962","19,745","15,575","21,638","16,314","28,873","11,410","34,964","22,518","25,024","28,295","17,458","21,783","26,661","28,891"
2021년07월_계_연령구간인구수,"342,111","22,962","19,745","15,575","21,638","16,314","28,873","11,410","34,964","22,518","25,024","28,295","17,458","21,783","26,661","28,891"
2021년07월_계_0~9세,"18,440",377,847,718,"1,113",718,"1,368",522,"3,080",928,"1,550","2,226",660,802,"1,714","1,817"
2021년07월_계_10~19세,"25,210",717,986,722,"1,355",914,"1,870",531,"5,468","1,493","1,821","2,589",852,"1,108","2,325","2,459"
2021년07월_계_20~29세,"62,278","9,959","4,517","2,848","3,827","2,644","4,383","2,352","4,066","4,324","3,736","3,857","2,757","4,742","3,687","4,579"
2021년07월_계_30~39세,"55,017","4,474","3,608","2,950","3,885","2,666","4,267","2,594","3,654","3,714","3,773","4,186","2,568","4,303","3,762","4,613"
2021년07월_계_40~49세,"51,196","2,156","2,560","2,112","2,967","2,223","4,045","1,624","7,538","3,360","3,910","4,513","2,319","3,155","4,275","4,439"
2021년07월_계_50~59세,"53,799","2,065","2,835","2,464","3,503","2,878","5,237","1,430","5,592","3,561","4,148","4,641","3,012","3,104","4,515","4,814"
2021년07월_계_60~69세,"43,682","1,731","2,444","2,166","2,951","2,426","4,522","1,276","3,134","2,906","3,743","3,633","3,020","2,521","3,604","3,605"
2021년07월_계_70~79세,"22,043","1,011","1,337","1,135","1,459","1,280","2,278",747,"1,442","1,518","1,637","1,624","1,580","1,386","1,912","1,697"
2021년07월_계_80~89세,"9,169",416,548,406,507,498,793,295,840,637,615,890,618,580,769,757
2021년07월_계_90~99세,"1,204",53,60,52,69,61,98,37,145,76,87,131,70,66,93,106
2021년07월_계_100세 이상,73,3,3,2,2,6,12,2,5,1,4,5,2,16,5,5
2021년07월_남_총인구수,"165,039","10,943","9,758","7,536","10,229","8,073","14,150","5,225","16,904","10,883","12,126","13,565","8,705","10,370","12,853","13,719"
2021년07월_남_연령구간인구수,"165,039","10,943","9,758","7,536","10,229","8,073","14,150","5,225","16,904","10,883","12,126","13,565","8,705","10,370","12,853","13,719"
